,Unnamed: 0,date,open,close,high,low,volumme
0,0.0,2019-03-29,21.165,21.165,21.165,21.165,0
1,1.0,2019-04-01,21.475,21.475,21.475,21.475,0
2,2.0,2019-04-02,21.465,21.485,21.485,21.465,0
3,3.0,2019-04-03,21.845,21.845,21.845,21.845,0
4,4.0,2019-04-04,21.755,21.755,21.755,21.755,0
5,5.0,2019-04-05,21.785,21.685,21.785,21.685,0
6,6.0,2019-04-08,21.66,21.66,21.66,21.66,0
7,7.0,2019-04-09,21.67,21.495,21.67,21.495,0
8,8.0,2019-04-10,21.57,21.705,21.705,21.57,0
9,9.0,2019-04-11,21.735,21.735,21.735,21.735,0
10,10.0,2019-04-12,21.65,21.785,21.785,21.65,0
11,11.0,2019-04-15,21.915,21.915,21.915,21.915,0
12,12.0,2019-04-16,21.975,21.975,21.975,21.975,0
13,13.0,2019-04-17,21.935,21.875,21.935,21.875,0
14,14.0,2019-04-18,21.85,21.925,21.925,21.85,0
15,15.0,2019-04-23,21.925,21.925,21.925,21.925,0
16,16.0,2019-04-24,21.93,22.075,22.075,21.93,0
17,17.0,2019-04-25,22.11,22.03,22.11,22.03,0
18,18.0,2019-04-26,22.02,22.015,22.02,22.015,0
19,19.0,2019-04-29,22.04,22.045,22.045,22.04,0
20,20.0,2019-04-30,22.01,22.045,22.045,22.01,0
21,21.0,2019-05-02,21.985,21.985,21.985,21.985,0
22,22.0,2019-05-03,22.0,22.165,22.165,22.0,0
23,23.0,2019-05-06,21.83,21.83,21.83,21.83,0
24,24.0,2019-05-07,21.97,21.705,21.97,21.705,0
25,25.0,2019-05-08,21.7,21.695,21.7,21.695,0
26,26.0,2019-05-09,21.615,21.395,21.615,21.395,0
27,27.0,2019-05-10,21.495,21.415,21.495,21.415,0
28,28.0,2019-05-13,21.4,21.12,21.4,21.12,0
29,29.0,2019-05-14,21.345,21.345,21.345,21.345,0
30,30.0,2019-05-15,21.41,21.315,21.41,21.315,0
31,31.0,2019-05-16,21.405,21.405,21.405,21.405,0
32,32.0,2019-05-17,21.365,21.275,21.365,21.275,0
33,33.0,2019-05-20,21.115,21.115,21.115,21.115,0
34,34.0,2019-05-21,21.155,21.275,21.275,21.155,0
35,35.0,2019-05-22,21.135,20.965,21.135,20.965,0
36,36.0,2019-05-23,20.825,20.695,20.825,20.695,0
