,date,open,close,high,low,volumme
0,2022-07-18,15.07,15.02,15.07,15.02,0
1,2022-07-19,14.89,14.96,14.96,14.89,0
2,2022-07-20,14.97,14.99,14.99,14.97,0
3,2022-07-21,14.98,15.03,15.03,14.95,720
4,2022-07-22,15.02,14.98,15.02,14.98,0
5,2022-07-25,14.95,14.96,14.96,14.95,0
6,2022-07-26,15.01,15.02,15.02,15.01,0
7,2022-07-27,15.07,15.14,15.14,15.07,0
8,2022-07-28,15.17,15.23,15.23,15.17,0
9,2022-07-29,15.06,15.08,15.08,15.06,0
10,2022-08-01,15.08,15.0,15.08,15.0,0
11,2022-08-02,14.87,15.03,15.03,14.87,720
12,2022-08-03,14.97,15.09,15.09,14.97,0
13,2022-08-04,15.09,15.12,15.12,15.09,0
14,2022-08-05,15.19,15.17,15.19,15.17,0
15,2022-08-08,15.16,15.16,15.16,15.13,720
16,2022-08-09,15.17,15.06,15.17,15.06,0
17,2022-08-10,14.93,15.02,15.02,14.93,0
18,2022-08-11,15.14,15.19,15.19,15.14,0
19,2022-08-12,15.15,15.23,15.23,15.15,0
20,2022-08-15,15.3,15.34,15.34,15.3,0
21,2022-08-16,15.37,15.4,15.4,15.37,0
22,2022-08-17,15.44,15.33,15.44,15.33,0
23,2022-08-18,15.31,15.38,15.38,15.29,720
24,2022-08-19,15.36,15.25,15.36,15.25,0
25,2022-08-22,15.27,15.26,15.27,15.26,0
26,2022-08-23,15.22,15.21,15.22,15.21,0
27,2022-08-24,15.12,15.25,15.25,15.12,0
28,2022-08-25,15.32,15.42,15.42,15.32,720
29,2022-08-26,15.44,15.31,15.44,15.31,720
30,2022-08-29,15.16,15.16,15.16,15.16,0
31,2022-08-30,15.17,14.96,15.17,14.96,0
32,2022-08-31,15.12,14.97,15.12,14.97,0
33,2022-09-01,14.91,14.91,14.91,14.91,0
34,2022-09-02,14.87,14.84,14.87,14.84,0
35,2022-09-05,14.85,14.83,14.85,14.83,0
36,2022-09-06,14.82,14.76,14.82,14.76,0
37,2022-09-07,14.7,14.7,14.7,14.7,0
38,2022-09-08,14.7,14.76,14.76,14.7,0
39,2022-09-09,14.79,14.83,14.83,14.79,0
40,2022-09-12,14.91,14.91,14.91,14.91,0
41,2022-09-13,14.87,14.72,14.87,14.72,0
42,2022-09-14,14.7,14.66,14.7,14.66,0
43,2022-09-15,14.67,14.53,14.67,14.53,0
44,2022-09-16,14.39,14.28,14.39,14.28,0
45,2022-09-19,14.29,14.31,14.31,14.29,0
46,2022-09-20,14.42,14.39,14.42,14.39,0
47,2022-09-21,14.35,14.37,14.38,14.35,720
48,2022-09-22,14.19,14.22,14.22,14.19,0
49,2022-09-23,14.11,14.03,14.11,14.03,0
50,2022-09-26,14.07,14.12,14.12,14.07,0
51,2022-09-27,14.12,14.07,14.12,14.07,0
52,2022-09-28,13.85,13.94,13.94,13.85,0
53,2022-09-29,13.73,13.54,13.73,13.54,0
54,2022-09-30,13.5,13.57,13.57,13.5,0
55,2022-10-03,13.38,13.51,13.51,13.38,0
56,2022-10-04,13.65,13.81,13.81,13.65,0
57,2022-10-05,13.9,13.89,13.9,13.89,0
58,2022-10-06,13.96,13.98,13.98,13.96,0
59,2022-10-07,13.86,13.74,13.86,13.74,0
60,2022-10-10,13.55,13.55,13.55,13.55,0
61,2022-10-11,13.37,13.38,13.38,13.37,0
62,2022-10-12,13.52,13.44,13.52,13.44,0
63,2022-10-13,13.33,13.3,13.33,13.3,0
64,2022-10-14,13.52,13.38,13.52,13.38,0
65,2022-10-17,13.52,13.52,13.52,13.52,0
66,2022-10-18,13.51,13.43,13.51,13.43,0
67,2022-10-19,13.38,13.32,13.38,13.32,0
68,2022-10-20,13.25,13.41,13.41,13.25,0
69,2022-10-21,13.3,13.37,13.37,13.3,0
70,2022-10-24,12.86,12.86,12.86,12.86,0
71,2022-10-25,12.9,12.92,12.92,12.9,0
72,2022-10-26,12.97,13.14,13.14,12.97,0
73,2022-10-27,12.99,13.17,13.17,12.99,0
74,2022-10-28,12.79,12.92,12.92,12.79,0
75,2022-10-31,12.88,12.98,12.98,12.88,0
76,2022-11-01,13.26,13.31,13.31,13.26,0
77,2022-11-02,13.36,13.29,13.36,13.29,0
78,2022-11-03,13.23,13.34,13.34,13.23,0
79,2022-11-04,13.6,13.6,13.6,13.6,0
80,2022-11-07,13.56,13.57,13.57,13.56,0
81,2022-11-08,13.56,13.63,13.63,13.56,0
82,2022-11-09,13.54,13.49,13.54,13.49,0
83,2022-11-10,13.34,13.76,13.76,13.34,0
84,2022-11-11,13.93,13.93,13.93,13.93,0
85,2022-11-14,13.85,13.92,13.92,13.85,0
86,2022-11-15,14.1,14.24,14.24,14.1,0
87,2022-11-16,14.04,13.92,14.04,13.92,0
88,2022-11-17,13.93,13.97,13.97,13.93,0
89,2022-11-18,13.89,13.95,13.95,13.89,0
90,2022-11-21,13.87,13.86,13.87,13.86,0
91,2022-11-22,13.79,13.83,13.83,13.79,0
92,2022-11-23,13.8,13.84,13.84,13.8,0
93,2022-11-24,13.89,13.96,13.96,13.89,0
94,2022-11-25,13.85,13.8,13.85,13.8,0
95,2022-11-28,13.7,13.7,13.7,13.7,0
96,2022-11-29,14.02,14.02,14.02,14.02,0
97,2022-11-30,14.22,14.22,14.22,14.22,0
98,2022-12-01,14.35,14.35,14.35,14.35,0
99,2022-12-02,14.15,14.15,14.15,14.15,0
100,2022-12-05,14.29,14.29,14.29,14.29,0
101,2022-12-06,14.16,14.16,14.16,14.16,0
102,2022-12-07,13.98,13.98,13.98,13.98,0
103,2022-12-08,14.1,14.1,14.1,14.1,0
104,2022-12-09,14.19,14.19,14.19,14.19,0
105,2022-12-12,14.05,14.05,14.05,14.05,0
106,2022-12-13,14.06,14.06,14.06,14.06,0
107,2022-12-14,14.12,14.12,14.12,14.12,0
108,2022-12-15,13.94,13.94,13.94,13.94,0
109,2022-12-16,13.81,13.81,13.81,13.81,0
110,2022-12-19,13.81,13.81,13.81,13.81,0
111,2022-12-20,13.65,13.65,13.65,13.65,0
112,2022-12-21,13.65,13.65,13.65,13.65,0
113,2022-12-22,13.8,13.8,13.8,13.8,0
114,2022-12-23,13.63,13.63,13.63,13.63,0
115,2022-12-27,13.77,13.77,13.77,13.77,0
116,2022-12-28,13.79,13.79,13.79,13.79,0
117,2022-12-29,13.69,13.69,13.69,13.69,0
118,2022-12-30,13.76,13.76,13.76,13.76,0
119,2023-01-02,13.69,13.69,13.69,13.69,0
120,2023-01-03,13.82,13.82,13.82,13.82,720
121,2023-01-04,14.11,14.11,14.11,14.11,0
122,2023-01-06,14.28,14.28,14.28,14.28,0
123,2023-01-09,14.46,14.46,14.46,14.46,0
124,2023-01-10,14.3,14.38,14.38,14.3,8716
125,2023-01-11,14.44,14.44,14.44,14.44,0
126,2023-01-12,14.43,14.43,14.43,14.43,0
127,2023-01-13,14.51,14.51,14.51,14.51,0
128,2023-01-16,14.6,14.63,14.63,14.6,402
129,2023-01-17,14.52,14.52,14.52,14.52,0
130,2023-01-18,14.61,14.61,14.61,14.61,0
131,2023-01-19,14.6,14.6,14.6,14.6,0
132,2023-01-20,14.75,14.75,14.75,14.75,0
133,2023-01-23,14.77,14.77,14.77,14.77,0
134,2023-01-24,14.89,14.89,14.89,14.89,0
135,2023-01-25,14.92,14.92,14.92,14.92,0
136,2023-01-26,14.96,14.96,14.96,14.96,0
137,2023-01-27,15.03,15.03,15.03,15.03,0
138,2023-01-30,14.81,14.84,14.84,14.81,10156
139,2023-01-31,14.72,14.72,14.72,14.72,0
140,2023-02-01,14.86,14.86,14.86,14.86,0
141,2023-02-02,14.76,14.76,14.76,14.76,0
142,2023-02-03,14.81,14.81,14.81,14.81,0
143,2023-02-06,14.61,14.61,14.61,14.61,0
144,2023-02-07,14.7,14.7,14.7,14.7,0
145,2023-02-08,14.78,14.78,14.78,14.78,0
146,2023-02-09,14.88,14.88,14.88,14.88,0
147,2023-02-10,14.7,14.7,14.7,14.7,0
148,2023-02-13,14.68,14.68,14.68,14.68,0
149,2023-02-14,14.66,14.66,14.66,14.66,0
150,2023-02-15,14.4,14.4,14.4,14.4,0
151,2023-02-16,14.56,14.56,14.56,14.56,0
152,2023-02-17,14.38,14.38,14.38,14.38,0
153,2023-02-20,14.42,14.42,14.42,14.42,0
154,2023-02-21,14.31,14.31,14.31,14.31,0
155,2023-02-22,14.13,14.13,14.13,14.13,0
156,2023-02-23,14.27,14.27,14.27,14.27,0
157,2023-02-24,14.11,14.11,14.11,14.11,0
158,2023-02-27,14.04,14.04,14.04,14.04,0
159,2023-02-28,13.91,13.91,13.91,13.91,0
160,2023-03-01,14.2,14.2,14.2,14.2,0
161,2023-03-02,14.02,14.02,14.02,14.02,0
162,2023-03-03,14.19,14.19,14.19,14.19,0
163,2023-03-06,14.31,14.31,14.31,14.31,0
164,2023-03-07,14.2,14.2,14.2,14.2,0
165,2023-03-08,14.06,14.06,14.06,14.06,0
166,2023-03-09,14.03,14.03,14.03,14.03,0
167,2023-03-10,13.7,13.7,13.7,13.7,0
168,2023-03-13,13.67,13.67,13.67,13.67,0
169,2023-03-14,13.49,13.49,13.49,13.49,0
170,2023-03-15,13.55,13.55,13.55,13.55,0
171,2023-03-16,13.57,13.57,13.57,13.57,0
172,2023-03-17,13.71,13.71,13.71,13.71,0
173,2023-03-20,13.51,13.51,13.51,13.51,0
174,2023-03-21,13.59,13.59,13.59,13.59,0
175,2023-03-22,13.66,13.66,13.66,13.66,0
176,2023-03-23,13.73,13.75,13.75,13.73,220
177,2023-03-24,13.75,13.75,13.75,13.75,0
178,2023-03-27,13.75,13.75,13.75,13.75,0
179,2023-03-28,13.73,13.73,13.73,13.73,0
180,2023-03-29,13.78,13.78,13.78,13.78,0
181,2023-03-30,13.83,13.83,13.83,13.83,0
182,2023-03-31,13.9,13.9,13.9,13.9,0
183,2023-04-03,13.94,13.94,13.94,13.94,0
184,2023-04-04,13.87,13.87,13.87,13.87,0
185,2023-04-05,13.9,13.9,13.9,13.9,0
186,2023-04-06,13.77,13.77,13.77,13.77,0
187,2023-04-11,13.92,13.92,13.92,13.92,0
188,2023-04-12,13.78,13.78,13.78,13.78,0
189,2023-04-14,13.79,13.79,13.79,13.79,0
190,2023-04-17,13.85,13.85,13.85,13.85,0
191,2023-04-19,13.72,13.72,13.72,13.72,0
192,2023-04-20,13.68,13.68,13.68,13.68,0
193,2023-04-21,13.55,13.55,13.55,13.55,0
194,2023-04-24,13.45,13.45,13.45,13.45,0
195,2023-04-25,13.22,13.22,13.22,13.22,0
196,2023-04-26,13.3,13.3,13.3,13.3,0
197,2023-04-27,13.27,13.27,13.27,13.27,0
198,2023-04-28,13.38,13.38,13.38,13.38,0
199,2023-05-02,13.43,13.43,13.43,13.43,0
200,2023-05-03,13.25,13.25,13.25,13.25,0
201,2023-05-04,13.27,13.27,13.27,13.27,0
202,2023-05-05,13.39,13.39,13.39,13.39,0
203,2023-05-08,13.46,13.46,13.46,13.46,0
204,2023-05-09,13.41,13.41,13.41,13.41,0
205,2023-05-10,13.41,13.41,13.41,13.41,0
206,2023-05-11,13.43,13.43,13.43,13.43,0
207,2023-05-12,13.41,13.41,13.41,13.41,0
208,2023-05-15,13.58,13.58,13.58,13.58,0
209,2023-05-16,13.58,13.58,13.58,13.58,0
210,2023-05-17,13.55,13.55,13.55,13.55,0
211,2023-05-18,13.62,13.62,13.62,13.62,0
212,2023-05-19,13.66,13.66,13.66,13.66,0
213,2023-05-22,13.72,13.72,13.72,13.72,0
214,2023-05-23,13.69,13.69,13.69,13.69,0
215,2023-05-24,13.6,13.6,13.6,13.6,0
216,2023-05-25,13.55,13.55,13.55,13.55,0
217,2023-05-26,13.62,13.62,13.62,13.62,0
218,2023-05-31,13.54,13.54,13.54,13.54,0
219,2023-06-01,13.67,13.67,13.67,13.67,0
220,2023-06-02,13.8,13.8,13.8,13.8,0
221,2023-06-05,13.89,13.89,13.89,13.89,0
222,2023-06-06,13.82,13.82,13.82,13.82,0
223,2023-06-07,13.95,13.95,13.95,13.95,0
224,2023-06-08,13.85,13.85,13.85,13.85,0
225,2023-06-09,13.91,13.91,13.91,13.91,0
226,2023-06-12,13.96,13.96,13.96,13.96,0
227,2023-06-13,14.08,14.08,14.08,14.08,0
