,date,open,close,high,low,volumme
0,2021-11-12,14.97,15.04,15.04,14.97,0
1,2021-11-15,15.09,15.15,15.15,15.09,0
2,2021-11-16,15.19,15.2,15.2,15.19,0
3,2021-11-17,15.18,15.19,15.21,15.18,1000
4,2021-11-18,15.24,15.19,15.24,15.19,1000
5,2021-11-19,15.24,15.27,15.29,15.24,300
6,2021-11-22,15.37,15.34,15.37,15.34,0
7,2021-11-23,15.31,15.23,15.31,15.23,0
8,2021-11-24,15.11,15.12,15.12,15.11,0
9,2021-11-25,15.12,15.13,15.13,15.12,0
10,2021-11-26,14.85,14.63,14.85,14.63,0
11,2021-11-29,14.76,14.69,14.76,14.69,0
12,2021-11-30,14.46,14.46,14.46,14.46,0
13,2021-12-01,14.64,14.73,14.73,14.64,0
14,2021-12-02,14.48,14.51,14.51,14.48,0
15,2021-12-03,14.74,14.61,14.74,14.61,0
16,2021-12-06,14.59,14.64,14.64,14.55,300
17,2021-12-07,14.85,15.02,15.02,14.85,0
18,2021-12-08,15.06,14.96,15.06,14.96,0
19,2021-12-09,14.91,14.92,14.92,14.91,0
20,2021-12-10,14.81,14.86,14.86,14.81,0
21,2021-12-13,14.89,14.83,14.89,14.83,0
22,2021-12-14,14.85,14.75,14.85,14.75,0
23,2021-12-15,14.89,14.89,14.89,14.89,0
24,2021-12-16,15.07,15.06,15.07,15.06,0
25,2021-12-17,14.82,14.86,14.86,14.82,0
26,2021-12-20,14.6,14.62,14.62,14.6,0
27,2021-12-21,14.76,14.78,14.78,14.76,0
28,2021-12-22,14.71,14.72,14.72,14.71,0
29,2021-12-23,14.76,14.83,14.83,14.76,0
30,2021-12-24,14.76,14.77,14.77,14.76,0
31,2021-12-27,14.71,14.8,14.8,14.71,0
32,2021-12-28,14.83,14.89,14.89,14.83,0
33,2021-12-29,14.71,14.71,14.71,14.71,0
34,2021-12-30,14.73,14.75,14.75,14.73,0
35,2021-12-31,14.69,14.65,14.65,14.65,0
36,2022-01-03,14.72,14.74,14.74,14.72,0
37,2022-01-04,14.86,14.9,14.9,14.86,0
38,2022-01-05,14.84,14.83,14.84,14.83,0
39,2022-01-06,14.44,14.47,14.49,14.44,70
40,2022-01-07,14.25,14.2,14.25,14.2,0
41,2022-01-10,14.31,14.16,14.31,14.12,1325
42,2022-01-11,14.11,14.14,14.14,14.11,0
43,2022-01-12,14.31,14.3,14.31,14.3,0
44,2022-01-13,14.09,14.13,14.13,14.09,0
45,2022-01-14,13.91,13.96,13.96,13.91,0
46,2022-01-17,13.96,13.99,13.99,13.96,0
47,2022-01-18,13.91,13.91,13.91,13.91,0
48,2022-01-19,13.6,13.7,13.7,13.6,1000
49,2022-01-20,13.7,13.83,13.83,13.7,0
50,2022-01-21,13.77,13.72,13.77,13.72,0
51,2022-01-24,13.67,13.43,13.67,13.43,0
52,2022-01-25,13.43,13.42,13.43,13.42,0
53,2022-01-26,13.45,13.47,13.47,13.45,0
54,2022-01-27,13.09,13.27,13.27,13.09,0
55,2022-01-28,13.18,13.12,13.18,13.12,0
56,2022-01-31,13.34,13.31,13.34,13.31,0
57,2022-02-01,13.36,13.41,13.41,13.36,0
58,2022-02-02,13.63,13.58,13.67,13.58,8
59,2022-02-03,13.42,13.19,13.42,13.19,0
60,2022-02-04,13.22,13.12,13.22,13.12,0
61,2022-02-07,13.17,13.16,13.17,13.16,0
62,2022-02-08,13.18,13.2,13.2,13.18,0
63,2022-02-09,13.38,13.41,13.41,13.38,0
64,2022-02-10,13.43,13.29,13.43,13.29,0
65,2022-02-11,13.28,13.26,13.28,13.26,0
66,2022-02-14,13.23,13.21,13.23,13.21,0
67,2022-02-15,13.19,13.32,13.32,13.19,0
68,2022-02-16,13.3,13.28,13.3,13.28,0
69,2022-02-17,13.22,13.22,13.22,13.22,0
70,2022-02-18,13.11,13.09,13.11,13.09,0
71,2022-02-21,13.07,12.97,13.07,12.97,0
72,2022-02-22,12.96,13.02,13.02,12.96,0
73,2022-02-23,13.02,12.94,13.02,12.94,0
74,2022-02-24,12.75,12.76,12.76,12.75,0
75,2022-02-25,13.07,13.17,13.17,13.07,0
76,2022-02-28,13.15,13.2,13.2,13.15,1400
77,2022-03-01,13.24,13.18,13.24,13.18,0
78,2022-03-02,13.09,13.19,13.19,13.09,0
79,2022-03-03,13.17,13.13,13.17,13.13,0
80,2022-03-04,13.07,13.1,13.1,13.07,0
81,2022-03-07,12.74,12.76,12.76,12.74,0
82,2022-03-08,12.56,12.56,12.56,12.56,0
83,2022-03-09,12.53,12.6,12.6,12.53,0
84,2022-03-10,12.82,12.64,12.82,12.64,0
85,2022-03-11,12.5,12.51,12.51,12.5,0
86,2022-03-14,12.48,12.43,12.49,12.43,30
87,2022-03-15,12.42,12.57,12.57,12.42,3200
88,2022-03-16,12.784,12.77,12.784,12.77,0
89,2022-03-17,12.99,12.883,12.99,12.883,3000
90,2022-03-18,13.045,13.119,13.119,13.045,0
91,2022-03-21,13.127,13.207,13.207,13.127,1540
92,2022-03-22,13.09,13.134,13.134,13.09,0
93,2022-03-23,13.283,13.211,13.283,13.211,0
94,2022-03-24,13.344,13.282,13.344,13.282,0
95,2022-03-25,13.276,13.292,13.292,13.276,0
96,2022-03-28,13.066,13.112,13.112,13.066,0
97,2022-03-29,13.165,13.208,13.208,13.109,3060
98,2022-03-30,13.083,13.081,13.112,13.081,3040
99,2022-03-31,13.004,13.081,13.081,13.004,0
100,2022-04-01,12.988,13.031,13.032,12.988,3040
101,2022-04-04,13.107,13.245,13.245,13.107,0
102,2022-04-05,13.201,13.09,13.201,13.067,4520
103,2022-04-06,13.009,12.862,13.009,12.862,0
104,2022-04-07,12.787,12.767,12.787,12.767,0
105,2022-04-08,12.867,12.865,12.867,12.865,0
106,2022-04-11,12.548,12.562,12.562,12.548,0
107,2022-04-12,12.318,12.477,12.477,12.318,0
108,2022-04-13,12.521,12.544,12.544,12.521,0
109,2022-04-14,12.607,12.656,12.656,12.607,0
110,2022-04-19,12.329,12.332,12.332,12.329,0
111,2022-04-20,12.299,12.374,12.374,12.299,0
112,2022-04-21,12.397,12.436,12.436,12.397,0
113,2022-04-22,12.364,12.264,12.364,12.264,0
114,2022-04-25,12.204,12.24,12.24,12.204,0
115,2022-04-26,12.315,12.271,12.337,12.271,5130
116,2022-04-27,12.34,12.405,12.405,12.34,0
117,2022-04-28,12.409,12.447,12.447,12.409,0
118,2022-04-29,12.629,12.618,12.629,12.618,0
119,2022-05-02,12.356,12.328,12.382,12.328,2830
120,2022-05-03,12.447,12.477,12.477,12.439,2300
121,2022-05-04,12.512,12.345,12.512,12.345,0
122,2022-05-05,12.608,12.366,12.608,12.366,1400
123,2022-05-06,12.42,12.257,12.42,12.257,30
124,2022-05-09,12.078,11.954,12.078,11.954,0
125,2022-05-10,12.03,11.95,12.03,11.95,0
126,2022-05-11,12.001,12.067,12.067,12.001,0
127,2022-05-12,11.924,12.144,12.144,11.924,0
128,2022-05-13,12.399,12.436,12.436,12.399,0
129,2022-05-16,12.389,12.378,12.389,12.378,0
130,2022-05-17,12.338,12.305,12.338,12.305,0
131,2022-05-18,12.358,12.333,12.358,12.333,0
132,2022-05-19,12.253,12.234,12.253,12.234,0
133,2022-05-20,12.356,12.365,12.365,12.356,0
134,2022-05-23,12.495,12.44,12.495,12.44,0
135,2022-05-24,12.231,12.205,12.231,12.205,0
136,2022-05-25,12.3,12.317,12.317,12.3,0
137,2022-05-26,12.304,12.346,12.346,12.304,0
138,2022-05-27,12.286,12.437,12.437,12.286,0
139,2022-05-30,12.54,12.479,12.546,12.479,5
140,2022-05-31,12.41,12.354,12.41,12.354,0
141,2022-06-01,12.43,12.381,12.43,12.381,0
142,2022-06-02,12.33,12.312,12.33,12.312,0
143,2022-06-03,12.291,12.169,12.291,12.169,700
144,2022-06-06,12.299,12.28,12.335,12.28,10019
145,2022-06-07,12.181,12.235,12.235,12.181,4900
146,2022-06-08,12.251,12.138,12.251,12.138,0
147,2022-06-09,12.229,12.241,12.241,12.229,0
148,2022-06-10,12.116,11.999,12.116,11.999,0
149,2022-06-13,11.849,11.765,11.849,11.765,0
150,2022-06-14,11.756,11.642,11.756,11.642,800
151,2022-06-15,11.517,11.616,11.616,11.517,0
152,2022-06-16,11.606,11.413,11.606,11.368,23200
153,2022-06-17,11.325,11.345,11.345,11.325,0
154,2022-06-20,11.247,11.305,11.305,11.247,1950
155,2022-06-21,11.439,11.389,11.439,11.389,5690
156,2022-06-22,11.303,11.342,11.342,11.303,0
157,2022-06-23,11.266,11.423,11.423,11.266,0
158,2022-06-24,11.598,11.681,11.697,11.598,4405
159,2022-06-27,11.654,11.64,11.686,11.64,2490
160,2022-06-28,11.768,11.768,11.768,11.768,0
161,2022-06-29,11.681,11.719,11.738,11.676,6900
162,2022-06-30,11.599,11.638,11.638,11.599,0
163,2022-07-01,11.534,11.72,11.72,11.534,7800
164,2022-07-04,11.736,11.757,11.771,11.736,2420
165,2022-07-05,11.737,11.83,11.863,11.737,15800
166,2022-07-06,12.119,12.119,12.119,12.119,0
167,2022-07-07,12.204,12.314,12.314,12.204,3200
168,2022-07-08,12.302,12.371,12.371,12.302,514
169,2022-07-11,12.272,12.288,12.288,12.272,0
170,2022-07-12,12.177,12.306,12.306,12.177,0
171,2022-07-13,12.241,12.142,12.241,12.142,0
172,2022-07-14,12.169,12.111,12.169,12.111,0
173,2022-07-15,12.212,12.253,12.253,12.212,0
174,2022-07-18,12.331,12.279,12.331,12.279,0
175,2022-07-19,12.131,12.209,12.209,12.131,1640
176,2022-07-20,12.352,12.379,12.379,12.352,0
177,2022-07-21,12.42,12.479,12.479,12.42,0
178,2022-07-22,12.569,12.619,12.619,12.569,0
179,2022-07-25,12.586,12.567,12.586,12.567,0
180,2022-07-26,12.492,12.568,12.568,12.492,0
181,2022-07-27,12.65,12.665,12.665,12.65,0
182,2022-07-28,12.706,12.827,12.827,12.703,700
183,2022-07-29,12.906,12.907,12.907,12.906,0
184,2022-08-01,13.132,13.114,13.132,13.078,2250
185,2022-08-02,13.073,13.072,13.073,13.072,0
186,2022-08-03,12.983,13.001,13.001,12.983,0
187,2022-08-04,12.94,12.964,12.964,12.94,0
188,2022-08-05,13.068,12.928,13.068,12.928,0
189,2022-08-08,12.937,12.966,12.966,12.937,0
190,2022-08-09,12.863,12.793,12.863,12.793,700
191,2022-08-10,12.755,12.928,12.928,12.755,0
192,2022-08-11,12.998,12.971,12.998,12.971,0
193,2022-08-12,13.091,13.148,13.148,13.091,0
194,2022-08-15,13.319,13.37,13.37,13.319,700
195,2022-08-16,13.43,13.359,13.43,13.359,700
196,2022-08-17,13.421,13.234,13.421,13.234,0
197,2022-08-18,13.225,13.326,13.326,13.225,0
198,2022-08-19,13.196,13.118,13.196,13.118,0
199,2022-08-22,13.166,13.104,13.166,13.104,0
200,2022-08-23,13.122,13.112,13.122,13.112,0
201,2022-08-24,13.045,13.046,13.068,13.045,3
202,2022-08-25,13.094,13.114,13.114,13.094,0
203,2022-08-26,13.118,12.919,13.118,12.919,700
204,2022-08-29,12.717,12.628,12.717,12.628,18
205,2022-08-30,12.749,12.626,12.778,12.626,1
206,2022-08-31,12.744,12.566,12.744,12.566,0
207,2022-09-01,12.432,12.463,12.463,12.432,3160
208,2022-09-02,12.378,12.413,12.413,12.378,0
209,2022-09-05,12.461,12.453,12.461,12.453,0
210,2022-09-06,12.293,12.25,12.293,12.25,0
211,2022-09-07,12.13,12.077,12.13,12.077,0
212,2022-09-08,12.231,12.293,12.293,12.211,3957
213,2022-09-09,12.321,12.37,12.37,12.288,1630
214,2022-09-12,12.312,12.405,12.405,12.312,2320
215,2022-09-13,12.449,12.254,12.454,12.254,6457
216,2022-09-14,12.245,12.286,12.286,12.245,0
217,2022-09-15,12.261,12.216,12.261,12.216,0
218,2022-09-16,12.139,12.107,12.139,12.107,0
219,2022-09-19,12.151,12.131,12.151,12.076,1650
220,2022-09-20,12.133,12.045,12.133,12.045,700
221,2022-09-21,12.052,12.133,12.133,12.052,0
222,2022-09-22,11.964,12.147,12.236,11.927,4795
223,2022-09-23,12.149,12.062,12.177,12.062,1400
224,2022-09-26,12.033,12.041,12.041,12.033,0
225,2022-09-27,12.051,11.985,12.051,11.985,0
226,2022-09-28,11.986,12.045,12.045,11.986,0
227,2022-09-29,11.847,11.847,11.847,11.847,0
228,2022-09-30,11.78,11.867,11.867,11.78,0
229,2022-10-03,11.786,11.943,11.943,11.786,0
230,2022-10-04,12.08,12.068,12.08,12.068,0
231,2022-10-05,12.062,12.087,12.087,12.062,0
232,2022-10-06,12.171,12.164,12.171,12.164,0
233,2022-10-07,12.213,12.112,12.213,12.112,0
234,2022-10-10,12.041,12.059,12.059,12.041,0
235,2022-10-11,11.951,11.986,11.986,11.951,0
236,2022-10-12,11.915,11.895,11.915,11.895,0
237,2022-10-13,11.738,11.753,11.753,11.738,8
238,2022-10-14,11.873,11.764,11.873,11.764,0
239,2022-10-17,11.749,11.749,11.749,11.749,0
240,2022-10-18,11.77,11.706,11.77,11.706,378
241,2022-10-19,11.749,11.73,11.786,11.73,6484
242,2022-10-20,11.7,11.743,11.743,11.7,0
