,Unnamed: 0,date,open,close,high,low,volumme
0,0.0,2020-09-23,11.08,11.08,11.08,11.08,0
1,1.0,2020-09-24,10.91,10.97,10.97,10.91,0
2,2.0,2020-09-25,10.96,10.96,10.96,10.96,0
3,3.0,2020-09-28,11.08,11.08,11.08,11.08,0
4,4.0,2020-09-29,11.02,11.0,11.02,11.0,0
5,5.0,2020-09-30,11.01,11.15,11.15,11.01,0
6,6.0,2020-10-01,11.18,11.21,11.21,11.18,680
7,7.0,2020-10-02,11.08,11.23,11.23,11.08,0
8,8.0,2020-10-05,11.18,11.21,11.21,11.18,0
9,9.0,2020-10-06,11.24,11.32,11.32,11.24,0
10,10.0,2020-10-07,11.37,11.4,11.4,11.37,0
11,11.0,2020-10-08,11.41,11.45,11.45,11.41,0
12,12.0,2020-10-09,11.47,11.53,11.53,11.47,0
13,13.0,2020-10-12,11.61,11.67,11.67,11.61,0
14,14.0,2020-10-13,11.67,11.67,11.67,11.67,0
15,15.0,2020-10-14,11.68,11.7,11.7,11.68,0
16,16.0,2020-10-15,11.57,11.54,11.57,11.54,0
17,17.0,2020-10-16,11.61,11.61,11.61,11.61,0
18,18.0,2020-10-19,11.69,11.67,11.69,11.67,0
19,19.0,2020-10-20,11.61,11.6,11.61,11.6,0
20,20.0,2020-10-21,11.66,11.66,11.66,11.66,0
21,21.0,2020-10-22,11.63,11.67,11.67,11.63,0
22,22.0,2020-10-23,11.69,11.64,11.69,11.64,0
23,23.0,2020-10-26,11.54,11.58,11.58,11.54,0
24,24.0,2020-10-27,11.59,11.62,11.62,11.59,0
25,25.0,2020-10-28,11.61,11.44,11.61,11.44,0
26,26.0,2020-10-29,11.58,11.56,11.58,11.56,0
27,27.0,2020-10-30,11.39,11.47,11.47,11.39,0
28,28.0,2020-11-02,11.54,11.61,11.61,11.54,0
29,29.0,2020-11-03,11.69,11.62,11.69,11.62,0
30,30.0,2020-11-04,11.64,11.96,11.96,11.64,0
31,31.0,2020-11-05,12.02,12.05,12.05,12.02,0
32,32.0,2020-11-06,11.98,11.98,11.98,11.98,0
33,33.0,2020-11-09,12.11,12.35,12.35,12.11,0
34,34.0,2020-11-10,12.14,12.12,12.14,12.12,0
35,35.0,2020-11-11,12.06,12.17,12.17,12.06,0
36,36.0,2020-11-12,12.15,12.21,12.21,12.15,0
37,37.0,2020-11-13,12.16,12.16,12.16,12.16,0
38,38.0,2020-11-16,12.27,12.36,12.36,12.27,0
39,39.0,2020-11-17,12.27,12.27,12.27,12.27,0
40,40.0,2020-11-18,12.31,12.31,12.31,12.31,0
41,41.0,2020-11-19,12.26,12.28,12.28,12.24,20
42,42.0,2020-11-20,12.25,12.32,12.34,12.25,5
43,43.0,2020-11-23,12.38,12.35,12.44,12.35,83
44,44.0,2020-11-24,12.41,12.41,12.41,12.39,534
45,45.0,2020-11-25,12.3,12.33,12.33,12.3,29
46,46.0,2020-11-26,12.36,12.38,12.41,12.36,1276
47,47.0,2020-11-27,12.39,12.39,12.39,12.38,1068
48,48.0,2020-11-30,12.14,12.09,12.14,12.09,0
49,49.0,2020-12-01,12.25,12.25,12.28,12.24,1613
50,50.0,2020-12-02,12.22,12.24,12.24,12.22,1163
51,51.0,2020-12-03,12.23,12.29,12.29,12.23,0
52,52.0,2020-12-04,12.35,12.36,12.36,12.35,0
53,53.0,2020-12-07,12.31,12.39,12.39,12.31,0
54,54.0,2020-12-08,12.39,12.44,12.44,12.39,0
55,55.0,2020-12-09,12.44,12.38,12.44,12.38,0
56,56.0,2020-12-10,12.35,12.41,12.41,12.35,0
57,57.0,2020-12-11,12.38,12.37,12.38,12.37,0
58,58.0,2020-12-14,12.35,12.32,12.35,12.32,1068
59,59.0,2020-12-15,12.26,12.31,12.31,12.26,0
60,60.0,2020-12-16,12.4,12.39,12.4,12.39,0
61,61.0,2020-12-17,12.43,12.4,12.43,12.4,0
62,62.0,2020-12-18,12.36,12.39,12.39,12.36,0
63,63.0,2020-12-21,12.31,12.2,12.31,12.2,0
64,64.0,2020-12-22,12.14,12.19,12.19,12.14,0
65,65.0,2020-12-23,12.28,12.29,12.29,12.28,0
66,66.0,2020-12-24,12.27,12.27,12.27,12.27,0
67,67.0,2020-12-28,12.23,12.26,12.26,12.23,0
68,68.0,2020-12-29,12.28,12.35,12.35,12.28,0
69,69.0,2020-12-30,12.48,12.5,12.5,12.48,400
70,70.0,2020-12-31,12.53,12.55,12.55,12.53,0
71,71.0,2021-01-04,12.7,12.57,12.7,12.57,0
72,72.0,2021-01-05,12.63,12.67,12.67,12.63,534
73,73.0,2021-01-06,12.71,12.74,12.74,12.69,928
74,74.0,2021-01-07,12.74,12.74,12.78,12.74,534
75,75.0,2021-01-08,12.94,13.04,13.04,12.92,534
76,76.0,2021-01-11,13.05,13.05,13.05,13.05,0
77,77.0,2021-01-12,13.16,13.23,13.23,13.16,534
78,78.0,2021-01-13,13.24,13.24,13.24,13.22,1068
79,79.0,2021-01-14,13.36,13.48,13.48,13.36,0
80,80.0,2021-01-15,13.44,13.43,13.44,13.43,0
81,81.0,2021-01-18,13.46,13.54,13.54,13.46,534
82,82.0,2021-01-19,13.71,13.62,13.71,13.62,0
83,83.0,2021-01-20,13.83,13.83,13.83,13.83,0
84,84.0,2021-01-21,13.94,13.85,13.94,13.85,12
85,85.0,2021-01-22,13.69,13.64,13.69,13.64,55
86,86.0,2021-01-25,13.84,13.72,13.91,13.72,948
87,87.0,2021-01-26,13.6,13.63,13.68,13.6,205
88,88.0,2021-01-27,13.53,13.45,13.57,13.45,55
89,89.0,2021-01-28,13.25,13.41,13.41,13.25,1124
90,90.0,2021-01-29,13.2,13.17,13.2,13.17,0
91,91.0,2021-02-01,13.15,13.45,13.46,13.15,304
92,92.0,2021-02-02,13.73,13.8,13.83,13.73,70
93,93.0,2021-02-03,13.93,13.87,13.93,13.87,70
94,94.0,2021-02-04,13.85,13.88,13.88,13.85,70
95,95.0,2021-02-05,14.0,13.96,14.0,13.96,534
96,96.0,2021-02-08,13.96,14.0,14.0,13.96,40
97,97.0,2021-02-09,13.98,14.04,14.04,13.97,3
98,98.0,2021-02-10,14.11,14.09,14.11,14.09,0
99,99.0,2021-02-11,14.18,14.27,14.27,14.18,0
100,100.0,2021-02-12,14.22,14.31,14.31,14.22,0
101,101.0,2021-02-15,14.39,14.43,14.43,14.39,534
102,102.0,2021-02-16,14.38,14.31,14.38,14.31,6957
103,103.0,2021-02-17,14.46,14.38,14.46,14.38,0
104,104.0,2021-02-18,14.27,14.15,14.27,14.15,0
105,105.0,2021-02-19,14.17,14.25,14.25,14.17,0
106,106.0,2021-02-22,13.9,13.85,13.95,13.85,150
107,107.0,2021-02-23,13.84,13.77,13.84,13.77,0
108,108.0,2021-02-24,13.66,13.71,13.71,13.66,634
109,109.0,2021-02-25,13.78,13.61,13.78,13.61,100
110,110.0,2021-02-26,13.29,13.36,13.39,13.29,90
111,111.0,2021-03-01,13.72,13.72,13.72,13.72,0
112,112.0,2021-03-02,13.6,13.56,13.6,13.56,0
113,113.0,2021-03-03,13.84,13.69,13.84,13.69,0
114,114.0,2021-03-04,13.58,13.62,13.62,13.58,0
115,115.0,2021-03-05,13.59,13.46,13.59,13.46,0
116,116.0,2021-03-08,13.42,13.48,13.53,13.42,10
117,117.0,2021-03-09,13.33,13.58,13.58,13.33,0
118,118.0,2021-03-10,13.54,13.56,13.61,13.54,6694
119,119.0,2021-03-11,13.83,13.83,13.83,13.83,0
120,120.0,2021-03-12,13.43,13.59,13.59,13.43,0
121,121.0,2021-03-15,13.56,13.61,13.61,13.56,0
122,122.0,2021-03-16,13.67,13.74,13.74,13.67,0
123,123.0,2021-03-17,13.57,13.59,13.59,13.57,2700
124,124.0,2021-03-18,13.65,13.62,13.65,13.62,100
125,125.0,2021-03-19,13.49,13.62,13.62,13.49,534
126,126.0,2021-03-22,13.58,13.61,13.61,13.58,0
127,127.0,2021-03-23,13.53,13.53,13.53,13.53,0
128,128.0,2021-03-24,13.35,13.28,13.35,13.28,75
129,129.0,2021-03-25,13.2,13.28,13.28,13.2,500
130,130.0,2021-03-26,13.46,13.43,13.46,13.43,0
131,131.0,2021-03-29,13.52,13.52,13.52,13.52,0
132,132.0,2021-03-30,13.56,13.62,13.62,13.56,0
133,133.0,2021-03-31,13.53,13.61,13.61,13.53,0
134,134.0,2021-04-01,13.76,13.8,13.83,13.76,3
135,135.0,2021-04-06,13.71,13.76,13.76,13.71,0
136,136.0,2021-04-07,13.59,13.49,13.59,13.49,0
137,137.0,2021-04-08,13.65,13.59,13.65,13.59,0
138,138.0,2021-04-09,13.49,13.47,13.49,13.47,0
139,139.0,2021-04-12,13.3,13.3,13.3,13.3,0
140,140.0,2021-04-13,13.28,13.34,13.34,13.28,0
141,141.0,2021-04-14,13.39,13.39,13.4,13.39,210
142,142.0,2021-04-15,13.37,13.43,13.45,13.37,18
143,143.0,2021-04-16,13.47,13.5,13.5,13.47,0
144,144.0,2021-04-19,13.5,13.39,13.5,13.39,1
145,145.0,2021-04-20,13.39,13.28,13.39,13.28,0
146,146.0,2021-04-21,13.29,13.33,13.33,13.29,6
147,147.0,2021-04-22,13.36,13.43,13.43,13.36,0
148,148.0,2021-04-23,13.46,13.48,13.48,13.46,5
