,date,open,close,high,low,volumme
0,2023-09-08,5.01,5.01,5.01,5.01,0
1,2023-09-11,5.017,5.017,5.017,5.017,0
2,2023-09-12,5.015,5.061,5.063,5.015,21061
3,2023-09-13,5.092,5.026,5.092,5.02,69928
4,2023-09-14,5.037,5.02,5.037,5.02,699
5,2023-09-15,5.014,5.014,5.014,5.01,20
6,2023-09-18,5.035,5.017,5.035,5.017,1870
7,2023-09-19,5.016,5.01,5.017,5.01,2056
8,2023-09-20,5.021,5.016,5.021,5.016,6600
9,2023-09-21,5.018,5.018,5.018,5.018,1327
10,2023-09-22,5.009,5.009,5.009,5.009,0
11,2023-09-25,5.015,5.01,5.015,5.01,20
12,2023-09-26,5.008,5.008,5.008,5.008,0
13,2023-09-27,5.012,5.021,5.021,5.012,4308
14,2023-09-28,5.026,5.018,5.026,5.018,4118
15,2023-09-29,5.027,5.019,5.027,5.019,533
16,2023-10-02,5.011,5.015,5.021,5.011,24524
17,2023-10-03,5.02,5.018,5.02,5.018,26456
18,2023-10-04,5.017,5.019,5.019,5.017,15
19,2023-10-05,5.019,5.025,5.025,5.01,9994
20,2023-10-06,5.021,5.02,5.021,5.018,7211
21,2023-10-09,5.019,5.024,5.029,5.019,26000
22,2023-10-10,5.032,5.03,5.032,5.024,15777
23,2023-10-11,5.027,5.03,5.03,5.027,994
24,2023-10-12,5.027,5.027,5.031,5.021,3904
25,2023-10-13,5.023,5.03,5.03,5.023,22042
26,2023-10-16,5.023,5.025,5.031,5.023,5971
27,2023-10-17,5.016,5.022,5.026,5.016,300
28,2023-10-18,5.013,5.017,5.022,5.013,3189
29,2023-10-19,5.021,5.018,5.021,5.015,5318
30,2023-10-20,5.019,5.019,5.021,5.019,14087
31,2023-10-23,5.021,5.024,5.024,5.02,42136
32,2023-10-24,5.148,5.03,5.148,5.026,7684
33,2023-10-25,5.033,5.03,5.033,5.03,15410
34,2023-10-26,5.029,5.024,5.033,5.02,30738
35,2023-10-27,5.033,5.03,5.033,5.03,1494
36,2023-10-30,5.041,5.034,5.041,5.033,12213
37,2023-10-31,5.037,5.038,5.044,5.037,50877
38,2023-11-01,5.039,5.044,5.044,5.038,3974
39,2023-11-02,5.043,5.049,5.074,5.043,25488
40,2023-11-03,5.049,5.046,5.049,5.045,25459
41,2023-11-06,5.052,5.04,5.052,5.04,15147
42,2023-11-07,5.045,5.046,5.046,5.037,10432
43,2023-11-08,5.05,5.047,5.05,5.04,7914
44,2023-11-09,5.05,5.049,5.05,5.044,400
45,2023-11-10,5.049,5.046,5.049,5.046,3753
46,2023-11-13,5.05,5.039,5.05,5.039,25980
47,2023-11-14,5.049,5.04,5.05,5.04,10884
48,2023-11-15,5.054,5.051,5.059,5.051,36127
49,2023-11-16,5.054,5.055,5.06,5.054,30067
50,2023-11-17,5.065,5.06,5.065,5.055,149838
51,2023-11-20,5.06,5.058,5.06,5.058,25448
52,2023-11-21,5.06,5.059,5.06,5.052,19138
53,2023-11-22,5.057,5.056,5.061,5.056,1785
54,2023-11-23,5.06,5.053,5.065,5.053,7598
