,date,open,close,high,low,volumme
0,2016-05-05,100.52,100.52,100.52,100.52,0
1,2016-05-06,100.53,100.53,100.53,100.53,1000000
2,2016-05-09,100.59,100.59,100.59,100.59,0
3,2016-05-10,100.57,100.53,100.57,100.53,1000000
4,2016-05-11,100.55,100.57,100.57,100.55,0
5,2016-05-12,100.45,100.45,100.45,100.45,0
6,2016-05-13,100.45,100.4,100.45,100.4,100000
7,2016-05-16,100.4,100.42,100.42,100.4,0
8,2016-05-17,100.52,100.52,100.52,100.52,0
9,2016-05-18,100.57,100.47,100.57,100.47,0
10,2016-05-19,100.45,100.38,100.45,100.38,0
11,2016-05-20,100.4,100.34,100.4,100.34,1000
12,2016-05-23,100.4,100.41,100.41,100.4,0
13,2016-05-24,100.41,100.42,100.49,100.41,2538
14,2016-05-25,100.43,100.44,100.44,100.43,0
15,2016-05-26,100.5,100.38,100.57,100.38,915
16,2016-05-27,100.4,100.34,100.4,100.34,0
17,2016-05-30,100.45,100.28,100.45,100.28,0
18,2016-05-31,100.34,100.37,100.44,100.34,50
19,2016-06-01,100.4,100.23,100.4,100.23,0
20,2016-06-02,100.22,100.16,100.22,100.16,0
21,2016-06-03,100.11,100.11,100.11,100.11,300
22,2016-06-06,100.13,100.13,100.13,100.13,0
23,2016-06-07,100.13,100.09,100.13,100.0,245
24,2016-06-08,100.08,100.08,100.13,100.08,288
25,2016-06-09,100.1,99.93,100.1,99.93,0
26,2016-06-10,99.93,99.78,99.93,99.78,100
27,2016-06-13,99.84,99.78,99.84,99.78,75
28,2016-06-14,99.72,99.7,99.72,99.7,0
29,2016-06-15,99.69,99.71,99.71,99.69,0
30,2016-06-16,99.7,99.58,99.7,99.58,0
31,2016-06-17,99.57,99.69,99.69,99.57,0
32,2016-06-20,99.67,99.81,99.81,99.67,0
33,2016-06-21,99.81,99.75,99.81,99.75,0
34,2016-06-22,99.77,99.81,99.81,99.77,0
35,2016-06-23,99.85,99.95,99.95,99.85,0
36,2016-06-24,99.37,99.37,99.37,99.37,0
37,2016-06-27,99.31,99.04,99.31,99.04,0
38,2016-06-28,99.49,99.31,99.49,99.31,400
39,2016-06-29,99.28,99.47,99.47,99.16,219
40,2016-06-30,99.45,99.47,99.47,99.45,0
41,2016-07-01,99.34,99.34,99.34,99.34,0
42,2016-07-04,99.4,99.4,99.4,99.4,0
43,2016-07-05,99.7,99.8,99.8,99.7,248
44,2016-07-06,99.12,98.97,99.29,98.97,11052
45,2016-07-07,98.98,98.93,98.98,98.93,0
46,2016-07-08,98.94,98.85,98.94,98.85,0
47,2016-07-11,98.87,98.84,98.87,98.84,0
48,2016-07-12,98.8,99.05,99.19,98.8,50
49,2016-07-13,99.01,99.09,99.09,99.01,0
50,2016-07-14,99.29,99.29,99.29,99.29,0
51,2016-07-15,99.28,99.61,99.61,99.28,0
52,2016-07-18,99.61,99.55,99.61,99.55,0
53,2016-07-19,99.54,99.53,99.54,99.49,2553
54,2016-07-20,99.54,99.53,99.57,99.53,150
55,2016-07-21,99.54,99.36,99.54,99.36,347
56,2016-07-22,99.37,99.32,99.37,99.32,0
57,2016-07-25,99.35,99.33,99.54,99.33,750
58,2016-07-26,99.33,99.5,99.5,99.33,0
59,2016-07-27,99.51,99.57,99.57,99.51,0
60,2016-07-28,99.55,99.58,99.81,99.39,1111
61,2016-07-29,99.58,99.53,99.82,99.53,9580
62,2016-08-01,99.52,99.51,99.73,99.51,100
63,2016-08-02,99.52,99.47,99.65,99.47,100
64,2016-08-03,99.46,99.41,99.64,99.41,100
65,2016-08-04,99.4,99.41,99.61,99.4,1350
66,2016-08-05,99.4,99.53,99.53,99.4,0
67,2016-08-08,99.54,99.63,99.63,99.54,0
68,2016-08-09,99.62,99.66,99.66,99.62,0
69,2016-08-10,99.61,99.64,99.64,99.44,3438
70,2016-08-11,99.67,99.66,99.67,99.66,0
71,2016-08-12,99.67,99.78,99.78,99.67,0
72,2016-08-15,99.81,99.85,99.85,99.81,0
73,2016-08-16,99.85,99.82,99.85,99.82,0
74,2016-08-17,99.84,99.84,99.84,99.84,0
75,2016-08-18,99.84,99.61,99.84,99.61,18553
76,2016-08-19,99.61,99.71,99.77,99.52,741
77,2016-08-22,99.72,99.66,99.72,99.66,0
78,2016-08-23,99.66,99.73,99.73,99.66,0
79,2016-08-24,99.74,99.69,99.74,99.65,14900
80,2016-08-25,99.69,99.75,99.75,99.69,0
81,2016-08-26,99.76,99.86,99.86,99.76,0
82,2016-08-29,99.88,99.91,99.91,99.88,0
83,2016-08-30,99.91,99.9,99.91,99.9,0
84,2016-08-31,99.91,99.82,99.91,99.82,0
85,2016-09-01,99.87,99.87,99.87,99.87,0
86,2016-09-02,99.87,99.87,99.87,99.87,0
87,2016-09-05,99.81,99.83,99.83,99.81,0
88,2016-09-06,99.8,99.84,99.84,99.8,0
89,2016-09-07,99.81,100.04,100.04,99.81,0
90,2016-09-08,100.05,100.12,100.33,100.05,3668
91,2016-09-09,100.12,100.25,100.25,100.12,0
92,2016-09-12,100.2,100.25,100.25,100.2,0
93,2016-09-13,100.23,100.23,100.23,100.23,0
94,2016-09-14,100.14,100.11,100.14,100.11,0
95,2016-09-15,100.14,100.13,100.14,100.13,0
96,2016-09-16,100.2,100.09,100.2,100.09,0
97,2016-09-19,100.02,100.12,100.12,100.02,18
98,2016-09-20,100.09,100.17,100.17,100.09,0
99,2016-09-21,100.16,100.22,100.4,100.16,10000
100,2016-09-22,100.22,100.27,100.22,100.22,567
101,2016-09-23,100.26,100.25,100.26,100.25,0
102,2016-09-26,100.18,100.1,100.31,100.1,12
103,2016-09-27,100.07,99.94,100.07,99.94,0
104,2016-09-28,99.89,99.96,100.03,99.89,1204
105,2016-09-29,99.93,100.13,100.19,99.93,47
106,2016-09-30,100.11,100.14,100.14,100.11,0
107,2016-10-03,100.12,100.22,100.22,100.12,0
108,2016-10-04,100.2,100.16,100.34,100.16,2135
109,2016-10-05,100.18,100.26,100.26,100.18,348
110,2016-10-06,100.27,100.27,100.41,100.27,19
111,2016-10-07,100.26,100.27,100.33,100.26,514
112,2016-10-10,100.25,100.31,100.31,100.25,12
113,2016-10-11,100.39,100.27,100.39,100.27,745
114,2016-10-12,100.28,100.19,100.34,100.19,417
115,2016-10-13,100.16,100.12,100.16,100.12,0
116,2016-10-14,100.13,100.23,100.24,100.13,12
117,2016-10-17,100.25,100.32,100.4,100.25,31
118,2016-10-18,100.31,100.48,100.48,100.31,550
119,2016-10-19,100.46,100.52,100.59,100.46,20
120,2016-10-20,100.51,100.51,100.63,100.51,805
121,2016-10-21,100.5,100.54,100.59,100.5,530
122,2016-10-24,100.51,100.61,100.72,100.51,765
123,2016-10-25,100.58,100.78,100.78,100.58,17777
124,2016-10-26,100.63,100.53,100.63,100.53,1215
125,2016-10-27,100.53,100.5,100.53,100.49,350
126,2016-10-28,100.49,100.44,100.53,100.44,150
127,2016-10-31,100.6,100.41,100.74,100.41,2500
128,2016-11-01,100.55,100.51,100.55,100.51,0
129,2016-11-02,100.53,100.09,100.53,100.09,3860
130,2016-11-03,100.04,100.08,100.08,100.04,0
131,2016-11-04,100.09,100.1,100.2,100.09,180
132,2016-11-07,100.11,100.19,100.19,100.11,0
133,2016-11-08,100.2,100.18,100.2,100.18,0
134,2016-11-09,99.96,100.24,100.34,99.96,200
135,2016-11-10,100.25,100.45,100.52,100.25,3200
136,2016-11-11,100.43,100.49,100.49,100.19,225
137,2016-11-14,100.52,100.61,100.61,100.47,260
