,date,open,close,high,low,volumme
0,2022-03-07,5.107,0.0,5.107,5.107,10000
1,2022-03-08,4.853,4.853,4.853,4.853,0
2,2022-03-10,5.1075,5.083,5.1075,5.083,0
3,2022-03-11,5.0895,5.0855,5.0895,5.0855,0
4,2022-03-14,5.0975,5.0755,5.0975,5.0755,0
5,2022-03-15,5.0155,5.286,5.286,5.0155,13202
6,2022-03-16,5.411,5.5035,5.5035,5.411,0
7,2022-03-17,5.582,5.476,5.582,5.476,0
8,2022-03-18,5.6555,5.6555,5.6555,5.6555,0
9,2022-03-21,5.6058,5.5425,5.6058,5.5425,0
10,2022-03-22,5.598,5.598,5.598,5.598,0
11,2022-03-23,5.65,5.581,5.65,5.581,890
12,2022-03-24,5.6015,5.6115,5.6115,5.6015,0
13,2022-03-25,5.671,5.7115,5.7115,5.671,0
14,2022-03-28,5.745,5.722,5.745,5.722,0
15,2022-03-29,5.936,5.936,5.936,5.936,0
16,2022-03-30,5.919,5.861,5.919,5.861,15001
17,2022-03-31,5.886,5.939,5.939,5.886,0
18,2022-04-01,5.97,5.965,5.97,5.965,0
19,2022-04-04,5.972,5.9825,5.9825,5.972,0
20,2022-04-05,5.9865,5.89,5.9865,5.89,0
21,2022-04-06,5.96,5.7825,5.999,5.7825,2
22,2022-04-07,5.764,5.604,5.764,5.604,0
23,2022-04-08,5.7125,5.6765,5.7125,5.6765,0
24,2022-04-11,5.5744,5.7085,5.7085,5.5744,0
25,2022-04-12,5.6765,5.765,5.765,5.6765,0
26,2022-04-13,5.7899,6.0015,6.0015,5.7899,0
27,2022-04-14,6.0095,6.141,6.141,6.0095,0
28,2022-04-19,6.224,6.224,6.224,6.224,0
29,2022-04-20,6.1657,6.227,6.227,6.1657,0
30,2022-04-21,6.2815,6.5155,6.5155,6.2815,0
31,2022-04-22,6.3545,6.3545,6.3545,6.3545,0
32,2022-04-25,6.2145,6.237,6.237,6.2145,0
33,2022-04-26,6.295,6.127,6.295,6.127,2285
34,2022-04-27,6.1385,6.155,6.155,6.1,410
35,2022-04-28,6.27,6.191,6.27,6.191,0
36,2022-04-29,6.2815,6.318,6.318,6.2815,0
37,2022-05-03,6.146,6.165,6.165,6.146,0
38,2022-05-04,6.197,6.055,6.197,6.055,0
39,2022-05-05,6.0695,6.0695,6.0695,6.0695,0
40,2022-05-06,5.901,5.901,5.901,5.901,0
41,2022-05-09,5.8305,5.5645,5.8305,5.5645,0
42,2022-05-10,5.5532,5.471,5.5532,5.471,0
43,2022-05-11,5.559,5.6185,5.6185,5.559,0
44,2022-05-12,5.4375,5.4375,5.4375,5.4375,0
45,2022-05-13,5.4185,5.531,5.531,5.4185,0
46,2022-05-16,5.539,5.563,5.563,5.539,0
47,2022-05-17,5.5885,5.7115,5.7115,5.5885,8674
48,2022-05-18,5.7885,5.7035,5.7885,5.7035,0
49,2022-05-19,5.5965,5.5965,5.5965,5.5965,0
50,2022-05-20,5.6195,5.562,5.6195,5.562,0
51,2022-05-23,5.5674,5.555,5.5674,5.555,0
52,2022-05-24,5.499,5.2475,5.499,5.2475,109
53,2022-05-25,5.291,5.354,5.354,5.291,0
54,2022-05-26,5.4044,5.4044,5.4044,5.4044,0
55,2022-05-27,5.6626,5.6626,5.6626,5.6626,0
56,2022-05-30,5.8405,5.8405,5.8405,5.8405,0
57,2022-05-31,5.816,5.816,5.816,5.816,0
58,2022-06-01,5.745,5.633,5.745,5.633,3
59,2022-06-02,5.6345,5.646,5.646,5.6345,0
60,2022-06-03,5.661,5.495,5.661,5.495,0
61,2022-06-06,5.617,5.602,5.617,5.602,14592
62,2022-06-07,5.593,5.6245,5.6245,5.593,0
63,2022-06-08,5.6626,5.603,5.6626,5.603,0
64,2022-06-09,5.467,5.467,5.467,5.467,0
65,2022-06-10,5.4145,5.2455,5.4145,5.2455,0
66,2022-06-13,5.1532,4.9492,5.1532,4.9492,0
67,2022-06-14,4.9852,4.834,4.9852,4.834,0
68,2022-06-15,4.876,4.9727,4.9727,4.876,0
69,2022-06-16,4.9175,4.9175,4.9175,4.9175,0
70,2022-06-17,4.644,4.7232,4.7232,4.644,0
71,2022-06-20,4.7843,4.8387,4.8387,4.7843,0
72,2022-06-21,4.7912,4.7912,4.7912,4.7912,0
73,2022-06-22,4.7862,4.7862,4.7862,4.7862,0
74,2022-06-23,4.8002,4.7362,4.8002,4.7362,0
75,2022-06-24,4.8049,4.9302,4.9302,4.8049,0
76,2022-06-27,4.985,4.9055,4.985,4.9055,0
77,2022-06-28,4.9295,4.9757,4.9757,4.9295,0
78,2022-06-29,4.8697,4.7812,4.8697,4.7812,0
79,2022-06-30,4.7585,4.7585,4.7585,4.7585,0
80,2022-07-01,4.6854,4.8082,4.8082,4.6854,0
81,2022-07-04,4.855,4.8407,4.855,4.8407,0
82,2022-07-05,4.8632,4.8152,4.8632,4.8152,0
83,2022-07-06,4.9377,4.8777,4.9377,4.8777,0
84,2022-07-07,4.9622,5.018,5.018,4.9622,0
85,2022-07-08,5.004,5.04,5.04,5.004,0
86,2022-07-11,4.9635,4.9232,4.9635,4.9232,0
87,2022-07-12,4.9117,5.1565,5.1565,4.9117,0
88,2022-07-13,5.1796,4.9857,5.1796,4.9857,0
89,2022-07-14,5.0805,5.0575,5.0805,5.0575,0
90,2022-07-15,5.0495,5.121,5.121,5.0495,0
91,2022-07-18,5.1584,5.2145,5.2145,5.1584,0
92,2022-07-19,5.1515,5.2695,5.2695,5.1515,0
93,2022-07-20,5.3535,5.3535,5.3535,5.3535,0
94,2022-07-21,5.2665,5.19,5.2665,5.19,0
95,2022-07-22,5.1625,5.147,5.1625,5.147,0
96,2022-07-25,5.1,5.092,5.1,5.092,0
97,2022-07-26,5.0875,5.1035,5.1035,5.0875,0
98,2022-07-27,5.1205,5.1205,5.1205,5.1205,0
99,2022-07-28,5.1425,5.1425,5.1425,5.1425,0
100,2022-07-29,5.205,5.2125,5.2125,5.205,0
101,2022-08-01,5.228,5.2325,5.253,5.228,17
102,2022-08-02,5.2615,5.2765,5.2765,5.2615,0
103,2022-08-03,5.2805,5.386,5.386,5.2805,0
104,2022-08-04,5.4135,5.406,5.4135,5.406,0
105,2022-08-05,5.452,5.4228,5.452,5.4228,0
106,2022-08-08,5.4658,5.4658,5.4658,5.4658,0
107,2022-08-09,5.4868,5.3519,5.4868,5.3519,0
108,2022-08-10,5.3639,5.4613,5.4613,5.3639,5553
109,2022-08-11,5.4728,5.4866,5.4866,5.4728,0
110,2022-08-12,5.4678,5.5287,5.5287,5.4678,0
111,2022-08-15,5.6708,5.6708,5.6708,5.6708,0
112,2022-08-16,5.6918,5.6894,5.6918,5.6894,0
113,2022-08-17,5.7141,5.5577,5.7141,5.5577,0
114,2022-08-18,5.5622,5.587,5.587,5.5622,28
115,2022-08-19,5.593,5.4172,5.593,5.4172,232
116,2022-08-22,5.3427,5.3427,5.3427,5.3427,0
117,2022-08-23,5.3492,5.3584,5.3584,5.3492,0
118,2022-08-24,5.3839,5.4387,5.4387,5.3839,0
119,2022-08-25,5.4747,5.5094,5.5094,5.4747,0
120,2022-08-26,5.5554,5.4268,5.5554,5.4268,0
121,2022-08-29,5.3524,5.3061,5.3524,5.3061,0
122,2022-08-30,5.3157,5.2706,5.3157,5.2706,0
123,2022-08-31,5.2271,5.2271,5.2271,5.2271,0
124,2022-09-01,5.1386,5.1033,5.1386,5.1033,0
125,2022-09-02,5.1644,5.2247,5.2247,5.1644,0
126,2022-09-05,5.1974,5.1974,5.1974,5.1974,0
127,2022-09-06,5.1966,5.1871,5.1966,5.1871,0
128,2022-09-07,5.2045,5.2586,5.2586,5.2045,0
129,2022-09-08,5.3479,5.3334,5.3479,5.3334,0
130,2022-09-09,5.3343,5.3716,5.3716,5.3343,0
131,2022-09-12,5.3432,5.4136,5.4136,5.3432,0
132,2022-09-13,5.4866,5.2987,5.4866,5.2987,0
133,2022-09-14,5.2949,5.2636,5.2949,5.2636,0
134,2022-09-15,5.3759,5.3916,5.3916,5.3759,0
135,2022-09-16,5.2589,5.1648,5.2589,5.1648,20562
136,2022-09-19,5.2334,5.2334,5.2334,5.2334,0
