,Unnamed: 0,date,open,close,high,low,volumme
0,0.0,2014-11-18,89.74,89.74,89.74,89.74,0
1,1.0,2014-11-19,89.95,89.95,89.95,89.95,0
2,2.0,2014-11-20,88.43,87.65,88.43,87.44,11732
3,3.0,2014-11-21,88.48,89.86,89.86,88.48,417
4,4.0,2014-11-24,89.96,89.92,89.96,89.92,2502
5,5.0,2014-11-25,91.67,89.15,91.67,89.15,25
6,6.0,2014-11-26,89.27,89.05,89.27,88.92,1668
7,7.0,2014-11-27,88.32,88.3,88.32,88.3,100
8,8.0,2014-11-28,89.24,89.21,89.24,89.21,0
9,9.0,2014-12-01,89.42,89.23,89.42,88.89,4587
10,10.0,2014-12-02,90.14,90.73,90.73,90.14,0
11,11.0,2014-12-03,90.21,91.0,91.0,90.21,0
12,12.0,2014-12-04,90.63,89.49,90.7,89.49,3336
13,13.0,2014-12-05,90.43,90.88,90.88,90.43,1251
14,14.0,2014-12-08,90.43,90.0,90.43,90.0,0
15,15.0,2014-12-09,89.77,88.54,89.77,88.54,56
16,16.0,2014-12-10,88.76,88.2,88.76,88.2,0
17,17.0,2014-12-11,87.95,88.89,88.89,87.95,55
18,18.0,2014-12-12,88.06,87.06,88.06,87.06,0
19,19.0,2014-12-15,86.38,85.68,86.38,85.68,0
20,20.0,2014-12-16,86.08,85.93,86.08,85.93,0
21,21.0,2014-12-17,86.36,86.96,87.06,86.12,3753
22,22.0,2014-12-18,88.44,89.19,89.19,88.44,0
23,23.0,2014-12-19,89.52,90.34,90.34,89.52,834
24,24.0,2014-12-22,89.66,89.89,89.89,89.66,0
25,25.0,2014-12-23,90.6,90.6,90.6,90.6,0
26,26.0,2014-12-29,90.09,90.09,90.09,90.09,0
27,27.0,2014-12-30,89.19,89.19,89.19,89.19,0
28,28.0,2015-01-02,90.12,90.04,90.12,90.04,0
29,29.0,2015-01-05,89.9,89.44,89.98,89.44,1251
30,30.0,2015-01-06,89.34,88.22,89.34,88.22,1251
31,31.0,2015-01-07,89.67,90.33,90.33,89.67,0
32,32.0,2015-01-08,90.58,91.45,91.45,90.58,0
33,33.0,2015-01-09,90.64,90.28,90.64,90.13,417
34,34.0,2015-01-12,89.89,90.01,90.01,89.89,0
35,35.0,2015-01-13,90.67,91.51,91.51,90.67,0
36,36.0,2015-01-14,91.26,90.56,91.26,90.56,2502
37,37.0,2015-01-15,92.65,93.46,93.72,92.38,10008
38,38.0,2015-01-16,93.29,94.64,94.75,93.29,417
39,39.0,2015-01-19,94.23,93.96,94.23,93.96,0
40,40.0,2015-01-20,95.27,94.88,95.27,94.88,0
41,41.0,2015-01-21,95.15,94.31,95.15,94.31,3100
42,42.0,2015-01-22,94.79,96.24,96.24,94.79,0
43,43.0,2015-01-23,97.48,97.83,97.83,97.48,0
44,44.0,2015-01-26,98.7,98.8,98.8,98.7,0
45,45.0,2015-01-27,99.42,98.33,99.42,98.33,0
46,46.0,2015-01-28,99.3,99.12,99.3,99.12,0
47,47.0,2015-01-29,99.2,98.86,99.2,98.86,504
48,48.0,2015-01-30,98.25,98.4,98.4,98.25,0
49,49.0,2015-02-02,98.47,98.73,98.73,98.47,0
50,50.0,2015-02-03,97.62,96.83,97.94,96.83,5
51,51.0,2015-02-04,97.6,98.54,98.54,97.6,0
52,52.0,2015-02-05,98.17,98.69,98.69,98.17,0
53,53.0,2015-02-06,98.09,99.16,99.16,98.09,0
54,54.0,2015-02-09,98.14,98.07,98.14,98.07,0
55,55.0,2015-02-10,98.54,98.96,98.96,98.54,0
56,56.0,2015-02-11,98.86,99.16,99.16,98.86,0
57,57.0,2015-02-12,98.41,98.7,98.93,98.41,7506
58,58.0,2015-02-13,99.63,100.4,100.4,99.63,0
59,59.0,2015-02-16,100.18,100.57,100.57,100.0,281
60,60.0,2015-02-17,101.0,100.72,101.0,100.72,0
61,61.0,2015-02-18,101.91,102.59,102.59,101.91,0
62,62.0,2015-02-19,102.38,103.18,103.18,102.31,1
63,63.0,2015-02-20,103.37,103.82,103.82,103.37,0
64,64.0,2015-02-23,103.37,103.75,103.75,103.37,0
65,65.0,2015-02-24,103.77,104.47,104.47,103.77,84
66,66.0,2015-02-25,103.8,103.78,103.8,103.78,0
67,67.0,2015-02-26,104.91,106.33,106.33,104.91,0
68,68.0,2015-02-27,105.98,105.8,106.52,105.8,10
69,69.0,2015-03-02,105.51,105.9,105.9,105.51,5
70,70.0,2015-03-03,105.96,105.61,105.96,105.61,150
71,71.0,2015-03-04,105.18,106.22,106.22,105.18,80000
72,72.0,2015-03-05,107.28,107.75,107.75,107.28,150
73,73.0,2015-03-06,108.57,109.28,109.83,108.57,7808
74,74.0,2015-03-09,108.69,108.75,108.75,108.69,10
75,75.0,2015-03-10,107.94,108.53,108.69,107.94,2376
76,76.0,2015-03-11,109.27,110.98,110.98,109.27,834
