,date,open,close,high,low,volumme
0,2014-09-22,10.3,10.269,10.3,10.268,7380
1,2014-09-23,10.22,10.112,10.221,10.09,57010
2,2014-09-24,10.124,10.207,10.207,10.11,23200
3,2014-09-25,10.209,10.122,10.239,10.122,3037
4,2014-09-26,10.094,10.138,10.156,10.085,7560
5,2014-09-29,10.13,10.131,10.131,10.109,2165
6,2014-09-30,10.152,10.134,10.178,10.134,107455
7,2014-10-01,10.1,10.039,10.1,10.039,11653
8,2014-10-02,9.99,9.783,9.993,9.783,102780
9,2014-10-03,9.86,9.911,9.928,9.854,31306
10,2014-10-06,9.932,9.955,9.986,9.932,173710
11,2014-10-07,9.929,9.841,9.929,9.839,22260
12,2014-10-08,9.808,9.784,9.808,9.76,20676
13,2014-10-09,9.87,9.74,9.87,9.738,6107
14,2014-10-10,9.654,9.586,9.654,9.55,89067
15,2014-10-13,9.53,9.603,9.617,9.53,48930
16,2014-10-14,9.536,9.578,9.578,9.487,7275
17,2014-10-15,9.51,9.228,9.51,9.228,123425
18,2014-10-16,9.326,9.25,9.326,9.066,48200
19,2014-10-17,9.282,9.478,9.483,9.282,36469
20,2014-10-20,9.472,9.416,9.472,9.416,0
21,2014-10-21,9.382,9.63,9.63,9.382,88650
22,2014-10-22,9.597,9.681,9.681,9.558,7275
23,2014-10-23,9.592,9.708,9.708,9.592,54567
24,2014-10-24,9.636,9.668,9.679,9.636,1166
25,2014-10-27,9.732,9.629,9.732,9.622,415
26,2014-10-28,9.676,9.679,9.682,9.661,32377
27,2014-10-29,9.726,9.731,9.735,9.726,5300
28,2014-10-30,9.807,9.784,9.807,9.688,1133
29,2014-10-31,9.906,9.966,9.966,9.906,184331
30,2014-11-03,9.955,9.89,9.977,9.889,4526
31,2014-11-04,9.866,9.796,9.875,9.796,53513
32,2014-11-05,9.88,9.978,9.978,9.868,2266
33,2014-11-06,9.936,9.998,10.048,9.928,813284
34,2014-11-07,10.031,10.006,10.064,9.988,6643
35,2014-11-10,10.006,10.08,10.08,10.006,850
36,2014-11-11,10.09,10.095,10.103,10.09,40300
37,2014-11-12,10.08,10.015,10.101,10.01,28847
38,2014-11-13,10.022,10.006,10.03,10.006,36498
39,2014-11-14,10.007,9.97,10.007,9.943,16144
40,2014-11-17,9.912,10.023,10.023,9.868,3138
41,2014-11-18,10.024,10.013,10.024,10.013,3169
42,2014-11-19,9.987,10.001,10.028,9.987,871
43,2014-11-20,9.989,10.01,10.01,9.96,102460
44,2014-11-21,10.022,10.207,10.207,10.022,1800
45,2014-11-24,10.194,10.17,10.2,10.17,121305
46,2014-11-25,10.157,10.152,10.18,10.152,487
47,2014-11-26,10.171,10.161,10.179,10.159,1499
48,2014-11-27,10.181,10.142,10.181,10.142,35123
49,2014-11-28,10.13,10.117,10.13,10.08,2859
50,2014-12-01,10.021,10.039,10.06,10.016,292079
51,2014-12-02,10.1,10.181,10.181,10.1,24730
52,2014-12-03,10.204,10.251,10.275,10.204,15618
53,2014-12-04,10.263,10.098,10.263,10.098,87687
54,2014-12-05,10.17,10.225,10.23,10.17,40229
55,2014-12-08,10.189,10.153,10.193,10.153,8783
56,2014-12-09,10.047,9.88,10.047,9.88,70161
57,2014-12-10,9.934,9.826,9.945,9.826,7827
58,2014-12-11,9.806,9.802,9.83,9.707,200734
59,2014-12-12,9.727,9.49,9.727,9.49,48244
60,2014-12-15,9.515,9.288,9.618,9.288,169870
61,2014-12-16,9.338,9.546,9.546,9.27,77204
62,2014-12-17,9.436,9.569,9.569,9.436,50435
63,2014-12-18,9.694,9.887,9.887,9.643,729429
64,2014-12-19,9.935,10.012,10.025,9.885,429866
65,2014-12-22,10.068,10.04,10.096,10.024,241897
66,2014-12-23,10.061,10.067,10.098,10.039,91052
67,2014-12-24,10.131,10.131,10.131,10.09,6245
68,2014-12-29,10.13,10.12,10.13,10.091,40792
69,2014-12-30,10.085,10.023,10.085,9.997,401242
70,2014-12-31,10.079,10.093,10.093,10.06,328
71,2015-01-02,10.184,10.027,10.184,10.016,97454
72,2015-01-05,9.983,9.8,10.057,9.8,245201
73,2015-01-06,9.804,9.692,9.807,9.692,11819
74,2015-01-07,9.741,9.811,9.865,9.741,17767
75,2015-01-08,9.885,10.092,10.092,9.885,64780
76,2015-01-09,10.038,9.968,10.063,9.968,38998
77,2015-01-12,9.964,9.978,10.026,9.964,8668
78,2015-01-13,9.944,10.085,10.102,9.944,37009
79,2015-01-14,9.952,9.865,9.952,9.815,64737
80,2015-01-15,10.009,10.188,10.188,9.867,138899
81,2015-01-16,10.114,10.308,10.308,10.114,27398
82,2015-01-19,10.282,10.278,10.32,10.27,15408
83,2015-01-20,10.316,10.402,10.412,10.316,26527
84,2015-01-21,10.457,10.368,10.511,10.368,90443
85,2015-01-22,10.542,10.729,10.768,10.542,532454
86,2015-01-23,10.799,10.908,10.98,10.799,1965763
87,2015-01-26,10.897,10.971,10.971,10.89,421479
88,2015-01-27,11.051,10.917,11.051,10.882,152283
89,2015-01-28,10.982,10.95,10.982,10.893,36807
90,2015-01-29,10.899,10.856,10.937,10.85,12731
91,2015-01-30,10.895,10.759,10.895,10.759,5210
92,2015-02-02,10.798,10.773,10.815,10.7,54566
93,2015-02-03,10.822,10.864,10.924,10.822,34039
94,2015-02-04,10.904,10.956,10.956,10.855,104954
95,2015-02-05,10.921,11.012,11.012,10.921,32214
96,2015-02-06,10.989,11.06,11.079,10.978,14041
97,2015-02-09,10.981,11.014,11.03,10.955,19971
98,2015-02-10,11.024,11.029,11.03,10.97,25390
99,2015-02-11,11.038,11.025,11.045,11.0,36021
100,2015-02-12,11.026,11.068,11.124,11.026,167073
101,2015-02-13,11.104,11.132,11.159,11.09,49692
102,2015-02-16,11.152,11.105,11.152,11.091,96459
103,2015-02-17,11.113,11.157,11.162,11.11,5052
104,2015-02-18,11.172,11.261,11.263,11.172,30655
105,2015-02-19,11.186,11.247,11.257,11.147,180261
106,2015-02-20,11.266,11.256,11.307,11.232,412457
107,2015-02-23,11.346,11.331,11.346,11.25,91258
108,2015-02-24,11.344,11.398,11.402,11.344,225418
109,2015-02-25,11.385,11.384,11.398,11.343,145453
110,2015-02-26,11.406,11.495,11.495,11.39,64836
111,2015-02-27,11.523,11.514,11.548,11.447,65528
