,date,open,close,high,low,volumme
0,2019-04-01,47.377,47.377,47.377,47.377,0
1,2019-04-02,47.568,47.569,47.622,47.568,131
2,2019-04-03,47.716,47.633,47.716,47.633,79
3,2019-04-04,47.519,47.414,47.573,47.414,13
4,2019-04-05,47.535,47.609,47.609,47.535,0
5,2019-04-08,47.653,47.406,47.653,47.406,0
6,2019-04-09,47.409,47.285,47.409,47.285,0
7,2019-04-10,47.377,47.443,47.443,47.377,0
8,2019-04-11,47.418,47.491,47.491,47.413,1829
9,2019-04-12,47.467,47.42,47.467,47.42,0
10,2019-04-15,47.554,47.613,47.613,47.554,0
11,2019-04-16,47.63,47.523,47.63,47.523,0
12,2019-04-17,47.246,47.089,47.3,47.089,96
13,2019-04-18,46.899,47.376,47.376,46.899,0
14,2019-04-23,47.115,47.677,47.677,47.115,302
15,2019-04-24,47.729,48.032,48.032,47.729,0
16,2019-04-25,47.94,48.231,48.231,47.94,0
17,2019-04-26,48.242,48.46,48.46,48.242,2972
18,2019-04-29,48.385,48.338,48.385,48.338,0
19,2019-04-30,48.32,48.399,48.399,48.32,21
20,2019-05-02,48.307,48.196,48.307,48.173,1853
21,2019-05-03,48.453,48.5,48.513,48.453,586
22,2019-05-06,47.9,48.299,48.299,47.9,160
23,2019-05-07,48.288,48.12,48.298,48.12,21
24,2019-05-08,47.853,47.745,47.853,47.745,0
25,2019-05-09,47.606,47.268,47.705,47.227,658
26,2019-05-10,47.58,47.343,47.58,47.273,746
27,2019-05-13,47.883,47.768,47.883,47.697,11
28,2019-05-14,47.983,48.261,48.261,47.983,315
29,2019-05-15,48.195,48.373,48.373,47.35,329
30,2019-05-16,48.181,48.895,48.895,48.169,105
31,2019-05-17,48.628,48.933,48.933,48.591,376
32,2019-05-20,48.917,48.803,48.917,48.798,43
33,2019-05-21,48.865,49.0,49.0,48.865,0
34,2019-05-22,48.915,49.0,49.0,48.815,69
35,2019-05-23,48.975,48.892,49.015,48.892,2394
36,2019-05-24,48.951,48.861,48.963,48.847,745
37,2019-05-27,49.031,48.974,49.031,48.946,41
38,2019-05-28,49.098,48.926,49.158,48.926,283
39,2019-05-29,48.437,48.457,48.457,48.298,180
40,2019-05-30,48.398,48.423,48.423,48.398,0
41,2019-05-31,48.231,48.411,48.411,48.09,349
42,2019-06-03,48.256,48.339,48.339,48.256,0
43,2019-06-04,48.353,48.234,48.584,48.234,603
44,2019-06-05,48.626,49.165,49.165,48.591,70
45,2019-06-06,49.645,49.402,49.645,49.402,0
46,2019-06-07,49.759,49.712,49.878,49.712,827
47,2019-06-10,49.809,49.542,49.809,49.542,100
48,2019-06-11,49.442,49.347,49.545,49.347,1807
49,2019-06-12,49.288,49.555,49.555,49.233,1039
50,2019-06-13,49.624,49.723,49.723,49.624,0
51,2019-06-14,49.809,50.214,50.214,49.809,491
52,2019-06-17,50.415,50.099,50.415,50.099,51
53,2019-06-18,50.043,50.311,50.365,50.03,42
54,2019-06-19,50.266,50.157,50.266,50.157,179
55,2019-06-20,50.383,50.288,50.41,50.223,1118
56,2019-06-21,50.346,50.087,50.346,50.087,503
57,2019-06-24,49.799,49.865,49.877,49.735,652
58,2019-06-25,49.714,49.828,49.828,49.714,117
59,2019-06-26,49.602,48.993,49.602,48.993,57
60,2019-06-27,48.95,48.903,48.95,48.857,838
61,2019-06-28,48.997,49.078,49.078,48.997,317
62,2019-07-01,49.706,49.528,49.706,49.528,0
63,2019-07-02,49.854,49.972,50.056,49.721,462
64,2019-07-03,50.316,50.778,50.778,50.316,118
65,2019-07-04,50.793,50.878,50.878,50.793,9
66,2019-07-05,50.88,50.716,50.88,50.713,529
67,2019-07-08,50.866,50.898,50.909,50.866,26
68,2019-07-09,50.85,50.918,50.918,50.831,152
69,2019-07-10,50.856,51.006,51.006,50.837,230
70,2019-07-11,50.992,50.827,50.995,50.826,1262
71,2019-07-12,50.893,50.816,50.983,50.816,781
72,2019-07-15,50.799,50.922,50.922,50.799,34
73,2019-07-16,50.982,50.94,51.082,50.929,19
74,2019-07-17,51.092,50.919,51.092,50.919,254
75,2019-07-18,50.79,50.667,50.815,50.667,521
76,2019-07-19,50.866,50.83,50.961,50.83,595
77,2019-07-22,50.388,50.326,50.445,50.326,1114
78,2019-07-23,50.552,50.585,50.624,50.539,304
79,2019-07-24,50.823,50.601,50.823,50.601,305
80,2019-07-25,50.943,50.703,51.0,50.498,481
81,2019-07-26,50.698,51.143,51.143,50.698,634
82,2019-07-29,51.164,51.273,51.273,51.164,19
83,2019-07-30,51.288,51.251,51.288,51.047,84
84,2019-07-31,51.021,51.189,51.189,51.021,486
85,2019-08-01,51.425,51.425,51.425,51.425,0
86,2019-08-02,50.944,50.906,50.983,50.768,695
87,2019-08-05,50.582,49.991,50.582,49.822,626
88,2019-08-06,49.373,49.562,49.562,49.263,258
89,2019-08-07,49.994,49.757,49.994,49.757,0
90,2019-08-08,50.294,50.718,50.718,50.184,656
91,2019-08-09,51.003,50.778,51.003,50.778,258
92,2019-08-12,51.112,50.615,51.112,50.615,137
93,2019-08-13,50.503,50.813,50.813,50.503,731
94,2019-08-14,50.915,50.784,50.915,50.784,636
95,2019-08-15,50.607,50.837,50.837,50.607,0
96,2019-08-16,51.154,51.452,51.452,51.154,933
97,2019-08-19,51.838,51.808,51.838,51.782,202
98,2019-08-20,51.941,51.775,51.955,51.775,260
99,2019-08-21,51.561,51.649,51.649,51.508,2259
100,2019-08-22,51.824,51.684,51.891,51.569,151
101,2019-08-23,52.075,51.336,52.075,51.336,151
102,2019-08-26,50.915,51.215,51.215,50.915,0
103,2019-08-27,51.42,51.739,51.739,51.42,637
104,2019-08-28,51.595,51.718,51.718,51.539,213
105,2019-08-29,51.682,52.062,52.062,51.682,49
106,2019-08-30,52.357,52.569,52.569,52.357,722
107,2019-09-02,52.559,52.521,52.642,52.521,63
108,2019-09-03,52.671,52.888,52.888,52.55,61
109,2019-09-04,53.222,53.05,53.222,52.916,46
110,2019-09-05,53.36,53.009,53.36,53.009,363
111,2019-09-06,53.025,53.093,53.128,53.025,155
112,2019-09-09,53.213,52.663,53.243,52.663,45
113,2019-09-10,52.639,52.037,52.675,52.037,475
114,2019-09-11,52.305,52.524,52.524,52.305,831
115,2019-09-12,52.775,52.862,53.022,52.625,145
116,2019-09-13,52.646,52.574,52.717,52.574,119
117,2019-09-16,52.142,52.706,52.706,52.142,54
118,2019-09-17,52.687,52.924,52.924,52.687,272
119,2019-09-18,52.912,52.906,52.979,52.906,202
120,2019-09-19,52.877,53.3,53.3,52.877,218
121,2019-09-20,53.121,53.486,53.486,53.116,861
122,2019-09-23,53.351,53.447,53.495,53.292,3915
123,2019-09-24,53.519,53.697,53.723,53.425,1151
124,2019-09-25,53.507,53.688,53.688,53.507,222
125,2019-09-26,53.483,53.973,53.99,53.483,111
126,2019-09-27,54.294,54.055,54.351,54.055,420
127,2019-09-30,54.037,54.278,54.278,54.037,505
