,date,open,close,high,low,volumme
0,2017-05-10,45.782,45.782,45.782,45.782,0
1,2017-05-15,45.451,45.451,45.451,45.451,0
2,2017-05-16,45.261,44.934,45.261,44.934,0
3,2017-05-17,44.491,44.436,44.491,44.436,0
4,2017-05-18,44.473,44.514,44.514,44.471,829
5,2017-05-19,44.489,44.384,44.576,44.384,223
6,2017-05-22,44.498,44.512,44.65,44.498,340
7,2017-05-23,44.499,44.615,44.615,44.499,18
8,2017-05-24,44.79,44.937,44.939,44.79,365
9,2017-05-25,44.929,44.929,44.929,44.929,0
10,2017-05-26,45.172,45.328,45.328,45.172,61
11,2017-05-29,45.361,45.359,45.483,45.359,608
12,2017-05-30,45.653,45.281,45.653,45.281,364
13,2017-05-31,45.348,45.205,45.348,45.205,0
14,2017-06-01,45.29,45.401,45.484,45.29,1
15,2017-06-02,45.738,45.521,45.738,45.521,0
16,2017-06-05,45.584,45.575,45.718,45.575,241
17,2017-06-06,45.421,45.471,45.645,45.421,193
18,2017-06-07,45.395,45.487,45.487,45.395,0
19,2017-06-08,45.562,45.417,45.682,45.417,60
20,2017-06-09,45.569,45.65,45.762,45.569,146
21,2017-06-12,45.401,45.366,45.439,45.366,120
22,2017-06-13,45.549,45.523,45.601,45.523,61
23,2017-06-14,45.55,45.453,45.703,45.453,160
24,2017-06-15,45.551,45.873,45.873,45.551,85
25,2017-06-16,46.044,45.702,46.044,45.702,0
26,2017-06-19,45.955,46.119,46.119,45.955,0
27,2017-06-20,46.189,46.252,46.252,46.189,0
28,2017-06-21,46.085,45.998,46.085,45.998,0
29,2017-06-22,45.871,46.016,46.016,45.871,120
30,2017-06-23,45.853,45.798,45.853,45.798,0
31,2017-06-26,45.812,45.809,45.812,45.809,0
32,2017-06-27,45.753,45.266,45.753,45.266,264
33,2017-06-28,44.819,45.003,45.003,44.819,0
34,2017-06-29,44.778,44.3,44.778,44.3,617
35,2017-06-30,44.26,44.378,44.449,44.26,124
36,2017-07-03,44.481,44.757,44.757,44.481,62
37,2017-07-04,44.546,44.683,44.829,44.546,110
38,2017-07-05,44.594,44.701,44.701,44.594,0
39,2017-07-06,44.654,44.195,44.654,44.195,136
40,2017-07-07,44.08,44.378,44.378,44.08,0
41,2017-07-10,44.387,44.403,44.403,44.387,0
42,2017-07-11,44.271,43.99,44.271,43.99,0
43,2017-07-12,43.978,44.466,44.466,43.978,0
44,2017-07-13,44.331,44.508,44.508,44.331,0
45,2017-07-14,44.347,44.389,44.389,44.347,0
46,2017-07-17,44.51,44.47,44.583,44.47,136
47,2017-07-18,44.253,44.031,44.253,44.031,0
48,2017-07-19,44.198,44.355,44.36,44.198,249
49,2017-07-20,44.476,44.057,44.476,44.057,0
50,2017-07-21,44.007,44.036,44.206,44.007,62
51,2017-07-24,44.102,44.054,44.204,44.054,7466
52,2017-07-25,43.997,44.094,44.094,43.997,0
53,2017-07-26,44.147,44.19,44.343,44.147,24
54,2017-07-27,43.916,44.119,44.119,43.916,0
55,2017-07-28,43.928,43.748,43.928,43.748,0
56,2017-07-31,44.066,43.787,44.066,43.787,63
57,2017-08-01,43.801,43.791,43.801,43.791,0
58,2017-08-02,43.714,43.464,43.714,43.464,0
59,2017-08-03,43.502,43.408,43.683,43.408,121
60,2017-08-04,43.486,43.848,43.848,43.486,0
61,2017-08-07,43.845,43.783,43.845,43.783,0
62,2017-08-08,43.729,43.944,43.944,43.729,0
63,2017-08-09,43.721,43.833,43.833,43.721,0
64,2017-08-10,43.931,43.733,43.931,43.733,0
65,2017-08-11,43.584,43.534,43.584,43.534,0
66,2017-08-14,43.45,43.907,43.907,43.45,55
67,2017-08-15,44.146,44.156,44.156,44.146,2393
68,2017-08-16,44.214,44.394,44.394,44.214,0
69,2017-08-17,44.15,44.108,44.15,44.108,0
70,2017-08-18,43.722,43.742,43.742,43.722,0
71,2017-08-21,43.666,43.556,43.666,43.556,0
72,2017-08-22,43.821,43.947,43.947,43.821,0
73,2017-08-23,44.09,43.792,44.09,43.792,0
74,2017-08-24,43.776,43.643,43.776,43.643,0
75,2017-08-25,43.755,43.487,43.755,43.487,0
76,2017-08-28,43.137,43.137,43.137,43.137,0
77,2017-08-29,42.782,42.877,42.877,42.57,2435
78,2017-08-30,43.281,43.374,43.374,43.281,0
79,2017-08-31,43.651,43.651,43.651,43.651,0
80,2017-09-01,43.806,43.762,43.806,43.762,0
81,2017-09-04,43.527,43.524,43.527,43.524,0
82,2017-09-05,43.552,43.503,43.552,43.503,0
83,2017-09-06,43.456,43.394,43.456,43.394,0
84,2017-09-07,43.454,43.194,43.454,43.194,0
85,2017-09-08,42.989,43.332,43.332,42.989,0
86,2017-09-11,43.629,43.807,43.807,43.551,35
87,2017-09-12,43.928,43.88,43.928,43.88,0
88,2017-09-13,43.83,44.057,44.057,43.83,0
89,2017-09-14,44.019,44.052,44.052,44.019,0
90,2017-09-15,43.67,43.727,43.727,43.627,48873
91,2017-09-18,43.943,43.823,43.943,43.796,51333
92,2017-09-19,43.702,43.725,43.725,43.702,0
93,2017-09-20,43.584,43.629,43.629,43.584,0
94,2017-09-21,43.914,43.685,43.914,43.685,0
95,2017-09-22,43.44,43.449,43.449,43.44,0
96,2017-09-25,43.687,43.856,43.856,43.687,0
97,2017-09-26,43.976,44.25,44.283,43.976,126
98,2017-09-27,44.305,44.182,44.391,44.182,248
99,2017-09-28,44.311,44.157,44.311,44.157,0
100,2017-09-29,44.159,44.154,44.224,44.154,56
101,2017-10-02,44.45,44.615,44.615,44.45,0
102,2017-10-03,44.73,44.584,44.73,44.584,0
103,2017-10-04,44.677,44.659,44.677,44.659,0
104,2017-10-05,44.715,45.006,45.006,44.715,0
105,2017-10-06,45.149,44.935,45.149,44.935,0
106,2017-10-09,44.98,44.891,44.98,44.891,0
107,2017-10-10,44.733,44.629,44.733,44.629,0
108,2017-10-11,44.615,44.562,44.615,44.508,5236
109,2017-10-12,44.533,44.694,44.694,44.533,0
110,2017-10-13,44.725,44.74,44.74,44.725,0
111,2017-10-16,44.992,44.752,44.992,44.752,886
112,2017-10-17,45.007,44.995,45.007,44.995,0
113,2017-10-18,45.111,45.046,45.111,45.046,0
114,2017-10-19,44.884,44.851,44.884,44.851,0
115,2017-10-20,45.173,45.318,45.318,45.173,0
116,2017-10-23,45.498,45.602,45.602,45.498,61
117,2017-10-24,45.491,45.313,45.491,45.313,0
118,2017-10-25,45.265,45.003,45.265,45.003,0
119,2017-10-26,45.057,45.521,45.521,45.057,0
120,2017-10-27,45.909,46.162,46.162,45.909,37890
121,2017-10-30,45.956,45.73,45.956,45.73,0
122,2017-10-31,45.72,45.702,45.745,45.702,717
