,date,open,close,high,low,volumme
0,2014-09-16,202.61,201.62,202.61,201.01,3411
1,2014-09-17,202.52,203.21,203.4,202.52,700
2,2014-09-18,203.79,204.25,204.46,203.79,3295
3,2014-09-19,204.7,204.15,205.51,204.04,3727
4,2014-09-22,203.92,202.91,203.92,202.91,1500
5,2014-09-23,202.75,200.57,202.75,199.97,2719
6,2014-09-24,200.49,199.82,200.49,198.63,3777
7,2014-09-25,200.31,198.92,201.66,198.92,1253
8,2014-09-26,198.72,199.07,199.1,198.0,318
9,2014-09-29,199.55,198.48,199.55,197.6,19683
10,2014-09-30,198.98,199.66,199.66,198.57,502
11,2014-10-01,199.82,198.35,200.23,197.65,388
12,2014-10-02,198.05,194.15,198.05,194.12,6835
13,2014-10-03,195.36,195.87,196.0,194.86,533
14,2014-10-06,196.44,196.21,196.8,196.21,5276
15,2014-10-07,195.26,192.45,195.26,192.45,2744
16,2014-10-08,191.15,190.03,191.26,189.65,830
17,2014-10-09,191.73,187.97,191.73,187.95,10837
18,2014-10-10,185.57,184.31,186.41,183.0,13773
19,2014-10-13,183.74,182.54,184.78,181.58,9460
20,2014-10-14,182.85,182.84,182.85,180.52,899
21,2014-10-15,183.48,178.19,183.48,177.82,17832
22,2014-10-16,178.96,176.55,179.0,171.85,5930
23,2014-10-17,177.14,181.81,182.22,177.14,3541
24,2014-10-20,183.91,181.4,183.91,181.09,205
25,2014-10-21,181.58,185.53,186.08,181.58,538
26,2014-10-22,186.81,188.45,188.45,186.61,1822
27,2014-10-23,187.15,189.1,189.14,186.27,3868
28,2014-10-24,188.49,189.08,189.64,188.49,6903
29,2014-10-27,190.88,186.92,190.88,186.92,493
30,2014-10-28,187.87,188.67,189.01,187.87,175
31,2014-10-29,189.99,189.06,189.99,188.71,186
32,2014-10-30,190.15,189.15,190.15,187.45,1702
33,2014-10-31,191.38,192.77,192.77,190.98,4327
34,2014-11-03,192.84,192.48,193.62,192.48,877
35,2014-11-04,192.15,190.62,193.22,190.62,395
36,2014-11-05,191.46,192.05,192.05,191.46,1450
37,2014-11-06,191.69,192.33,192.78,191.69,4016
38,2014-11-07,193.14,191.4,193.14,191.08,4530
39,2014-11-10,191.3,192.99,192.99,191.3,0
40,2014-11-11,193.41,193.2,193.79,193.12,2435
41,2014-11-12,193.16,191.26,193.16,191.23,1072
42,2014-11-13,192.01,190.98,192.63,190.98,4097
43,2014-11-14,192.02,191.26,192.02,191.15,960
44,2014-11-17,190.76,192.54,192.54,190.76,540
45,2014-11-18,193.04,194.77,194.77,193.04,4272
46,2014-11-19,194.52,195.51,195.73,194.52,529
47,2014-11-20,194.94,195.28,195.28,194.09,80
48,2014-11-21,195.86,198.44,198.84,195.86,9236
49,2014-11-24,198.69,199.81,199.81,198.69,710
50,2014-11-25,200.37,200.8,200.8,199.85,270
51,2014-11-26,201.11,200.06,201.11,199.71,436
52,2014-11-27,200.41,201.02,201.02,200.37,673
53,2014-11-28,201.0,200.95,201.0,199.93,4083
54,2014-12-01,200.57,200.0,200.57,199.54,115
55,2014-12-02,200.32,200.41,200.54,199.34,1014
56,2014-12-03,200.5,202.34,202.34,200.5,3863
57,2014-12-04,202.63,201.29,202.91,200.09,110
58,2014-12-05,201.61,203.66,203.66,201.61,340
59,2014-12-08,203.29,203.06,204.17,203.06,685
60,2014-12-09,201.64,199.37,201.64,199.37,1840
61,2014-12-10,200.28,198.55,200.28,198.55,338
62,2014-12-11,198.38,198.28,198.38,197.93,4122
63,2014-12-12,197.47,195.45,197.47,195.45,746
64,2014-12-15,194.81,191.58,196.0,191.58,1045
65,2014-12-16,192.54,193.5,193.5,189.74,2056
66,2014-12-17,192.47,193.77,193.77,191.76,720
67,2014-12-18,196.27,198.69,198.74,196.27,1232
68,2014-12-19,199.44,199.31,199.44,198.07,7871
69,2014-12-22,199.92,200.16,200.33,199.49,3724
70,2014-12-23,201.88,201.88,201.88,201.88,0
71,2014-12-29,201.88,201.36,201.88,200.14,839
72,2014-12-30,200.41,200.41,200.41,200.41,0
73,2015-01-02,200.93,202.76,203.66,200.93,746
74,2015-01-05,201.81,200.27,203.58,200.0,4931
75,2015-01-06,199.5,198.7,199.5,198.51,8949
76,2015-01-07,198.9,198.7,200.29,198.53,1752
77,2015-01-08,199.99,201.9,202.21,199.99,960
78,2015-01-09,201.93,201.44,202.7,201.08,1058
79,2015-01-12,201.8,202.17,202.17,201.8,76
80,2015-01-13,202.27,204.67,204.7,202.18,632
81,2015-01-14,204.08,202.64,204.08,202.64,1431
82,2015-01-15,203.96,204.94,204.94,203.96,628
83,2015-01-16,204.4,205.73,205.73,203.65,1696
84,2015-01-19,205.4,208.37,208.46,205.34,1851
85,2015-01-20,208.69,209.21,209.71,208.69,98
86,2015-01-21,209.68,208.0,209.68,208.0,21098
87,2015-01-22,209.78,212.41,212.41,209.64,3332
88,2015-01-23,213.96,215.15,215.67,213.96,1093
89,2015-01-26,213.83,218.03,218.41,213.81,3698
90,2015-01-27,218.57,215.44,219.0,215.44,5233
91,2015-01-28,217.41,217.31,217.41,215.59,3175
92,2015-01-29,215.8,217.26,217.26,214.98,1966
93,2015-01-30,217.86,217.54,218.02,217.32,1597
94,2015-02-02,217.97,218.3,218.62,216.98,1870
95,2015-02-03,218.87,221.08,221.49,218.87,1458
96,2015-02-04,221.73,221.83,221.98,221.25,2075
97,2015-02-05,221.19,224.38,224.38,221.19,1987
98,2015-02-06,223.98,224.11,224.11,223.55,458
99,2015-02-09,222.1,221.13,222.1,220.6,1451
100,2015-02-10,221.55,223.32,223.84,221.35,4037
101,2015-02-11,223.46,222.55,223.46,222.55,4518
102,2015-02-12,222.67,226.06,226.32,222.67,519
103,2015-02-13,226.27,227.06,227.53,226.27,179
104,2015-02-16,226.84,226.86,227.8,226.57,5160
105,2015-02-17,226.06,227.82,227.82,226.06,3524
106,2015-02-18,228.04,229.34,229.6,228.04,550
107,2015-02-19,229.34,230.05,230.9,228.24,1576
108,2015-02-20,231.45,231.06,231.45,230.8,742
109,2015-02-23,233.97,232.96,233.97,232.34,6261
110,2015-02-24,233.28,233.67,234.47,232.44,3576
111,2015-02-25,234.15,232.81,234.15,232.81,1550
112,2015-02-26,233.32,234.26,234.26,233.32,133
113,2015-02-27,234.8,236.15,236.15,234.51,3269
114,2015-03-02,237.19,235.67,237.46,235.34,714
115,2015-03-03,236.33,233.6,236.46,233.6,1332
116,2015-03-04,233.66,234.19,234.28,232.3,8525
117,2015-03-05,235.03,237.31,237.96,235.03,6614
118,2015-03-06,238.22,239.13,240.09,238.22,6016
119,2015-03-09,238.94,239.08,239.08,237.71,419
120,2015-03-10,239.29,237.28,239.29,236.35,2306
121,2015-03-11,237.99,241.14,241.14,237.99,72
122,2015-03-12,241.09,241.92,241.92,240.98,1628
123,2015-03-13,242.64,242.91,243.79,242.24,9006
124,2015-03-16,243.68,245.33,245.6,243.68,3794
125,2015-03-17,245.42,241.62,245.42,241.31,8134
126,2015-03-18,242.12,241.81,242.66,240.1,8724
127,2015-03-19,242.53,242.97,243.38,242.28,1681
128,2015-03-20,243.45,244.9,245.18,243.45,108
129,2015-03-23,245.0,245.61,245.61,243.81,2280
130,2015-03-24,245.04,247.01,247.47,245.0,5122
131,2015-03-25,246.62,244.81,247.92,244.81,5538
132,2015-03-26,243.0,241.83,243.0,239.42,4583
133,2015-03-27,243.87,242.12,243.92,242.05,5246
134,2015-03-30,243.13,245.11,245.85,243.13,1437
135,2015-03-31,246.09,244.74,246.09,243.64,1716
136,2015-04-01,243.3,245.98,246.35,243.3,4165
137,2015-04-02,245.9,246.95,247.09,245.62,1317
138,2015-04-07,247.18,249.35,249.64,247.18,924
139,2015-04-08,249.65,250.58,250.58,249.65,480
140,2015-04-09,250.55,252.03,252.59,250.55,940
141,2015-04-10,253.21,254.58,254.92,252.89,2583
142,2015-04-13,255.43,257.35,257.35,255.0,11116
143,2015-04-14,255.93,254.45,256.54,254.17,9493
144,2015-04-15,253.97,254.79,256.65,253.97,1298
145,2015-04-16,255.54,252.98,255.54,252.98,779
146,2015-04-17,252.31,248.32,252.31,247.29,730
147,2015-04-20,248.74,250.11,250.19,248.74,346
148,2015-04-21,251.48,251.29,253.09,251.02,3159
149,2015-04-22,252.07,249.71,252.07,249.71,1185
150,2015-04-23,252.0,248.31,252.0,247.77,5807
151,2015-04-24,249.7,250.46,250.46,248.79,4260
152,2015-04-27,250.83,253.2,253.2,249.47,2298
153,2015-04-28,252.89,251.12,252.98,249.98,4715
154,2015-04-29,251.44,245.56,251.44,245.09,801
