,date,open,close,high,low,volumme
0,2014-09-25,149.04,149.15,149.15,149.04,323
1,2014-09-26,149.14,149.1,149.2,149.06,732
2,2014-09-29,149.07,149.04,149.07,149.04,0
3,2014-09-30,149.08,149.2,149.2,149.02,1659
4,2014-10-01,149.2,149.37,149.37,149.2,446
5,2014-10-02,149.33,149.27,149.33,149.27,5175
6,2014-10-03,149.2,149.23,149.23,149.17,121
7,2014-10-06,149.27,149.17,149.27,149.13,250
8,2014-10-07,149.15,149.09,149.15,149.04,53
9,2014-10-08,149.1,149.1,149.14,149.1,670
10,2014-10-09,149.21,149.18,149.25,149.18,231
11,2014-10-10,149.1,149.19,149.22,149.1,65
12,2014-10-13,149.01,149.12,149.12,149.01,1585
13,2014-10-14,149.08,149.25,149.25,149.08,1518
14,2014-10-15,149.27,149.18,149.31,149.13,3781
15,2014-10-16,149.04,148.59,149.04,148.46,24507
16,2014-10-17,148.3,148.71,148.79,148.3,4583
17,2014-10-20,148.7,148.57,148.75,148.57,995
18,2014-10-21,148.5,148.7,148.73,148.49,13006
19,2014-10-22,148.71,148.67,148.79,148.67,1532
20,2014-10-23,148.66,148.74,148.77,148.66,753
21,2014-10-24,148.82,148.69,148.91,148.69,157
22,2014-10-27,148.78,148.69,148.78,148.63,1580
23,2014-10-28,148.63,148.65,148.71,148.62,426
24,2014-10-29,148.71,148.62,148.74,148.62,2824
25,2014-10-30,148.59,148.72,148.72,148.59,317
26,2014-10-31,148.95,148.98,148.98,148.87,520
27,2014-11-03,149.02,148.8,149.02,148.8,255
28,2014-11-04,148.87,148.86,148.94,148.86,31
29,2014-11-05,148.81,148.82,148.82,148.81,6909
30,2014-11-06,148.82,148.95,148.99,148.82,26640
31,2014-11-07,148.96,148.98,148.98,148.96,0
32,2014-11-10,148.98,148.99,148.99,148.98,0
33,2014-11-11,149.05,149.06,149.09,148.98,3017
34,2014-11-12,149.09,149.01,149.09,149.01,680
35,2014-11-13,149.0,148.98,149.08,148.98,130
36,2014-11-14,148.99,149.04,149.08,148.99,320
37,2014-11-17,149.04,149.07,149.07,148.96,2537
38,2014-11-18,149.23,149.03,149.23,149.03,305
39,2014-11-19,149.04,148.89,149.1,148.88,6222
40,2014-11-20,148.89,149.01,149.01,148.89,508
41,2014-11-21,149.04,149.18,149.2,149.04,1368
42,2014-11-24,149.3,149.31,149.36,149.29,1250
43,2014-11-25,149.38,149.4,149.46,149.32,3385
44,2014-11-26,149.39,149.34,149.39,149.34,14
45,2014-11-27,149.39,149.38,149.43,149.34,8811
46,2014-11-28,149.45,149.37,149.45,149.3,828
47,2014-12-01,149.37,149.28,149.4,149.22,4690
48,2014-12-02,149.26,149.28,149.31,149.2,18370
49,2014-12-03,149.28,149.41,149.43,149.28,50
50,2014-12-04,149.45,149.31,149.45,149.14,278
51,2014-12-05,149.4,149.35,149.4,149.32,67
52,2014-12-08,149.26,149.45,149.45,149.26,0
53,2014-12-09,149.43,149.27,149.43,149.22,131
54,2014-12-10,149.26,149.14,149.26,149.08,149
55,2014-12-11,149.12,149.12,149.15,149.05,541
56,2014-12-12,149.19,149.03,149.19,149.03,5030
57,2014-12-15,148.96,149.09,149.1,148.9,1310
58,2014-12-16,149.07,149.09,149.09,149.0,5938
59,2014-12-17,149.08,149.2,149.2,149.04,3181
60,2014-12-18,149.35,149.31,149.35,149.31,100
61,2014-12-19,149.33,149.4,149.4,149.24,232
62,2014-12-22,149.45,149.49,149.49,149.43,690
63,2014-12-23,149.52,149.52,149.52,149.52,0
64,2014-12-29,149.51,149.51,149.51,149.51,500
65,2014-12-30,149.7,149.7,149.7,149.7,0
66,2015-01-02,149.89,150.03,150.03,149.89,0
67,2015-01-05,149.92,149.81,149.96,149.81,2622
68,2015-01-06,149.79,149.74,149.79,149.74,0
69,2015-01-07,149.78,149.6,149.78,149.6,32
70,2015-01-08,149.63,149.65,149.65,149.53,724
71,2015-01-09,149.66,149.61,149.7,149.58,662
72,2015-01-12,149.59,149.71,149.71,149.59,20
73,2015-01-13,149.71,149.75,149.8,149.71,11199
74,2015-01-14,149.75,149.9,149.97,149.75,343
75,2015-01-15,149.91,149.99,149.99,149.8,386
76,2015-01-16,150.09,150.15,150.15,149.99,1047
77,2015-01-19,150.15,150.15,150.19,150.15,831
78,2015-01-20,150.14,150.07,150.14,150.03,1338
79,2015-01-21,150.07,149.82,150.07,149.82,800
80,2015-01-22,149.86,150.21,150.21,149.84,2700
81,2015-01-23,150.37,150.34,150.37,150.34,10
82,2015-01-26,150.32,150.17,150.32,150.17,455
83,2015-01-27,150.16,150.09,150.16,150.05,59
84,2015-01-28,150.03,150.07,150.07,149.94,56
85,2015-01-29,150.11,150.14,150.14,150.02,509
86,2015-01-30,150.18,150.22,150.22,150.18,4
87,2015-02-02,150.27,150.21,150.29,150.21,1140
88,2015-02-03,150.31,150.28,150.34,150.21,12515
89,2015-02-04,150.27,150.31,150.42,150.27,28449
90,2015-02-05,150.25,150.34,150.37,150.25,52030
91,2015-02-06,150.39,150.31,150.39,150.31,280
92,2015-02-09,150.26,150.15,150.27,150.14,309
93,2015-02-10,150.2,150.15,150.2,150.11,664
94,2015-02-11,150.17,150.17,150.18,150.17,107
95,2015-02-12,150.13,150.27,150.27,150.13,432
96,2015-02-13,150.29,150.35,150.35,150.29,175
97,2015-02-16,150.36,150.31,150.36,150.31,0
98,2015-02-17,150.32,150.27,150.35,150.15,1745
99,2015-02-18,150.37,150.35,150.38,150.3,6383
100,2015-02-19,150.38,150.4,150.47,150.35,7555
101,2015-02-20,150.39,150.49,150.49,150.39,15
102,2015-02-23,150.58,150.59,150.67,150.58,615
103,2015-02-24,150.57,150.7,150.7,150.57,218
104,2015-02-25,150.75,150.73,150.75,150.7,1447
105,2015-02-26,150.22,150.94,150.94,150.22,861
106,2015-02-27,150.94,150.9,150.97,150.9,440
107,2015-03-02,150.93,150.83,150.99,150.83,1162
108,2015-03-03,150.84,150.73,150.84,150.73,1118
109,2015-03-04,150.73,150.72,150.81,150.72,783
110,2015-03-05,150.77,150.91,150.99,150.76,819
111,2015-03-06,151.01,150.95,151.01,150.94,17144
112,2015-03-09,150.95,151.03,151.09,150.95,10145
113,2015-03-10,151.11,151.15,151.15,151.09,32
114,2015-03-11,151.2,151.23,151.23,151.2,0
115,2015-03-12,151.22,151.12,151.35,151.07,4476
116,2015-03-13,151.06,151.02,151.07,151.02,16
117,2015-03-16,151.04,150.95,151.04,150.95,2020
118,2015-03-17,150.95,150.79,150.95,150.79,21113
119,2015-03-18,150.8,150.81,150.87,150.8,110
120,2015-03-19,150.94,150.91,150.94,150.86,10876
121,2015-03-20,150.95,151.0,151.0,150.92,300
122,2015-03-23,150.97,150.82,150.97,150.75,940
123,2015-03-24,150.74,150.75,150.77,150.69,328
124,2015-03-25,150.78,150.77,150.78,150.67,832
125,2015-03-26,150.73,150.84,150.84,150.73,564
126,2015-03-27,150.91,150.84,150.92,150.81,353
127,2015-03-30,150.83,150.84,150.91,150.81,9729
128,2015-03-31,150.84,151.0,151.05,150.84,182
129,2015-04-01,150.97,151.03,151.07,150.97,80
130,2015-04-02,151.05,151.0,151.06,151.0,190
131,2015-04-07,151.07,151.13,151.18,151.07,2150
132,2015-04-08,151.17,151.21,151.24,151.14,418
133,2015-04-09,151.21,151.17,151.21,151.13,200
134,2015-04-10,151.15,151.25,151.25,151.14,2053
135,2015-04-13,151.19,151.16,151.24,151.1,42134
136,2015-04-14,151.14,151.13,151.18,151.13,6852
137,2015-04-15,151.08,151.26,151.27,151.08,3470
138,2015-04-16,151.13,151.07,151.17,151.07,921
139,2015-04-17,151.06,150.94,151.06,150.9,33810
140,2015-04-20,150.89,150.94,150.95,150.89,567
141,2015-04-21,150.99,150.99,151.0,150.93,913
142,2015-04-22,151.04,150.99,151.11,150.99,980
143,2015-04-23,151.05,151.03,151.1,151.01,341
144,2015-04-24,151.08,151.02,151.12,151.0,3396
145,2015-04-27,151.0,151.09,151.13,151.0,46
146,2015-04-28,151.18,151.16,151.21,151.07,64
147,2015-04-29,151.05,150.75,151.05,150.7,72
148,2015-04-30,150.74,150.64,150.74,150.64,3278
149,2015-05-04,150.52,150.52,150.52,150.5,16
150,2015-05-05,150.46,150.17,150.51,150.15,20919
151,2015-05-06,150.09,150.04,150.14,150.03,15242
152,2015-05-07,150.01,150.17,150.17,150.01,100
153,2015-05-08,150.37,150.34,150.37,150.14,977
154,2015-05-11,150.1,150.28,150.28,150.1,18
155,2015-05-12,150.16,150.13,150.16,150.11,1598
156,2015-05-13,150.14,150.13,150.29,150.12,1138
157,2015-05-14,150.18,150.12,150.18,150.07,211
158,2015-05-15,150.19,150.29,150.29,150.19,0
159,2015-05-18,150.24,150.21,150.28,150.16,1825
160,2015-05-19,150.44,150.41,150.44,150.41,0
161,2015-05-20,150.49,150.35,150.49,150.31,195
162,2015-05-21,150.39,150.33,150.39,150.28,190
163,2015-05-22,150.42,150.35,150.42,150.35,0
164,2015-05-26,150.37,150.35,150.37,150.35,0
165,2015-05-27,150.36,150.4,150.4,150.34,463
166,2015-05-28,150.41,150.33,150.41,150.29,3567
167,2015-05-29,150.29,150.44,150.44,150.29,934
168,2015-06-01,150.38,150.29,150.38,150.29,159
169,2015-06-02,150.23,149.93,150.23,149.89,62130
170,2015-06-03,149.94,149.69,149.94,149.61,1582
171,2015-06-04,149.65,149.81,149.83,149.65,3112
172,2015-06-05,149.61,149.6,149.68,149.6,3008
173,2015-06-08,149.52,149.5,149.56,149.44,3574
174,2015-06-09,149.55,149.37,149.56,149.32,2416
175,2015-06-10,149.3,149.37,149.37,149.18,341
176,2015-06-11,149.25,149.49,149.49,149.25,0
177,2015-06-12,149.48,149.28,149.48,149.24,881
178,2015-06-15,149.16,148.91,149.16,148.91,0
179,2015-06-16,148.69,148.95,149.02,148.69,221
180,2015-06-17,148.93,149.03,149.05,148.93,30
181,2015-06-18,149.08,149.19,149.19,149.08,59
182,2015-06-19,149.21,149.27,149.33,149.2,215
183,2015-06-22,149.4,149.39,149.43,149.29,4908
184,2015-06-23,149.51,149.61,149.61,149.51,0
185,2015-06-24,149.63,149.57,149.63,149.57,3393
186,2015-06-25,149.57,149.66,149.66,149.57,13
187,2015-06-26,149.71,149.59,149.71,149.59,9700
188,2015-06-29,149.4,149.29,149.4,149.29,5365
189,2015-06-30,149.32,149.44,149.44,149.32,115
190,2015-07-01,149.47,149.49,149.49,149.47,0
191,2015-07-02,149.39,149.38,149.39,149.36,217
192,2015-07-03,149.39,149.52,149.52,149.35,150
193,2015-07-06,149.44,149.3,149.44,149.24,36
194,2015-07-07,149.38,149.49,149.49,149.38,400
195,2015-07-08,149.53,149.54,149.54,149.53,0
196,2015-07-09,149.53,149.61,149.61,149.53,0
197,2015-07-10,149.72,149.54,149.72,149.54,1554
198,2015-07-13,149.5,149.78,149.78,149.5,1305
199,2015-07-14,149.8,149.84,149.84,149.71,95
200,2015-07-15,149.9,150.02,150.02,149.9,0
201,2015-07-16,150.04,150.0,150.04,150.0,0
202,2015-07-17,150.1,150.23,150.23,150.1,675
203,2015-07-20,150.29,150.31,150.33,150.29,2020
204,2015-07-21,150.38,150.23,150.42,150.2,159
205,2015-07-22,150.26,150.33,150.33,150.26,898
206,2015-07-23,150.37,150.39,150.39,150.37,0
207,2015-07-24,150.41,150.49,150.49,150.41,228
208,2015-07-27,150.45,150.39,150.45,150.39,3009
209,2015-07-28,150.36,150.47,150.47,150.36,3500
210,2015-07-29,150.44,150.45,150.45,150.41,537
211,2015-07-30,150.5,150.61,150.61,150.5,90
212,2015-07-31,150.62,150.62,150.62,150.5,1448
213,2015-08-03,150.58,150.62,150.62,150.51,4608
214,2015-08-04,150.68,150.68,150.68,150.63,80
215,2015-08-05,150.61,150.46,150.61,150.46,0
216,2015-08-06,150.49,150.58,150.58,150.49,772
217,2015-08-07,150.6,150.73,150.73,150.6,5426
218,2015-08-10,150.7,150.59,150.72,150.59,806
219,2015-08-11,150.7,150.78,150.78,150.7,0
220,2015-08-12,150.86,150.76,150.86,150.76,3709
221,2015-08-13,150.71,150.71,150.76,150.71,5625
222,2015-08-14,150.7,150.64,150.75,150.64,20
223,2015-08-17,150.73,150.68,150.73,150.68,380
224,2015-08-18,150.71,150.57,150.71,150.57,32658
225,2015-08-19,150.57,150.57,150.57,150.57,50000
226,2015-08-20,150.63,150.61,150.74,150.61,624
227,2015-08-21,150.95,150.55,150.95,150.55,21
228,2015-08-24,150.46,150.43,150.46,150.43,220
229,2015-08-25,150.41,150.15,150.41,150.09,122
230,2015-08-26,150.19,150.19,150.19,150.14,415
231,2015-08-27,150.17,150.25,150.25,150.17,12168
232,2015-08-28,150.22,150.18,150.22,150.18,0
233,2015-08-31,150.17,150.11,150.17,150.11,0
234,2015-09-01,150.05,150.08,150.08,150.0,7334
235,2015-09-02,150.04,150.09,150.09,150.04,0
236,2015-09-03,150.12,150.38,150.38,150.12,0
237,2015-09-04,150.41,150.49,150.49,150.41,715
238,2015-09-07,150.61,150.5,150.61,150.5,20
239,2015-09-08,150.48,150.56,150.56,150.43,395
240,2015-09-09,150.53,150.55,150.55,150.49,90
241,2015-09-10,150.61,150.53,150.61,150.53,19262
242,2015-09-11,150.56,150.56,150.6,150.56,14
243,2015-09-14,150.56,150.54,150.56,150.54,20
244,2015-09-15,150.52,150.41,150.52,150.41,0
245,2015-09-16,150.39,150.3,150.45,150.3,3731
246,2015-09-17,150.3,150.23,150.3,150.23,19
247,2015-09-18,150.48,150.57,150.57,150.43,1000
248,2015-09-21,150.6,150.52,150.6,150.45,570
249,2015-09-22,150.57,150.69,150.69,150.57,102
250,2015-09-23,150.68,150.67,150.68,150.67,95000
251,2015-09-24,150.64,150.67,150.67,150.64,113
252,2015-09-25,150.57,150.57,150.58,150.57,5072
253,2015-09-28,150.6,150.68,150.68,150.6,22088
254,2015-09-29,150.69,150.7,150.72,150.69,330
255,2015-09-30,150.68,150.71,150.73,150.62,42288
256,2015-10-01,150.68,150.89,150.89,150.68,8759
257,2015-10-02,150.87,150.99,150.99,150.87,0
258,2015-10-05,151.0,150.95,151.0,150.95,55
259,2015-10-06,150.9,150.83,150.9,150.83,500
260,2015-10-07,150.81,150.85,150.85,150.79,322
