,date,open,close,high,low,volumme
0,2014-09-25,156.58,156.8,156.8,156.58,2350
1,2014-09-26,156.85,156.74,157.01,156.74,3500
2,2014-09-29,156.53,156.54,156.58,156.53,320
3,2014-09-30,156.69,157.0,157.0,156.69,2377
4,2014-10-01,157.1,157.44,157.47,157.1,545
5,2014-10-02,157.37,157.25,157.56,157.01,2442
6,2014-10-03,157.26,157.25,157.26,157.11,320
7,2014-10-06,157.41,157.16,157.41,157.13,3710
8,2014-10-07,157.18,157.09,157.18,157.09,72
9,2014-10-08,157.11,157.24,157.39,157.06,3140
10,2014-10-09,157.63,157.4,157.63,157.4,715
11,2014-10-10,157.25,157.36,157.39,157.25,800
12,2014-10-13,157.31,157.23,157.31,157.23,4954
13,2014-10-14,157.21,157.84,157.84,157.21,2550
14,2014-10-15,157.88,157.97,158.09,157.88,876
15,2014-10-16,157.65,156.66,157.65,156.6,1099
16,2014-10-17,156.12,156.69,156.69,156.12,1630
17,2014-10-20,156.73,156.23,156.73,156.23,370
18,2014-10-21,156.19,156.56,156.56,156.19,930
19,2014-10-22,156.7,156.62,156.7,156.62,0
20,2014-10-23,156.7,156.62,156.7,156.54,8160
21,2014-10-24,156.73,156.57,156.88,156.57,8142
22,2014-10-27,156.8,156.61,156.8,156.61,938
23,2014-10-28,156.6,156.74,156.74,156.6,580
24,2014-10-29,156.85,156.66,156.85,156.66,1620
25,2014-10-30,156.62,157.04,157.04,156.62,0
26,2014-10-31,157.49,157.63,157.63,157.49,1000
27,2014-11-03,157.86,157.21,157.91,157.21,861
28,2014-11-04,157.48,157.57,157.79,157.48,2760
29,2014-11-05,157.41,157.38,157.5,157.34,1822
30,2014-11-06,157.34,157.54,157.54,157.34,349
31,2014-11-07,157.59,157.67,157.67,157.59,522
32,2014-11-10,157.7,157.73,157.76,157.7,499
33,2014-11-11,157.75,157.88,157.88,157.75,600
34,2014-11-12,158.08,157.73,158.08,157.73,783
35,2014-11-13,157.81,157.86,157.86,157.81,448
36,2014-11-14,158.0,158.08,158.13,157.95,15112
37,2014-11-17,158.13,158.19,158.19,157.96,5459
38,2014-11-18,158.31,158.15,158.31,158.12,2299
