,date,open,close,high,low,volumme
0,2014-09-25,179.7,179.9,179.9,179.7,38
1,2014-09-26,180.24,180.48,180.64,180.24,1535
2,2014-09-29,180.6,180.56,180.6,179.95,221
3,2014-09-30,180.56,181.0,181.0,180.56,30
4,2014-10-01,181.15,182.32,182.32,181.15,12
5,2014-10-02,182.29,181.91,182.29,181.86,412
6,2014-10-03,181.96,181.97,181.97,181.81,126
7,2014-10-06,183.28,181.92,183.28,181.92,101
8,2014-10-07,182.03,181.6,182.03,181.24,68
9,2014-10-08,181.78,182.04,182.18,181.78,8773
10,2014-10-09,182.68,182.12,182.7,182.12,349
11,2014-10-10,182.01,182.38,182.48,182.01,239
12,2014-10-13,182.25,181.78,182.48,181.78,159
13,2014-10-14,181.5,183.47,183.47,181.5,2359
14,2014-10-15,183.73,184.66,184.8,183.73,1420
15,2014-10-16,184.16,181.88,184.16,181.88,11014
16,2014-10-17,180.76,180.96,181.52,180.76,198
17,2014-10-20,181.77,180.16,181.77,180.16,48
18,2014-10-21,180.29,180.38,180.38,180.0,55
19,2014-10-22,181.07,180.57,181.07,180.57,73
20,2014-10-23,180.86,180.09,181.06,180.09,25
21,2014-10-24,180.39,180.23,180.65,180.23,11
22,2014-10-27,180.43,180.77,180.77,180.25,26
23,2014-10-28,180.93,181.08,181.4,180.93,110
24,2014-10-29,180.6,180.93,181.27,180.6,48
25,2014-10-30,180.97,182.1,182.24,180.97,72
26,2014-10-31,182.91,183.08,183.15,182.81,28
27,2014-11-03,183.68,182.16,183.68,182.16,1151
28,2014-11-04,182.69,182.97,183.3,182.69,30504
29,2014-11-05,183.05,182.05,183.05,182.05,30110
30,2014-11-06,182.03,181.97,182.03,181.97,0
31,2014-11-07,182.05,182.36,182.36,181.64,142
32,2014-11-10,182.84,182.82,183.08,182.49,20128
33,2014-11-11,182.88,183.12,183.21,182.88,33
34,2014-11-12,183.7,183.35,184.0,183.35,527
35,2014-11-13,183.23,183.54,183.54,183.23,0
36,2014-11-14,183.93,184.04,184.14,183.93,4
37,2014-11-17,184.58,184.09,184.58,184.09,640
38,2014-11-18,184.45,183.7,184.45,183.7,150
39,2014-11-19,184.09,182.83,184.09,182.83,243
40,2014-11-20,182.97,183.71,183.82,182.97,310
41,2014-11-21,183.78,184.92,184.92,183.78,62
42,2014-11-24,185.13,184.89,185.13,184.5,465
43,2014-11-25,185.44,186.01,186.08,185.25,30
44,2014-11-26,186.28,186.64,186.64,186.28,7
45,2014-11-27,187.06,188.67,188.67,187.06,296
46,2014-11-28,189.18,189.56,189.65,189.05,64
47,2014-12-01,189.9,189.49,190.25,189.49,210
48,2014-12-02,189.03,188.99,189.03,188.99,0
49,2014-12-03,189.13,189.22,189.3,189.13,12
50,2014-12-04,189.18,188.61,189.18,188.4,118
51,2014-12-05,189.2,189.17,189.31,189.17,5504
52,2014-12-08,189.03,190.58,190.6,189.03,940
53,2014-12-09,191.11,191.06,191.11,190.68,171
54,2014-12-10,190.99,191.1,191.1,190.46,1389
55,2014-12-11,191.29,191.3,191.99,191.29,291
56,2014-12-12,192.36,192.84,192.9,192.3,2045
57,2014-12-15,192.66,193.19,193.36,192.66,96
58,2014-12-16,193.26,194.08,194.35,193.26,5056
59,2014-12-17,193.49,194.38,194.91,193.49,2813
60,2014-12-18,194.93,193.71,194.93,193.71,111
61,2014-12-19,193.52,193.66,193.79,193.44,778
62,2014-12-22,193.81,193.77,194.05,193.76,71
63,2014-12-23,193.93,193.93,193.93,193.93,0
64,2014-12-29,194.06,194.99,195.11,194.0,362
65,2014-12-30,195.71,195.71,195.71,195.71,0
66,2015-01-02,196.25,197.67,197.79,196.01,296
67,2015-01-05,197.66,197.36,197.66,197.22,121
68,2015-01-06,197.51,200.4,200.93,197.51,686
69,2015-01-07,201.06,199.03,202.53,198.91,5299
70,2015-01-08,198.26,198.09,198.56,198.0,55
71,2015-01-09,198.54,198.56,198.58,197.73,682
72,2015-01-12,198.59,199.75,199.89,198.59,14495
73,2015-01-13,200.9,200.23,201.55,200.19,1628
74,2015-01-14,200.4,202.02,202.17,200.4,1470
75,2015-01-15,201.71,201.69,202.0,201.69,580
76,2015-01-16,202.57,203.29,203.54,202.57,19096
77,2015-01-19,203.59,203.65,203.85,203.45,20875
78,2015-01-20,203.4,203.58,203.71,203.3,24455
79,2015-01-21,203.9,202.42,203.9,202.06,9346
80,2015-01-22,200.22,205.92,206.03,200.22,6317
81,2015-01-23,208.64,209.4,210.47,208.64,5296
82,2015-01-26,209.54,210.2,210.95,209.32,5588
83,2015-01-27,210.47,209.99,210.77,209.8,30359
84,2015-01-28,209.22,209.89,209.99,208.47,821
85,2015-01-29,210.2,209.26,210.2,209.26,1126
86,2015-01-30,210.64,211.44,211.44,209.78,2992
87,2015-02-02,211.97,212.14,212.45,211.56,19914
88,2015-02-03,212.73,211.5,212.73,211.5,12182
89,2015-02-04,210.95,211.97,212.0,210.95,4843
90,2015-02-05,212.46,212.23,212.46,211.96,8264
91,2015-02-06,212.46,211.24,212.77,211.24,3539
92,2015-02-09,211.18,210.73,211.82,210.49,1150
93,2015-02-10,210.4,210.33,210.68,210.1,812
94,2015-02-11,210.54,210.56,210.56,210.54,130
95,2015-02-12,210.86,211.98,212.05,210.38,442
96,2015-02-13,212.28,211.92,212.28,211.92,207
97,2015-02-16,212.82,211.24,212.82,211.24,201
98,2015-02-17,211.58,210.6,211.58,210.6,430
99,2015-02-18,210.7,209.66,210.7,209.66,173
100,2015-02-19,208.89,209.37,210.07,208.79,4616
101,2015-02-20,209.12,209.27,209.65,209.12,1445
102,2015-02-23,209.18,210.06,210.06,208.86,841
103,2015-02-24,209.94,210.4,210.42,209.9,24244
104,2015-02-25,210.94,211.76,211.99,210.92,313
105,2015-02-26,212.42,214.5,214.79,212.42,2503
106,2015-02-27,213.83,213.83,214.39,213.83,2323
107,2015-03-02,213.54,212.91,214.11,212.91,1868
108,2015-03-03,213.1,212.0,213.21,212.0,1936
109,2015-03-04,211.93,211.95,212.35,211.93,765
110,2015-03-05,212.07,213.76,213.85,211.81,8088
111,2015-03-06,215.57,213.52,216.0,213.52,42229
112,2015-03-09,214.05,216.25,216.25,214.05,1012
113,2015-03-10,217.28,221.01,221.05,217.28,34499
114,2015-03-11,222.75,224.89,225.54,222.55,6400
115,2015-03-12,225.09,224.58,228.25,224.32,10553
116,2015-03-13,224.22,224.17,224.64,223.45,35087
117,2015-03-16,225.04,224.61,225.7,224.61,7560
118,2015-03-17,224.75,222.82,224.75,222.82,3510
119,2015-03-18,223.04,222.99,224.07,220.96,70579
120,2015-03-19,225.06,224.05,225.39,223.77,45368
121,2015-03-20,224.32,224.63,224.63,224.2,738
122,2015-03-23,224.27,222.74,224.27,222.48,9602
123,2015-03-24,222.13,222.22,222.64,221.81,3795
124,2015-03-25,222.38,222.45,222.45,221.78,2068
125,2015-03-26,221.87,222.46,222.87,221.87,6715
126,2015-03-27,223.08,222.33,223.08,222.1,248
127,2015-03-30,222.44,222.58,223.17,222.44,11424
128,2015-03-31,222.92,224.48,224.5,222.92,4851
129,2015-04-01,224.16,224.82,224.83,224.16,6189
130,2015-04-02,224.77,223.4,224.77,223.4,820
131,2015-04-07,223.8,223.35,223.8,223.12,1129
132,2015-04-08,223.82,222.93,223.97,222.8,7982
133,2015-04-09,223.09,222.67,223.09,222.67,3942
134,2015-04-10,222.29,223.22,223.59,222.29,500
135,2015-04-13,223.67,223.52,223.94,223.45,741
136,2015-04-14,223.93,223.56,224.21,223.14,463
137,2015-04-15,223.33,225.54,225.68,223.33,338
138,2015-04-16,225.93,225.2,226.29,225.2,231
139,2015-04-17,225.74,224.27,225.74,224.12,188
140,2015-04-20,224.73,224.57,225.3,224.57,815
141,2015-04-21,225.3,223.54,225.3,223.32,688
142,2015-04-22,224.17,222.95,224.76,222.95,1041
143,2015-04-23,223.5,222.6,223.89,222.6,3085
144,2015-04-24,223.07,221.71,223.07,221.71,373
145,2015-04-27,221.97,222.02,222.02,221.52,1286
146,2015-04-28,222.38,221.78,222.38,221.78,455
147,2015-04-29,221.29,216.37,221.29,216.07,3255
148,2015-04-30,215.57,214.32,215.57,212.79,14223
149,2015-05-04,212.63,211.06,213.14,210.9,43846
150,2015-05-05,210.51,205.38,212.18,205.09,705
151,2015-05-06,204.46,201.41,205.7,201.23,12683
