,date,open,close,high,low,volumme
0,2014-09-25,140.96,141.01,141.01,140.96,0
1,2014-09-26,140.95,141.11,141.27,140.95,2298
2,2014-09-29,140.99,141.09,141.09,140.76,350
3,2014-09-30,141.17,141.36,141.36,141.17,0
4,2014-10-01,141.34,141.42,141.42,141.34,29050
5,2014-10-02,141.41,141.03,141.41,141.03,0
6,2014-10-03,141.02,140.76,141.02,140.5,354
7,2014-10-06,140.82,140.44,140.95,140.44,493
8,2014-10-07,140.42,140.31,140.42,140.31,0
9,2014-10-08,140.36,140.44,140.53,140.36,240
10,2014-10-09,140.76,140.5,140.76,140.5,4
11,2014-10-10,140.41,140.18,140.41,140.18,0
12,2014-10-13,140.01,139.73,140.01,139.68,780
13,2014-10-14,139.64,139.79,139.82,139.42,670
14,2014-10-15,139.83,139.55,139.83,139.55,0
15,2014-10-16,139.26,138.68,139.26,137.8,4714
16,2014-10-17,138.0,139.08,139.08,138.0,21859
17,2014-10-20,139.14,139.2,139.3,139.14,14
18,2014-10-21,139.16,139.82,139.82,139.16,27
19,2014-10-22,139.97,139.7,139.97,139.7,130
20,2014-10-23,139.68,139.51,139.68,139.46,214
21,2014-10-24,139.67,139.41,139.72,139.41,244
22,2014-10-27,139.53,139.46,139.53,139.46,0
23,2014-10-28,139.42,139.56,139.56,139.42,20
24,2014-10-29,139.73,140.0,140.0,139.73,150
25,2014-10-30,140.02,140.28,140.28,140.02,140
26,2014-10-31,140.56,140.65,140.65,140.56,0
27,2014-11-03,140.83,140.29,140.83,140.29,14
28,2014-11-04,140.45,140.5,140.5,140.45,10
29,2014-11-05,140.36,140.28,140.48,140.26,583
30,2014-11-06,140.37,140.76,140.76,140.37,0
31,2014-11-07,140.8,141.02,141.02,140.8,0
32,2014-11-10,141.12,141.12,141.22,141.0,100
33,2014-11-11,141.17,141.15,141.17,141.15,0
34,2014-11-12,141.27,140.91,141.27,140.91,2943
35,2014-11-13,140.94,140.68,140.94,140.68,450
36,2014-11-14,140.69,140.54,140.69,140.54,750
37,2014-11-17,140.7,140.31,140.7,140.25,352
38,2014-11-18,140.13,140.3,140.3,140.13,0
39,2014-11-19,140.4,140.06,140.4,139.97,230
40,2014-11-20,140.12,140.27,140.39,140.11,147
41,2014-11-21,140.32,140.94,140.94,140.32,10
42,2014-11-24,140.95,141.1,141.25,140.95,4
43,2014-11-25,141.26,141.79,141.79,141.26,20662
44,2014-11-26,141.79,141.86,141.86,141.79,0
45,2014-11-27,142.0,142.09,142.09,142.0,0
46,2014-11-28,142.19,141.83,142.19,141.83,135
47,2014-12-01,141.86,141.29,141.86,141.29,590
48,2014-12-02,141.15,141.29,141.29,141.15,0
49,2014-12-03,141.36,141.69,141.69,141.36,3206
50,2014-12-04,141.7,141.54,141.77,141.54,212
51,2014-12-05,141.74,141.85,141.99,141.74,313
52,2014-12-08,141.57,142.05,142.05,141.57,4
53,2014-12-09,142.14,141.65,142.14,141.65,0
54,2014-12-10,141.53,140.97,141.53,140.97,3600
55,2014-12-11,140.97,140.28,140.97,140.28,2525
56,2014-12-12,140.36,139.89,140.4,139.75,29577
57,2014-12-15,139.97,140.05,140.05,139.67,411
58,2014-12-16,139.97,139.55,139.97,139.27,692
59,2014-12-17,139.6,139.67,139.67,139.07,370
60,2014-12-18,139.92,140.06,140.69,139.92,370
61,2014-12-19,140.0,140.32,140.32,140.0,50
62,2014-12-22,140.27,140.94,140.94,140.25,450
63,2014-12-23,141.24,141.24,141.24,141.24,0
64,2014-12-29,141.2,141.31,141.31,141.2,40
65,2014-12-30,141.11,141.11,141.11,141.11,0
66,2015-01-02,141.29,141.42,141.42,141.28,65
67,2015-01-05,141.39,140.4,141.39,140.4,170
68,2015-01-06,140.4,140.01,140.4,140.01,0
69,2015-01-07,140.05,139.86,140.05,139.86,45
70,2015-01-08,139.78,140.28,140.28,139.78,0
71,2015-01-09,140.33,140.27,140.49,140.27,450
72,2015-01-12,140.25,140.31,140.36,140.25,14
73,2015-01-13,140.39,140.38,140.39,140.11,70
74,2015-01-14,140.42,141.17,141.17,140.42,614
75,2015-01-15,141.11,141.43,141.43,141.11,3700
76,2015-01-16,141.6,142.03,142.03,141.6,5442
77,2015-01-19,142.13,142.52,142.69,142.13,1207
78,2015-01-20,142.5,142.67,142.69,142.5,261
79,2015-01-21,142.77,142.8,142.9,142.39,595
80,2015-01-22,142.54,145.08,145.08,142.54,997
81,2015-01-23,145.81,145.63,146.9,145.63,4228
82,2015-01-26,145.69,145.32,145.69,145.32,1704
83,2015-01-27,145.24,144.79,145.24,144.79,419
84,2015-01-28,144.47,144.32,144.47,144.32,12
85,2015-01-29,144.32,143.83,144.32,143.83,0
86,2015-01-30,143.95,144.64,144.68,143.95,201
87,2015-02-02,144.76,144.9,145.03,144.76,18
88,2015-02-03,145.2,145.23,145.46,145.2,518
89,2015-02-04,145.13,145.32,145.42,145.13,275
90,2015-02-05,145.29,145.63,145.63,145.29,83
91,2015-02-06,145.75,145.39,145.75,145.39,0
92,2015-02-09,145.26,144.8,145.39,144.8,6016
93,2015-02-10,144.65,144.45,144.69,144.45,3288
94,2015-02-11,144.51,144.37,144.51,144.37,107
95,2015-02-12,144.28,144.7,144.7,144.28,0
96,2015-02-13,144.86,145.26,145.36,144.86,11565
97,2015-02-16,144.34,145.22,145.22,144.34,25
98,2015-02-17,145.17,144.95,145.51,144.95,705
