,date,open,close,high,low,volumme
0,2016-11-18,52.1827,52.1503,52.1827,52.1503,0
1,2016-11-21,52.0809,52.3273,52.3273,52.0809,0
2,2016-11-22,52.6089,52.3652,52.6089,52.3652,0
3,2016-11-23,52.5402,52.7127,52.7127,52.5402,0
4,2016-11-24,52.9784,52.8924,52.9784,52.8924,0
5,2016-11-25,52.7581,52.7866,52.7866,52.7581,0
6,2016-11-28,52.4309,52.7468,52.7468,52.4309,0
7,2016-11-29,52.6142,52.6892,52.6892,52.6142,0
8,2016-11-30,52.6388,52.921,52.921,52.6388,0
9,2016-12-01,52.4357,52.3903,52.4357,52.3903,0
10,2016-12-02,51.99,52.15,52.15,51.99,0
11,2016-12-05,52.49,52.13,52.49,52.13,0
12,2016-12-06,51.86,52.05,52.05,51.86,0
13,2016-12-07,52.34,52.21,52.34,52.21,0
14,2016-12-08,52.69,53.52,53.52,52.69,0
15,2016-12-09,53.67,54.11,54.11,53.67,0
16,2016-12-12,54.02,54.02,54.02,54.02,0
17,2016-12-13,53.8,53.97,53.97,53.8,0
18,2016-12-14,54.07,53.87,54.07,53.87,587600
19,2016-12-15,54.51,55.18,55.18,54.51,0
20,2016-12-16,54.89,54.81,54.89,54.81,0
21,2016-12-19,54.76,54.81,54.81,54.76,0
22,2016-12-20,55.22,55.34,55.34,55.22,0
23,2016-12-21,55.25,55.07,55.25,55.07,294900
24,2016-12-22,54.84,54.67,54.84,54.67,294900
25,2016-12-23,54.65,54.75,54.75,54.65,350
26,2016-12-27,54.92,54.92,54.92,54.92,0
27,2016-12-28,55.09,55.09,55.09,55.09,0
28,2016-12-29,54.51,54.31,54.51,54.31,0
29,2016-12-30,53.91,53.91,53.91,53.91,0
30,2017-01-02,54.59,54.59,54.59,54.59,0
31,2017-01-03,54.76,54.76,54.76,54.76,0
32,2017-01-05,54.45,54.22,54.45,54.22,0
33,2017-01-06,54.36,54.68,54.68,54.36,0
34,2017-01-09,54.88,54.55,54.88,54.55,0
35,2017-01-10,54.4,54.58,54.58,54.4,0
36,2017-01-11,54.54,54.72,54.72,54.54,0
37,2017-01-12,54.17,53.79,54.17,53.79,0
38,2017-01-13,54.21,54.47,54.47,54.21,0
39,2017-01-16,54.41,54.41,54.41,54.41,0
40,2017-01-17,54.09,53.82,54.09,53.82,0
41,2017-01-18,54.04,53.96,54.04,53.96,0
42,2017-01-19,54.16,54.16,54.16,54.16,0
43,2017-01-20,53.92,54.07,54.07,53.92,0
44,2017-01-23,53.52,53.47,53.52,53.47,0
45,2017-01-24,53.58,53.7,53.7,53.58,0
46,2017-01-25,54.15,54.27,54.27,54.15,0
47,2017-01-26,54.54,54.74,54.74,54.54,0
48,2017-01-27,54.76,54.5,54.76,54.43,2330
49,2017-01-30,54.37,53.96,54.37,53.96,0
50,2017-01-31,53.93,53.39,53.93,53.39,0
