,date,open,close,high,low,volumme
0,2022-08-22,117.16,115.5,117.16,115.5,0
1,2022-08-23,114.96,115.06,115.06,114.96,0
2,2022-08-24,114.82,115.76,115.76,114.82,0
3,2022-08-25,115.76,115.76,115.76,115.76,0
4,2022-08-26,116.22,113.3,116.22,113.3,0
5,2022-08-29,112.26,112.26,112.26,112.26,0
6,2022-08-30,112.34,112.34,112.34,112.34,0
7,2022-08-31,112.94,111.14,112.94,111.14,0
8,2022-09-01,109.46,109.46,109.46,109.46,0
9,2022-09-02,112.06,112.06,112.06,112.06,0
10,2022-09-05,110.1,110.1,110.1,110.1,0
11,2022-09-06,110.8,110.8,110.8,110.8,0
12,2022-09-07,109.84,110.92,110.92,109.84,0
13,2022-09-08,111.36,111.36,111.36,111.36,0
14,2022-09-09,111.68,113.24,113.24,111.68,0
15,2022-09-12,113.84,115.46,115.46,113.84,0
16,2022-09-13,116.04,113.34,116.04,113.34,0
17,2022-09-14,112.5,112.5,112.5,112.5,0
18,2022-09-15,111.94,111.94,111.94,111.94,0
19,2022-09-19,110.26,110.26,110.26,110.26,0
20,2022-09-20,109.0,109.0,109.0,109.0,0
21,2022-09-21,107.8,109.64,109.64,107.8,0
22,2022-09-22,107.32,107.32,107.32,107.32,0
23,2022-09-23,104.84,104.84,104.84,104.84,0
24,2022-09-26,104.9,104.9,104.9,104.9,0
25,2022-09-27,105.78,104.52,105.78,104.52,0
26,2022-09-28,104.58,104.58,104.58,104.58,0
27,2022-09-29,103.7,102.48,103.7,102.48,0
28,2022-09-30,103.04,104.14,104.14,103.04,0
29,2022-10-03,102.62,104.68,104.68,102.62,0
30,2022-10-04,109.26,109.26,109.26,109.26,0
31,2022-10-05,107.36,107.36,107.36,107.36,0
32,2022-10-06,106.94,106.94,106.94,106.94,0
33,2022-10-07,104.78,104.78,104.78,104.78,0
34,2022-10-10,104.02,104.52,104.52,104.02,0
35,2022-10-11,104.08,104.08,104.08,104.08,0
36,2022-10-12,103.76,103.48,103.76,103.48,0
37,2022-10-13,102.62,104.2,104.2,102.62,0
38,2022-10-14,105.94,104.86,105.94,104.86,0
39,2022-10-17,106.98,106.98,106.98,106.98,0
40,2022-10-18,108.08,107.84,108.08,107.84,0
41,2022-10-19,108.32,108.32,108.32,108.32,0
42,2022-10-20,107.26,108.28,108.28,107.22,7
43,2022-10-21,106.98,107.48,107.48,106.98,0
44,2022-10-24,108.78,108.9,108.9,108.78,7
45,2022-10-25,109.7,109.7,109.7,109.7,0
46,2022-10-26,110.56,111.72,111.72,110.56,0
47,2022-10-27,111.1,111.32,111.32,111.1,0
48,2022-10-28,110.2,111.1,111.1,110.2,0
49,2022-10-31,111.1,111.04,111.1,111.04,0
50,2022-11-01,111.78,111.78,111.78,111.78,0
51,2022-11-02,112.08,110.88,112.08,110.88,0
52,2022-11-03,109.58,109.54,109.58,109.54,0
53,2022-11-04,110.38,112.66,112.66,110.38,0
54,2022-11-07,112.06,113.32,113.32,112.06,0
55,2022-11-08,112.86,114.84,114.84,112.86,0
56,2022-11-09,114.7,114.64,114.7,114.64,0
57,2022-11-10,113.9,118.56,118.56,113.9,0
58,2022-11-11,119.74,119.74,119.74,119.74,0
59,2022-11-14,120.04,120.04,120.04,120.04,0
60,2022-11-15,120.46,120.52,120.52,120.46,0
61,2022-11-16,120.22,118.92,120.22,118.92,0
62,2022-11-17,118.76,118.76,118.76,118.76,0
63,2022-11-18,119.02,120.08,120.08,119.02,0
64,2022-11-21,119.28,119.78,119.78,119.28,420
65,2022-11-22,119.5,120.12,120.12,119.5,0
66,2022-11-23,119.92,120.66,120.66,119.92,80
67,2022-11-24,120.76,121.28,121.28,120.76,0
68,2022-11-25,121.14,121.16,121.16,121.14,0
69,2022-11-28,120.54,120.54,120.54,120.54,0
70,2022-11-29,120.44,120.44,120.44,120.44,0
71,2022-11-30,120.54,120.54,120.54,120.54,0
72,2022-12-01,122.38,122.38,122.38,122.38,0
73,2022-12-02,121.44,121.44,121.44,121.44,0
74,2022-12-05,121.54,121.48,121.54,121.48,40
75,2022-12-06,121.0,121.0,121.0,121.0,0
76,2022-12-08,119.8,119.8,119.8,119.8,0
77,2022-12-09,120.14,120.14,120.14,120.14,0
78,2022-12-12,119.9,119.9,119.9,119.9,0
79,2022-12-14,121.32,121.32,121.32,121.32,0
80,2022-12-15,120.44,120.44,120.44,120.44,0
81,2022-12-16,117.44,117.44,117.44,117.44,0
82,2022-12-19,116.8,116.8,116.8,116.8,0
83,2022-12-20,115.26,115.26,115.26,115.26,0
84,2022-12-21,116.54,116.54,116.54,116.54,0
85,2022-12-22,118.16,118.16,118.16,118.16,0
86,2022-12-23,116.7,116.7,116.7,116.7,0
87,2022-12-27,117.42,117.42,117.42,117.42,0
88,2022-12-29,115.86,115.86,115.86,115.86,0
89,2022-12-30,116.94,116.94,116.94,116.94,0
90,2023-01-05,121.58,121.58,121.58,121.58,0
91,2023-01-06,121.86,121.86,121.86,121.86,0
92,2023-01-09,123.88,123.88,123.88,123.88,0
93,2023-01-10,124.18,124.18,124.18,124.18,0
94,2023-01-11,124.66,124.66,124.66,124.66,0
95,2023-01-12,125.82,125.82,125.82,125.82,0
96,2023-01-13,126.56,126.56,126.56,126.56,0
97,2023-01-16,127.76,127.76,127.76,127.76,0
98,2023-01-18,128.34,128.34,128.34,128.34,0
99,2023-01-20,126.4,126.4,126.4,126.4,0
100,2023-01-23,127.28,127.28,127.28,127.28,0
101,2023-01-24,128.16,128.16,128.16,128.16,0
102,2023-01-25,127.84,127.84,127.84,127.84,0
103,2023-01-26,128.38,128.38,128.38,128.38,0
104,2023-01-27,128.22,128.22,128.22,128.22,0
105,2023-02-01,128.78,128.78,128.78,128.78,0
106,2023-02-02,130.54,130.54,130.54,130.54,0
107,2023-02-07,131.1,131.1,131.1,131.1,0
108,2023-02-08,131.9,131.9,131.9,131.9,0
109,2023-02-10,130.86,130.86,130.86,130.86,0
110,2023-02-13,130.1,130.1,130.1,130.1,0
111,2023-02-14,131.24,131.24,131.24,131.24,0
112,2023-02-15,131.0,131.0,131.0,131.0,0
113,2023-02-16,133.36,133.36,133.36,133.36,0
114,2023-02-17,131.78,131.78,131.78,131.78,0
115,2023-02-20,132.98,132.98,132.98,132.98,0
116,2023-02-21,132.04,132.04,132.04,132.04,0
117,2023-02-22,130.88,130.88,130.88,130.88,0
118,2023-02-24,132.16,132.16,132.16,132.16,0
119,2023-02-27,130.54,130.54,130.54,130.54,0
120,2023-02-28,130.56,130.56,130.56,130.56,0
121,2023-03-02,129.5,129.5,129.5,129.5,0
122,2023-03-03,131.98,131.98,131.98,131.98,0
123,2023-03-06,133.3,133.3,133.3,133.3,0
124,2023-03-07,132.82,132.82,132.82,132.82,0
125,2023-03-08,131.74,132.58,132.58,131.74,76
126,2023-03-09,132.34,132.34,132.34,132.34,0
127,2023-03-10,129.58,129.58,129.58,129.58,0
128,2023-03-13,129.7,129.7,129.7,129.7,0
129,2023-03-14,127.0,127.0,127.0,127.0,0
130,2023-03-15,128.44,128.44,128.44,128.44,0
131,2023-03-16,127.0,127.0,127.0,127.0,0
132,2023-03-17,128.28,128.28,128.28,128.28,0
133,2023-03-21,128.04,128.04,128.04,128.04,0
134,2023-03-23,128.4,128.4,128.4,128.4,0
135,2023-03-24,128.12,128.12,128.12,128.12,0
136,2023-04-03,131.78,131.78,131.78,131.78,0
137,2023-04-11,132.44,132.44,132.44,132.44,0
138,2023-04-14,133.22,133.22,133.22,133.22,0
139,2023-04-17,133.84,133.84,133.84,133.84,0
140,2023-04-18,133.62,133.62,133.62,133.62,0
141,2023-04-19,133.7,133.7,133.7,133.7,0
142,2023-04-21,133.74,133.74,133.74,133.74,0
143,2023-04-24,134.2,134.2,134.2,134.2,0
144,2023-04-27,132.44,132.44,132.44,132.44,0
145,2023-04-28,133.94,133.94,133.94,133.94,0
146,2023-05-10,133.4,133.4,133.4,133.4,0
147,2023-05-11,133.56,133.56,133.56,133.56,0
148,2023-05-12,133.76,133.76,133.76,133.76,0
149,2023-05-15,134.02,134.02,134.02,134.02,0
150,2023-05-16,133.36,133.36,133.36,133.36,0
151,2023-05-17,133.16,133.16,133.16,133.16,0
152,2023-05-18,134.12,134.12,134.12,134.12,0
153,2023-05-22,134.82,134.82,134.82,134.82,0
154,2023-05-23,134.68,134.44,134.68,134.28,100
155,2023-05-24,132.6,132.6,132.6,132.6,0
156,2023-05-25,131.94,131.94,131.94,131.94,0
157,2023-05-26,132.32,132.32,132.32,132.32,0
158,2023-05-29,134.14,134.14,134.14,134.14,0
159,2023-05-30,132.94,132.94,132.94,132.94,0
160,2023-05-31,131.12,131.12,131.12,131.12,0
161,2023-06-01,131.78,131.78,131.78,131.78,0
162,2023-06-05,133.74,133.14,133.74,133.14,26
163,2023-06-06,132.7,133.5,133.5,132.7,100
164,2023-06-07,133.24,133.24,133.24,133.24,0
165,2023-06-08,132.72,133.58,133.58,132.72,68
166,2023-06-09,133.42,133.42,133.42,133.42,0
167,2023-06-12,133.82,134.44,134.44,133.82,100
168,2023-06-13,134.9,134.9,134.9,134.9,0
169,2023-06-14,134.98,134.98,134.98,134.98,0
170,2023-06-15,134.92,135.04,135.04,134.92,300
171,2023-06-16,135.72,135.72,135.72,135.72,0
172,2023-06-20,134.12,134.12,134.12,134.12,0
173,2023-06-21,133.72,133.72,133.72,133.72,0
174,2023-06-22,132.08,132.08,132.08,132.08,0
175,2023-06-26,131.94,131.94,131.94,131.94,0
176,2023-06-27,132.44,132.44,132.44,132.44,0
177,2023-06-29,134.0,134.0,134.0,134.0,0
178,2023-06-30,134.08,134.08,134.08,134.08,0
179,2023-07-03,135.66,135.66,135.66,135.66,0
180,2023-07-04,135.52,135.52,135.52,135.52,0
181,2023-07-05,134.4,134.4,134.4,134.4,0
182,2023-07-06,133.02,131.18,133.02,131.18,37
183,2023-07-07,130.68,130.68,130.68,130.68,0
184,2023-07-10,130.68,132.02,132.02,130.68,38
185,2023-07-11,132.22,132.22,132.22,132.22,0
186,2023-07-12,133.24,133.24,133.24,133.24,0
187,2023-07-13,135.32,135.32,135.32,135.32,0
188,2023-07-14,136.16,136.16,136.16,136.16,0
189,2023-07-17,135.3,135.18,135.3,135.18,132
190,2023-07-18,135.22,135.22,135.22,135.22,0
191,2023-07-19,136.66,136.66,136.66,136.66,0
192,2023-07-20,135.0,135.0,135.0,135.0,0
193,2023-07-21,135.16,135.16,135.16,135.16,0
194,2023-07-24,135.88,135.88,135.88,135.88,0
195,2023-07-25,136.36,136.36,136.36,136.36,0
196,2023-07-26,136.12,136.12,136.12,136.12,0
197,2023-07-27,136.18,136.18,136.18,136.18,0
198,2023-07-28,137.68,137.68,137.68,137.68,0
199,2023-07-31,138.04,138.04,138.04,138.04,0
200,2023-08-01,137.8,137.8,137.8,137.8,0
201,2023-08-02,134.46,134.46,134.46,134.46,0
202,2023-08-03,133.78,133.78,133.78,133.78,0
203,2023-08-04,133.82,133.82,133.82,133.82,0
204,2023-08-07,133.98,133.98,133.98,133.98,0
205,2023-08-08,133.36,133.36,133.36,133.36,0
206,2023-08-09,134.42,134.42,134.42,134.42,0
207,2023-08-10,134.36,134.36,134.36,134.36,0
208,2023-08-11,134.88,134.88,134.88,134.88,0
209,2023-08-14,133.32,133.5,133.5,133.32,68
210,2023-08-15,134.2,134.2,134.2,134.2,0
211,2023-08-16,132.58,132.58,132.58,132.58,0
212,2023-08-17,132.26,132.26,132.26,132.26,0
213,2023-08-18,130.3,130.3,130.3,130.3,0
