,Unnamed: 0,date,open,close,high,low,volumme
0,0.0,2022-08-22,119.7027,119.7027,119.7027,119.7027,0
1,1.0,2022-08-23,119.7021,119.6461,119.7021,119.6461,0
2,2.0,2022-08-24,117.9584,118.0327,118.0327,117.9584,0
3,3.0,2022-08-25,118.9504,118.9504,118.9504,118.9504,0
4,4.0,2022-08-26,118.799,117.1705,118.799,117.1705,0
5,5.0,2022-08-30,117.2241,117.2241,117.2241,117.2241,0
6,6.0,2022-08-31,116.8852,116.8852,116.8852,116.8852,0
7,7.0,2022-09-01,115.7676,115.7676,115.7676,115.7676,0
8,8.0,2022-09-02,116.5589,116.5589,116.5589,116.5589,0
9,9.0,2022-09-05,115.8769,115.8769,115.8769,115.8769,0
10,10.0,2022-09-07,115.3157,115.6707,115.6707,115.3157,0
11,11.0,2022-09-08,117.6423,117.6423,117.6423,117.6423,0
12,12.0,2022-09-09,118.0087,118.0087,118.0087,118.0087,0
13,13.0,2022-09-12,119.0186,119.0186,119.0186,119.0186,0
14,14.0,2022-09-13,117.5046,117.5046,117.5046,117.5046,0
15,15.0,2022-09-14,116.998,116.998,116.998,116.998,0
16,16.0,2022-09-15,116.8132,116.8132,116.8132,116.8132,0
17,17.0,2022-09-16,115.8016,115.8016,115.8016,115.8016,0
18,18.0,2022-09-19,115.9332,115.9332,115.9332,115.9332,0
19,19.0,2022-09-20,115.6819,115.6819,115.6819,115.6819,0
20,20.0,2022-09-21,115.4461,115.4461,115.4461,115.4461,0
21,21.0,2022-09-22,113.5668,113.5668,113.5668,113.5668,0
22,22.0,2022-09-26,111.7899,111.7899,111.7899,111.7899,0
23,23.0,2022-09-27,111.4743,111.4743,111.4743,111.4743,0
24,24.0,2022-09-28,111.9789,111.9789,111.9789,111.9789,0
25,25.0,2022-09-29,110.9401,110.9401,110.9401,110.9401,0
26,26.0,2022-09-30,112.0761,112.0761,112.0761,112.0761,0
27,27.0,2022-10-03,112.2916,112.2916,112.2916,112.2916,0
28,28.0,2022-10-04,115.6201,115.6201,115.6201,115.6201,0
29,29.0,2022-10-05,114.8643,114.8643,114.8643,114.8643,0
30,30.0,2022-10-06,115.0779,115.0779,115.0779,115.0779,0
31,31.0,2022-10-07,114.1594,114.1594,114.1594,114.1594,0
32,32.0,2022-10-10,112.6889,112.6889,112.6889,112.6889,0
33,33.0,2022-10-11,112.9595,112.9595,112.9595,112.9595,0
34,34.0,2022-10-12,112.7998,112.7998,112.7998,112.7998,0
35,35.0,2022-10-13,111.6262,112.8191,112.8191,111.6262,0
36,36.0,2022-10-14,113.3323,113.3323,113.3323,113.3323,0
37,37.0,2022-10-17,114.1898,114.1898,114.1898,114.1898,0
38,38.0,2022-10-18,113.945,113.945,113.945,113.945,0
39,39.0,2022-10-19,114.0827,114.0827,114.0827,114.0827,0
40,40.0,2022-10-20,114.8032,114.8032,114.8032,114.8032,0
41,41.0,2022-10-21,113.3292,113.5514,113.5514,113.3292,0
42,42.0,2022-10-24,113.9965,113.9965,113.9965,113.9965,0
43,43.0,2022-10-25,115.6803,115.6803,115.6803,115.6803,0
44,44.0,2022-10-26,116.2397,116.2397,116.2397,116.2397,0
45,45.0,2022-10-27,114.9892,114.9892,114.9892,114.9892,0
46,46.0,2022-10-28,115.6478,115.6478,115.6478,115.6478,0
47,47.0,2022-10-31,116.4091,116.4091,116.4091,116.4091,0
48,48.0,2022-11-01,117.2572,117.2572,117.2572,117.2572,0
49,49.0,2022-11-02,117.8478,117.8478,117.8478,117.8478,0
50,50.0,2022-11-03,115.8582,115.8582,115.8582,115.8582,0
51,51.0,2022-11-04,116.3949,116.3949,116.3949,116.3949,0
52,52.0,2022-11-07,116.7674,117.3188,117.3188,116.7674,0
53,53.0,2022-11-08,118.8283,118.8283,118.8283,118.8283,0
54,54.0,2022-11-09,117.6445,117.6445,117.6445,117.6445,0
55,55.0,2022-11-10,118.7954,118.7954,118.7954,118.7954,0
56,56.0,2022-11-11,119.2037,119.2037,119.2037,119.2037,0
57,57.0,2022-11-14,119.5395,119.5395,119.5395,119.5395,0
58,58.0,2022-11-15,120.1197,120.1197,120.1197,120.1197,0
59,59.0,2022-11-16,118.9302,118.9302,118.9302,118.9302,0
60,60.0,2022-11-17,119.0729,119.0729,119.0729,119.0729,0
61,61.0,2022-11-18,119.4877,119.4877,119.4877,119.4877,0
62,62.0,2022-11-21,119.7432,119.7432,119.7432,119.7432,0
63,63.0,2022-11-22,121.2427,121.2427,121.2427,121.2427,0
64,64.0,2022-11-23,121.6638,121.6638,121.6638,121.6638,0
65,65.0,2022-11-24,122.2444,122.2444,122.2444,122.2444,0
66,66.0,2022-11-25,121.9582,122.1364,122.1364,121.9582,0
67,67.0,2022-11-28,121.1139,121.1139,121.1139,121.1139,0
68,68.0,2022-11-29,120.3411,120.3411,120.3411,120.3411,0
69,69.0,2022-12-06,117.8108,117.8108,117.8108,117.8108,0
70,70.0,2022-12-08,116.8981,116.8981,116.8981,116.8981,0
71,71.0,2022-12-13,118.6635,118.6635,118.6635,118.6635,0
72,72.0,2022-12-14,119.062,119.062,119.062,119.062,0
73,73.0,2022-12-22,114.1129,114.1129,114.1129,114.1129,0
74,74.0,2022-12-30,112.3653,112.3653,112.3653,112.3653,0
75,75.0,2023-01-11,114.0291,114.0291,114.0291,114.0291,0
76,76.0,2023-01-13,113.9643,113.9643,113.9643,113.9643,0
77,77.0,2023-01-18,116.2373,116.2373,116.2373,116.2373,0
78,78.0,2023-01-20,115.9635,115.9635,115.9635,115.9635,0
79,79.0,2023-02-01,118.3431,118.3431,118.3431,118.3431,0
80,80.0,2023-02-10,118.9251,118.9251,118.9251,118.9251,0
81,81.0,2023-02-13,119.1104,119.1104,119.1104,119.1104,0
82,82.0,2023-02-16,120.1741,119.9175,120.5023,119.9175,281
83,83.0,2023-02-17,119.2436,119.2436,119.2436,119.2436,0
84,84.0,2023-02-22,117.9339,117.9339,117.9339,117.9339,0
