,Unnamed: 0,date,open,close,high,low,volumme
0,0.0,2019-05-15,19.522,19.522,19.522,19.522,0
1,1.0,2019-05-17,19.696,19.696,19.696,19.696,0
2,2.0,2019-05-20,19.696,19.514,19.696,19.514,0
3,3.0,2019-05-21,19.592,19.634,19.648,19.592,194
4,4.0,2019-05-22,19.608,19.624,19.626,19.608,101
5,5.0,2019-05-23,19.49,19.332,19.49,19.332,40
6,6.0,2019-05-24,19.42,19.452,19.452,19.42,0
7,7.0,2019-05-27,19.584,19.518,19.584,19.518,1029
8,8.0,2019-05-28,19.554,19.466,19.554,19.438,1695
9,9.0,2019-05-29,19.326,19.196,19.326,19.196,2871
10,10.0,2019-05-30,19.276,19.292,19.34,19.276,2035
11,11.0,2019-05-31,19.102,19.128,19.128,19.042,553
12,12.0,2019-06-03,19.018,19.194,19.194,19.018,677
13,13.0,2019-06-04,19.068,19.302,19.348,19.068,203
14,14.0,2019-06-05,19.322,19.36,19.406,19.322,984
15,15.0,2019-06-06,19.392,19.378,19.484,19.35,3452
16,16.0,2019-06-07,19.47,19.552,19.552,19.47,382
17,17.0,2019-06-10,19.64,19.628,19.64,19.628,1048
18,18.0,2019-06-11,19.672,19.748,19.804,19.672,1978
19,19.0,2019-06-12,19.642,19.684,19.684,19.64,118
20,20.0,2019-06-13,19.652,19.704,19.742,19.65,111
21,21.0,2019-06-14,19.638,19.638,19.64,19.6,548
22,22.0,2019-06-17,19.668,19.614,19.67,19.6,1087
23,23.0,2019-06-18,19.618,19.938,19.938,19.58,1510
24,24.0,2019-06-19,19.954,19.95,19.966,19.936,401
25,25.0,2019-06-20,20.085,20.035,20.105,20.035,284
26,26.0,2019-06-21,20.075,19.962,20.075,19.962,1165
27,27.0,2019-06-24,19.966,19.918,19.966,19.918,325
28,28.0,2019-06-25,19.852,19.892,19.892,19.852,110
29,29.0,2019-06-26,19.84,19.86,19.916,19.84,617
30,30.0,2019-06-27,19.862,19.822,19.9,19.822,5
31,31.0,2019-06-28,19.852,19.954,19.954,19.852,581
32,32.0,2019-07-01,20.48,20.12,20.48,20.12,650
33,33.0,2019-07-02,20.175,20.195,20.215,20.14,4174
34,34.0,2019-07-03,20.26,20.365,20.375,20.26,141
35,35.0,2019-07-04,20.39,20.385,20.415,20.38,2026
36,36.0,2019-07-05,20.38,20.3,20.38,20.25,7606
37,37.0,2019-07-08,20.205,20.26,20.26,20.205,3602
38,38.0,2019-07-09,20.155,20.13,20.155,20.065,291
39,39.0,2019-07-10,20.13,20.1,20.21,20.085,767
40,40.0,2019-07-11,20.165,20.06,20.165,20.06,713
41,41.0,2019-07-12,20.065,20.06,20.125,20.06,4310
42,42.0,2019-07-15,20.11,20.11,20.14,20.04,8097
43,43.0,2019-07-16,20.125,20.18,20.18,20.125,172
44,44.0,2019-07-17,20.19,20.095,20.2,20.095,368
45,45.0,2019-07-18,19.998,20.06,20.09,19.998,983
46,46.0,2019-07-19,20.155,20.075,20.175,20.05,5962
47,47.0,2019-07-22,20.06,20.105,20.13,20.06,20844
48,48.0,2019-07-23,20.4,20.305,20.4,20.22,221
49,49.0,2019-07-24,20.315,20.32,20.6,20.305,4718
50,50.0,2019-07-25,20.42,20.2,20.495,20.14,1989
51,51.0,2019-07-26,20.4,20.275,20.505,20.25,2470
52,52.0,2019-07-29,20.235,20.3,20.36,20.235,3077
53,53.0,2019-07-30,20.2,20.0,20.2,20.0,1550
54,54.0,2019-07-31,19.984,20.02,20.06,19.978,2360
55,55.0,2019-08-01,19.976,20.12,20.12,19.976,290
56,56.0,2019-08-02,19.756,19.602,19.796,19.6,1195
57,57.0,2019-08-05,19.444,19.142,19.448,19.12,4803
58,58.0,2019-08-06,19.154,19.04,19.27,19.04,2761
59,59.0,2019-08-07,19.1,19.098,19.25,19.0,778
60,60.0,2019-08-08,19.298,19.464,19.464,19.298,0
61,61.0,2019-08-09,19.406,19.292,19.406,19.292,5
62,62.0,2019-08-12,19.404,19.23,19.404,19.23,6823
63,63.0,2019-08-13,19.168,19.328,19.412,19.08,1788
64,64.0,2019-08-14,19.326,19.024,19.326,19.014,1105
65,65.0,2019-08-15,19.064,18.972,19.064,18.8,1320
66,66.0,2019-08-16,19.03,19.218,19.218,19.03,202
67,67.0,2019-08-19,19.382,19.426,19.426,19.334,181
68,68.0,2019-08-20,19.446,19.304,19.49,19.304,932
69,69.0,2019-08-21,19.378,19.524,19.562,19.378,252
70,70.0,2019-08-22,19.462,19.448,19.506,19.448,100
71,71.0,2019-08-23,19.536,19.286,19.536,19.286,70
72,72.0,2019-08-26,19.242,19.326,19.33,19.242,109
73,73.0,2019-08-27,19.262,19.428,19.428,19.26,81
74,74.0,2019-08-28,19.66,19.402,19.66,19.296,10507
75,75.0,2019-08-29,19.378,19.6,19.616,19.378,132
76,76.0,2019-08-30,19.612,19.776,19.996,19.612,23962
77,77.0,2019-09-02,19.81,19.802,19.848,19.78,355
78,78.0,2019-09-03,19.752,19.758,19.784,19.71,207
79,79.0,2019-09-04,19.902,19.912,19.97,19.902,18859
80,80.0,2019-09-05,20.075,20.085,20.085,20.04,14
81,81.0,2019-09-06,20.075,20.14,20.14,20.075,425
82,82.0,2019-09-09,20.205,20.095,20.205,20.09,115
83,83.0,2019-09-10,20.075,20.12,20.12,20.075,3
84,84.0,2019-09-11,20.21,20.295,20.295,20.21,133
85,85.0,2019-09-12,20.335,20.355,20.47,20.3,47986
86,86.0,2019-09-13,20.34,20.385,20.385,20.07,672
87,87.0,2019-09-16,20.34,20.29,20.345,20.29,739
88,88.0,2019-09-17,20.24,20.255,20.275,20.2,403
89,89.0,2019-09-18,20.26,20.27,20.305,20.26,342
90,90.0,2019-09-19,20.27,20.405,20.405,20.26,673
91,91.0,2019-09-20,20.48,20.455,20.48,20.45,1592
92,92.0,2019-09-23,20.435,20.305,20.435,20.24,806
93,93.0,2019-09-24,20.375,20.315,20.375,20.315,77
94,94.0,2019-09-25,20.21,20.165,20.21,20.045,831
95,95.0,2019-09-26,20.155,20.315,20.345,20.155,166
96,96.0,2019-09-27,20.41,20.41,20.41,20.395,34
97,97.0,2019-09-30,20.4,20.475,20.51,20.4,683
98,98.0,2019-10-01,20.545,20.16,20.545,20.16,5383
99,99.0,2019-10-02,20.17,19.634,20.17,19.634,1012
100,100.0,2019-10-03,19.654,19.636,19.68,19.5,2971
101,101.0,2019-10-04,19.68,19.806,19.806,19.678,762
102,102.0,2019-10-07,19.8,19.95,19.95,19.8,90
103,103.0,2019-10-08,19.948,19.71,19.958,19.71,262
104,104.0,2019-10-09,19.698,19.81,19.846,19.698,573
105,105.0,2019-10-10,19.752,19.974,19.974,19.752,14
106,106.0,2019-10-11,20.035,20.38,20.38,20.035,715
107,107.0,2019-10-14,20.6,20.295,20.6,20.18,323
108,108.0,2019-10-15,20.42,20.525,20.54,20.37,253
109,109.0,2019-10-16,20.505,20.465,20.515,20.43,2928
110,110.0,2019-10-17,20.425,20.445,20.625,20.425,1297
111,111.0,2019-10-18,20.435,20.39,20.435,20.35,382
