,date,open,close,high,low,volumme
0,2019-05-15,19.407,19.407,19.407,19.407,0
1,2019-05-17,19.679,19.679,19.679,19.679,0
2,2019-05-20,19.7,19.448,19.7,19.413,719
3,2019-05-21,19.526,19.573,19.601,19.526,982
4,2019-05-22,19.564,19.55,19.565,19.509,5269
5,2019-05-23,19.45,19.272,19.45,19.272,0
6,2019-05-24,19.315,19.244,19.369,19.244,270
7,2019-05-27,19.312,19.3,19.315,19.295,535
8,2019-05-28,19.361,19.292,19.361,19.292,18393
9,2019-05-29,19.084,19.052,19.087,19.052,3336
10,2019-05-30,19.134,19.085,19.144,19.085,1876
11,2019-05-31,18.948,18.943,18.948,18.89,490
12,2019-06-03,18.739,18.777,18.819,18.708,978
13,2019-06-04,18.617,18.939,18.939,18.617,1019
14,2019-06-05,19.038,19.108,19.108,19.0,1376
15,2019-06-06,19.227,19.175,19.8,19.14,5729
16,2019-06-07,19.33,19.375,19.391,19.21,5940
17,2019-06-10,19.477,19.584,19.588,19.477,8649
18,2019-06-11,19.547,19.513,19.638,19.513,6517
19,2019-06-12,19.412,19.449,19.97,19.4,8340
20,2019-06-13,19.469,19.561,19.588,19.469,1175
21,2019-06-14,19.569,19.661,19.661,19.569,730
22,2019-06-17,19.731,19.686,19.731,19.66,2318
23,2019-06-18,19.662,19.957,20.346,19.627,3385
24,2019-06-19,19.958,19.89,19.958,19.889,5536
25,2019-06-20,19.969,19.949,19.996,19.949,1075
26,2019-06-21,19.991,19.986,20.007,19.897,17527
27,2019-06-24,19.867,19.813,19.867,19.797,7930
28,2019-06-25,19.737,19.709,19.779,19.709,1095
29,2019-06-26,19.66,19.636,19.721,19.63,2027
30,2019-06-27,19.708,19.684,19.708,19.6,2726
31,2019-06-28,19.711,19.711,20.272,19.68,6234
32,2019-07-01,19.6,20.034,20.647,19.6,21245
33,2019-07-02,20.055,20.031,20.077,20.02,3750
34,2019-07-03,20.176,20.274,20.274,20.175,2537
35,2019-07-04,20.599,20.334,20.599,20.3,2746
36,2019-07-05,20.349,20.313,20.349,20.276,6870
37,2019-07-08,20.699,20.29,20.699,20.27,18467
38,2019-07-09,20.221,20.293,20.303,20.22,10219
39,2019-07-10,20.699,20.328,20.699,20.25,1343
40,2019-07-11,20.362,20.388,20.4,20.35,1381
41,2019-07-12,20.399,20.439,20.503,20.399,7863
42,2019-07-15,21.027,20.462,21.027,20.462,15897
43,2019-07-16,20.499,20.542,20.586,20.499,2288
44,2019-07-17,21.039,20.404,21.039,20.404,2354
45,2019-07-18,20.259,20.284,20.39,20.237,6526
46,2019-07-19,20.415,20.442,20.518,20.4,4071
47,2019-07-22,20.316,20.364,20.819,20.31,14115
48,2019-07-23,20.457,20.519,20.563,20.442,2064
49,2019-07-24,20.819,20.636,20.819,20.58,5406
50,2019-07-25,21.149,20.66,21.149,20.6,22382
51,2019-07-26,21.149,20.74,21.149,20.69,8034
52,2019-07-29,21.338,20.757,21.338,20.74,30193
53,2019-07-30,20.775,20.693,21.287,20.63,29655
54,2019-07-31,20.688,20.72,21.271,20.688,4422
55,2019-08-01,20.642,20.831,20.833,20.642,7446
56,2019-08-02,20.359,20.135,20.457,20.11,11370
57,2019-08-05,20.5,19.63,20.56,19.58,9180
58,2019-08-06,19.43,19.51,19.678,19.391,8709
59,2019-08-07,19.642,19.503,19.8,19.3,5020
60,2019-08-08,19.77,19.905,19.92,19.73,1447
61,2019-08-09,20.05,19.842,20.056,19.842,1132
62,2019-08-12,20.03,19.722,20.171,19.722,4967
63,2019-08-13,20.24,19.974,20.24,19.629,1999
64,2019-08-14,20.06,19.824,20.078,19.701,1884
65,2019-08-15,19.686,19.598,19.712,19.41,2442
66,2019-08-16,19.74,19.941,19.941,19.74,675
67,2019-08-19,20.172,20.22,20.22,20.106,29300
68,2019-08-20,20.255,20.178,20.28,20.13,4710
69,2019-08-21,20.142,20.213,20.233,20.139,965
70,2019-08-22,20.225,20.052,20.313,20.052,6745
71,2019-08-23,20.33,19.79,20.33,19.79,8094
72,2019-08-26,19.809,20.199,20.199,19.7,7464
73,2019-08-27,19.854,19.9,20.059,19.82,11655
74,2019-08-28,19.85,19.962,19.962,19.769,15879
75,2019-08-29,20.06,20.283,20.283,19.98,16263
76,2019-08-30,20.48,20.389,20.48,20.373,7900
77,2019-09-02,20.82,20.384,20.82,20.376,1900
78,2019-09-03,20.468,20.315,20.468,20.267,1737
79,2019-09-04,20.468,20.392,20.482,20.361,865
80,2019-09-05,20.679,20.698,20.711,20.554,3634
81,2019-09-06,21.3,20.708,21.34,20.601,2469
82,2019-09-09,20.806,20.707,21.381,20.702,2889
83,2019-09-10,21.214,20.562,21.214,20.562,1756
84,2019-09-11,20.696,20.867,20.87,20.696,759
85,2019-09-12,20.946,20.932,21.45,20.917,5492
86,2019-09-13,20.894,20.931,20.931,20.827,1115
87,2019-09-16,21.2,20.907,21.2,20.721,21565
88,2019-09-17,21.419,20.82,21.447,20.82,1779
89,2019-09-18,21.373,20.798,21.373,20.791,4900
90,2019-09-19,21.38,20.993,21.38,20.82,1890
91,2019-09-20,21.449,20.991,21.449,20.89,5315
92,2019-09-23,21.449,20.902,21.449,20.87,2765
93,2019-09-24,20.988,20.881,21.015,20.881,333
94,2019-09-25,21.3,20.845,21.3,20.66,5544
95,2019-09-26,20.89,20.849,21.027,20.843,3133
96,2019-09-27,21.002,20.937,21.016,20.91,2150
97,2019-09-30,21.44,20.986,21.44,20.874,2193
98,2019-10-01,21.7,20.808,21.7,20.781,1995
99,2019-10-02,21.224,20.289,21.224,20.27,8286
100,2019-10-03,20.85,20.205,20.858,19.988,5229
101,2019-10-04,20.372,20.554,20.554,20.279,2715
102,2019-10-07,20.7,20.645,20.7,20.555,4106
103,2019-10-08,20.68,20.414,20.68,20.337,1312
104,2019-10-09,20.5,20.39,20.5,20.308,1039
105,2019-10-10,20.68,20.564,20.68,20.3,1233
106,2019-10-11,20.608,20.828,20.828,20.608,5246
107,2019-10-14,20.72,20.712,20.99,20.644,2874
108,2019-10-15,20.89,20.87,20.9,20.756,1525
109,2019-10-16,20.99,20.779,20.99,20.765,2922
110,2019-10-17,21.11,20.72,21.11,20.72,989
111,2019-10-18,21.109,20.629,21.109,20.629,5058
112,2019-10-21,21.109,20.719,21.109,20.629,1964
113,2019-10-22,20.73,20.768,20.9,20.73,1054
114,2019-10-23,20.67,20.75,20.771,20.67,1134
115,2019-10-24,20.8,20.873,20.873,20.757,473
116,2019-10-25,20.89,20.98,20.98,20.796,3157
117,2019-10-28,21.5,21.055,21.544,20.971,3311
118,2019-10-29,21.089,21.077,21.089,21.034,1332
119,2019-10-30,21.014,20.998,21.044,20.98,1003
120,2019-10-31,21.02,20.885,21.029,20.885,477
121,2019-11-01,20.98,21.076,21.589,20.98,926
122,2019-11-04,21.184,21.263,21.629,21.184,2201
123,2019-11-05,21.292,21.367,21.43,21.292,2209
124,2019-11-06,21.354,21.381,21.381,21.292,13310
125,2019-11-07,21.999,21.559,21.999,21.427,3763
126,2019-11-08,21.5,21.528,21.559,21.48,808
127,2019-11-11,22.047,21.498,22.047,21.48,1712
128,2019-11-12,22.125,21.663,22.125,21.555,3412
129,2019-11-13,22.105,21.619,22.105,21.5,640
130,2019-11-14,22.2,21.623,22.2,21.61,3800
131,2019-11-15,21.72,21.712,21.728,21.657,7247
132,2019-11-18,22.0,21.679,22.0,21.651,7436
133,2019-11-19,21.727,21.68,21.791,21.65,3389
134,2019-11-20,22.203,21.689,22.203,21.62,1904
135,2019-11-21,21.69,21.558,22.142,21.556,3329
136,2019-11-22,21.654,21.657,21.717,21.647,31655
137,2019-11-25,21.9,21.906,21.908,21.8,15637
138,2019-11-26,22.0,21.91,22.0,21.888,11463
139,2019-11-27,22.499,22.03,22.499,22.007,21896
140,2019-11-28,22.2,22.055,22.499,21.984,977
141,2019-11-29,22.16,21.983,22.499,21.983,7669
142,2019-12-02,22.606,22.0,22.606,21.73,4771
143,2019-12-03,22.1,21.385,22.1,21.366,3945
144,2019-12-04,21.476,21.663,21.671,21.476,3317
145,2019-12-05,21.702,21.588,21.71,21.588,821
146,2019-12-06,21.688,21.977,22.303,21.661,3772
147,2019-12-09,22.0,21.902,22.0,21.882,3306
148,2019-12-10,21.842,21.805,21.863,21.69,1893
149,2019-12-11,22.406,21.814,22.406,21.801,915
150,2019-12-12,21.803,21.925,21.985,21.735,2823
151,2019-12-13,21.97,21.911,22.02,21.86,3110
152,2019-12-16,22.039,22.123,22.131,22.02,5521
153,2019-12-17,22.13,22.085,22.131,22.058,2492
154,2019-12-18,22.128,22.188,22.188,22.124,3170
155,2019-12-19,22.2,22.214,22.214,22.14,1510
156,2019-12-20,22.25,22.441,22.441,22.25,58686
157,2019-12-23,22.46,22.444,22.527,22.418,9344
158,2019-12-24,22.6,22.477,23.0,22.45,1344
159,2019-12-27,22.53,22.447,22.545,22.4,3758
160,2019-12-30,22.932,22.183,22.932,22.183,2873
161,2019-12-31,22.235,22.136,22.243,22.136,2030
162,2020-01-02,22.445,22.343,22.445,22.343,3660
163,2020-01-03,22.5,22.359,22.5,22.288,3176
164,2020-01-06,22.298,22.312,22.777,22.164,4760
165,2020-01-07,22.434,22.468,22.999,22.4,2533
166,2020-01-08,22.408,22.563,22.563,22.387,4779
167,2020-01-09,23.0,22.761,23.0,22.71,5466
168,2020-01-10,23.0,22.754,23.0,22.754,6733
169,2020-01-13,22.736,22.726,23.0,22.67,6518
170,2020-01-14,22.775,22.808,22.878,22.73,6147
171,2020-01-15,23.0,22.822,23.099,22.745,5372
172,2020-01-16,22.882,22.931,22.956,22.86,1951
173,2020-01-17,23.054,23.151,23.3,23.054,1822
174,2020-01-20,23.143,23.172,23.176,23.125,5822
175,2020-01-21,23.3,23.161,23.499,23.04,4473
176,2020-01-22,23.246,23.208,23.279,23.198,14952
177,2020-01-23,23.208,23.147,23.208,23.088,3257
178,2020-01-24,23.31,23.231,23.378,23.231,5499
179,2020-01-27,22.862,22.764,22.893,22.7,16417
180,2020-01-28,22.867,23.005,23.03,22.76,4046
181,2020-01-29,23.499,23.082,23.499,22.99,10390
182,2020-01-30,23.358,22.804,23.408,22.75,5403
183,2020-01-31,22.99,22.583,23.379,22.55,5784
184,2020-02-03,22.67,22.734,22.877,22.583,4990
185,2020-02-04,22.904,23.49,23.499,22.904,31983
186,2020-02-05,23.5,23.352,23.5,23.082,14247
187,2020-02-06,23.54,23.554,24.119,23.485,3119
188,2020-02-07,23.565,23.582,23.999,23.45,2264
189,2020-02-10,23.521,23.674,23.674,23.445,7676
190,2020-02-11,23.845,23.833,23.885,23.8,5098
191,2020-02-12,23.87,23.985,23.985,23.87,2721
192,2020-02-13,24.0,24.111,24.111,23.84,58868
193,2020-02-14,24.3,24.108,24.3,24.05,2443
194,2020-02-17,24.204,24.699,24.699,24.178,3875
195,2020-02-18,24.06,24.06,24.18,24.02,17480
196,2020-02-19,24.193,24.32,24.32,24.161,10547
197,2020-02-20,24.294,24.038,24.297,24.038,15973
198,2020-02-21,24.043,23.858,24.601,23.75,6006
199,2020-02-24,23.484,23.115,23.599,22.951,18502
200,2020-02-25,23.23,22.726,23.249,22.5,8620
201,2020-02-26,22.422,22.569,22.726,21.501,19551
202,2020-02-27,21.935,21.525,22.399,21.12,16520
203,2020-02-28,20.695,20.6,21.069,20.07,39859
204,2020-03-02,20.98,20.978,21.608,20.071,14287
205,2020-03-03,21.403,21.289,22.19,21.084,22120
206,2020-03-04,21.672,21.529,21.672,21.06,10153
207,2020-03-05,21.476,21.281,22.026,20.995,15114
208,2020-03-06,21.144,19.8,21.144,19.8,41942
209,2020-03-09,19.6,19.032,19.66,18.35,26878
210,2020-03-10,19.3,19.505,20.223,18.5,26727
211,2020-03-11,19.7,19.258,19.828,18.741,16346
212,2020-03-12,18.06,18.199,18.8,17.45,25467
213,2020-03-13,18.02,17.442,18.72,17.442,18973
214,2020-03-16,18.28,17.736,18.28,16.25,24874
215,2020-03-17,16.738,17.767,17.799,16.517,19985
216,2020-03-18,17.7,17.405,17.767,16.8,9853
217,2020-03-19,17.26,17.5,17.76,16.9,12359
218,2020-03-20,17.96,17.1,18.998,17.1,13948
219,2020-03-23,18.0,16.4,18.0,15.8,30638
220,2020-03-24,16.69,17.468,17.468,16.65,7293
221,2020-03-25,17.71,18.02,18.249,17.27,39737
222,2020-03-26,17.303,18.295,18.694,17.101,17755
223,2020-03-27,18.618,17.88,18.644,17.8,14696
224,2020-03-30,18.317,18.329,18.389,17.501,15298
225,2020-03-31,18.59,18.637,19.079,18.331,66110
226,2020-04-01,17.95,17.757,18.227,17.61,18142
227,2020-04-02,17.75,17.926,18.11,17.5,8093
228,2020-04-03,18.0,18.047,18.479,17.752,4772
229,2020-04-06,19.097,18.764,19.097,18.501,9848
230,2020-04-07,19.267,19.411,19.989,19.0,21554
