,date,open,close,high,low,volumme
0,2014-09-17,10.25,10.26,10.29,10.25,1100
1,2014-09-18,10.28,10.33,10.33,10.28,0
2,2014-09-19,10.39,10.49,10.49,10.39,47
3,2014-09-22,10.34,10.34,10.35,10.34,989
4,2014-09-23,10.33,10.21,10.33,10.21,0
5,2014-09-24,10.24,10.25,10.35,10.21,4451
6,2014-09-25,10.14,10.14,10.14,10.14,0
7,2014-09-26,10.14,10.25,10.25,10.14,0
8,2014-09-29,10.3,10.18,10.3,10.18,3000
9,2014-09-30,10.22,10.22,10.22,10.22,0
10,2014-10-01,10.18,10.17,10.18,10.17,3023
11,2014-10-02,10.18,10.03,10.18,10.03,49
12,2014-10-03,10.06,10.04,10.06,10.04,0
13,2014-10-06,10.08,10.06,10.08,10.06,0
14,2014-10-07,10.02,9.93,10.02,9.93,368
15,2014-10-08,9.92,9.86,9.92,9.86,250
16,2014-10-09,9.84,9.84,9.84,9.84,0
17,2014-10-10,9.81,9.81,9.81,9.81,255
18,2014-10-13,9.77,9.77,9.77,9.77,50
19,2014-10-14,9.7,9.75,9.75,9.7,0
20,2014-10-15,9.75,9.65,9.75,9.65,2000
21,2014-10-16,9.65,9.65,9.65,9.65,141
22,2014-10-17,9.64,9.77,9.78,9.64,365
23,2014-10-20,9.79,9.83,9.83,9.79,0
24,2014-10-21,9.81,10.04,10.04,9.81,266
25,2014-10-22,10.07,10.12,10.12,10.07,1035
26,2014-10-23,10.11,10.18,10.18,10.11,0
27,2014-10-24,10.16,10.18,10.18,10.16,0
28,2014-10-27,10.25,10.11,10.25,10.11,0
29,2014-10-28,10.17,10.23,10.23,10.17,0
30,2014-10-29,10.26,10.25,10.29,10.25,300
31,2014-10-30,10.28,10.28,10.28,10.28,0
32,2014-10-31,10.42,10.42,10.42,10.42,5
33,2014-11-03,10.47,10.47,10.49,10.47,675
34,2014-11-04,10.47,10.47,10.47,10.47,0
35,2014-11-05,10.52,10.56,10.56,10.52,0
36,2014-11-06,10.52,10.55,10.55,10.52,0
37,2014-11-07,10.57,10.43,10.57,10.43,50
38,2014-11-10,10.42,10.46,10.46,10.42,0
39,2014-11-11,10.56,10.54,10.56,10.54,0
40,2014-11-12,10.53,10.43,10.53,10.43,0
41,2014-11-13,10.5,10.48,10.5,10.48,0
42,2014-11-14,10.5,10.48,10.5,10.48,0
43,2014-11-17,10.43,10.5,10.5,10.43,0
44,2014-11-18,10.53,10.55,10.55,10.53,100
45,2014-11-19,10.6,10.54,10.6,10.54,234
46,2014-11-20,10.53,10.5,10.53,10.5,50
47,2014-11-21,10.52,10.64,10.64,10.52,0
48,2014-11-24,10.7,10.68,10.7,10.68,190
49,2014-11-25,10.69,10.71,10.71,10.69,0
50,2014-11-26,10.78,10.73,10.81,10.73,10000
51,2014-11-27,10.76,11.03,11.03,10.76,13500
52,2014-11-28,10.89,10.89,10.94,10.89,2608
53,2014-12-01,10.89,10.92,10.93,10.89,400
54,2014-12-02,10.95,11.01,11.01,10.95,0
55,2014-12-03,11.07,11.06,11.11,11.06,1228
56,2014-12-04,11.09,10.89,11.09,10.89,6069
57,2014-12-05,10.99,10.97,11.05,10.97,550
58,2014-12-08,10.95,10.95,10.95,10.95,0
59,2014-12-09,10.9,10.8,10.9,10.8,90
60,2014-12-10,10.84,10.81,10.84,10.8,1860
61,2014-12-11,10.79,10.79,10.79,10.69,17000
62,2014-12-12,10.75,10.64,10.75,10.64,158
63,2014-12-15,10.58,10.47,10.58,10.47,47
64,2014-12-16,10.5,10.5,10.5,10.5,0
65,2014-12-17,10.53,10.53,10.53,10.53,0
