,date,open,close,high,low,volumme
0,2014-09-16,11.3,11.34,11.34,11.28,11526
1,2014-09-17,11.38,11.38,11.41,11.38,5999
2,2014-09-18,11.46,11.49,11.51,11.46,3317
3,2014-09-19,11.56,11.56,11.6,11.55,7679
4,2014-09-22,11.48,11.48,11.73,11.48,13407
5,2014-09-23,11.45,11.38,11.45,11.35,37015
6,2014-09-24,11.37,11.47,11.55,11.35,19706
7,2014-09-25,11.55,11.41,11.57,11.38,21050
8,2014-09-26,11.4,11.41,11.45,11.37,23665
9,2014-09-29,11.48,11.46,11.48,11.38,5299
10,2014-09-30,11.5,11.57,11.62,11.5,3062
11,2014-10-01,11.51,11.43,11.54,11.4,12330
12,2014-10-02,11.58,11.26,11.58,11.26,9393
13,2014-10-03,11.36,11.55,11.6,11.36,54024
14,2014-10-06,11.61,11.54,11.61,11.53,8550
15,2014-10-07,11.45,11.37,11.45,11.18,20840
16,2014-10-08,11.3,11.25,11.31,11.21,7433
17,2014-10-09,11.37,11.34,11.39,11.34,21649
18,2014-10-10,11.22,11.19,11.29,11.19,12443
19,2014-10-13,11.05,11.05,11.08,11.0,7831
20,2014-10-14,10.91,11.26,11.26,10.88,10894
21,2014-10-15,10.97,10.66,10.97,10.65,18468
22,2014-10-16,10.73,10.73,10.73,10.54,6392
23,2014-10-17,10.77,10.95,10.95,10.76,54323
24,2014-10-20,10.96,10.91,10.96,10.85,2922
25,2014-10-21,10.89,11.18,11.18,10.89,57803
26,2014-10-22,11.24,11.34,11.35,11.24,5299
27,2014-10-23,11.29,11.39,11.39,11.29,1743
28,2014-10-24,11.33,11.38,11.38,11.33,1277
29,2014-10-27,11.45,11.35,11.45,11.33,3923
30,2014-10-28,11.41,11.41,11.46,11.41,1753
31,2014-10-29,11.47,11.45,11.48,11.45,4500
32,2014-10-30,11.64,11.6,11.65,11.53,7769
33,2014-10-31,11.8,11.84,12.01,11.8,7062
34,2014-11-03,11.87,11.9,11.92,11.87,1147
35,2014-11-04,11.86,11.76,11.87,11.76,1018
36,2014-11-05,11.76,11.91,11.93,11.76,1900
37,2014-11-06,11.89,12.02,12.02,11.89,1272
38,2014-11-07,12.34,12.08,12.34,11.9,9038
39,2014-11-10,11.97,12.07,12.07,11.95,5207
40,2014-11-11,12.11,12.07,12.12,12.07,1237
41,2014-11-12,12.02,12.04,12.06,12.01,2102
42,2014-11-13,12.09,12.04,12.1,12.04,2098
43,2014-11-14,12.09,12.04,12.11,12.04,1580
44,2014-11-17,12.18,12.04,12.18,11.99,4636
45,2014-11-18,12.05,12.05,12.06,12.03,589
46,2014-11-19,12.05,12.02,12.06,12.0,1666
47,2014-11-20,12.02,12.09,12.09,11.91,4291
48,2014-11-21,12.1,12.29,12.29,12.1,365
49,2014-11-24,12.34,12.25,12.34,12.25,5190
50,2014-11-25,12.51,12.22,12.51,12.22,4302
51,2014-11-26,12.49,12.2,12.49,12.2,1492
52,2014-11-27,12.23,12.26,12.26,12.23,2975
53,2014-11-28,12.29,12.3,12.3,12.22,1600
54,2014-12-01,12.44,12.14,12.44,12.14,3996
55,2014-12-02,12.18,12.28,12.28,12.18,747
56,2014-12-03,12.33,12.41,12.63,12.33,1498
57,2014-12-04,12.43,12.23,12.45,12.23,117592
58,2014-12-05,12.35,12.45,12.45,12.35,2917
59,2014-12-08,12.47,12.44,12.47,12.43,1035
60,2014-12-09,12.3,12.15,12.3,11.91,6468
61,2014-12-10,12.27,12.14,12.27,12.14,96
62,2014-12-11,12.03,12.23,12.24,12.03,7076
63,2014-12-12,12.07,11.93,12.07,11.93,1885
64,2014-12-15,11.93,11.8,12.0,11.8,4340
65,2014-12-16,11.83,11.91,11.91,11.58,14917
66,2014-12-17,11.72,11.82,11.82,11.72,21289
67,2014-12-18,12.13,12.25,12.3,12.13,5594
68,2014-12-19,12.47,12.48,12.48,12.44,5724
69,2014-12-22,12.5,12.5,12.52,12.5,1862
70,2014-12-23,12.52,12.63,12.65,12.52,5761
71,2014-12-24,12.64,12.62,12.64,12.6,5527
72,2014-12-29,12.67,12.69,12.69,12.63,1129
73,2014-12-30,12.63,12.62,12.69,12.62,8956
74,2014-12-31,12.9,12.68,12.9,12.66,2014
75,2015-01-02,12.68,12.62,12.72,12.62,917
76,2015-01-05,12.65,12.55,12.7,12.55,1320
77,2015-01-06,12.54,12.43,12.58,12.43,1476
78,2015-01-07,12.48,12.62,12.64,12.48,2971
79,2015-01-08,12.75,12.9,12.9,12.75,3799
80,2015-01-09,12.89,12.77,12.9,12.77,875
81,2015-01-12,12.75,12.71,12.86,12.7,2660
82,2015-01-13,12.66,12.85,12.85,12.66,1455
83,2015-01-14,12.65,12.52,12.7,12.5,5008
84,2015-01-15,12.73,12.78,12.82,12.6,6164
85,2015-01-16,12.65,12.84,12.84,12.65,80
86,2015-01-19,12.88,12.83,12.88,12.81,1611
87,2015-01-20,12.93,12.85,12.93,12.83,840
88,2015-01-21,12.96,12.84,12.97,12.84,725
89,2015-01-22,13.0,13.24,13.24,12.98,4469
90,2015-01-23,13.42,13.5,13.7,13.42,5086
91,2015-01-26,13.47,13.43,13.48,13.36,10567
92,2015-01-27,13.52,13.2,13.54,13.1,6473
93,2015-01-28,13.36,13.23,13.36,13.23,1713
94,2015-01-29,13.13,13.07,13.13,12.96,4159
95,2015-01-30,13.18,13.13,13.18,13.11,1308
96,2015-02-02,13.07,13.09,13.09,12.9,17874
97,2015-02-03,13.19,13.09,13.21,13.09,1252
98,2015-02-04,13.19,13.28,13.28,13.19,705
99,2015-02-05,13.21,13.33,13.33,13.21,8817
100,2015-02-06,13.32,13.51,13.51,13.29,27147
101,2015-02-09,13.36,13.4,13.42,13.34,5989
102,2015-02-10,13.38,13.44,13.49,13.37,2765
103,2015-02-11,13.48,13.53,13.53,13.48,0
104,2015-02-12,13.52,13.51,13.59,13.49,5370
105,2015-02-13,13.53,13.57,13.6,13.53,2495
106,2015-02-16,13.53,13.62,13.62,13.53,2730
107,2015-02-17,13.62,13.61,13.62,13.56,1372
108,2015-02-18,13.65,13.66,13.66,13.65,148
109,2015-02-19,13.57,13.65,13.65,13.57,305
110,2015-02-20,13.69,13.65,13.71,13.65,317
111,2015-02-23,13.75,13.76,13.79,13.74,1295
112,2015-02-24,13.8,13.82,13.82,13.78,3671
113,2015-02-25,13.79,13.79,13.79,13.77,926
114,2015-02-26,13.78,13.96,13.96,13.78,2169
115,2015-02-27,13.94,13.94,13.94,13.89,4430
116,2015-03-02,13.95,14.0,14.0,13.92,1692
117,2015-03-03,14.0,13.89,14.03,13.89,1476
118,2015-03-04,13.97,14.04,14.04,13.96,30971
119,2015-03-05,14.06,14.12,14.14,14.06,3047
120,2015-03-06,14.14,14.2,14.29,14.14,8705
121,2015-03-09,14.11,14.18,14.19,14.06,2499
122,2015-03-10,14.24,14.17,14.26,14.17,4223
123,2015-03-11,14.22,14.33,14.39,14.12,4419
124,2015-03-12,14.25,14.39,14.39,14.25,499
125,2015-03-13,14.44,14.43,14.5,14.43,856
126,2015-03-16,14.45,14.5,14.55,14.45,9550
127,2015-03-17,14.52,14.48,14.55,14.42,20193
128,2015-03-18,14.5,14.4,14.5,14.4,875
129,2015-03-19,14.59,14.55,14.64,14.54,12003
130,2015-03-20,14.55,14.43,14.55,14.43,809
131,2015-03-23,14.46,14.31,14.48,14.3,8003
132,2015-03-24,14.22,14.28,14.32,14.18,2362
133,2015-03-25,14.18,13.99,14.21,13.99,11818
134,2015-03-26,13.79,13.98,13.98,13.72,10080
135,2015-03-27,14.15,13.98,14.15,13.97,8407
136,2015-03-30,14.14,14.27,14.27,14.14,4433
137,2015-03-31,14.3,14.35,14.38,14.3,1504
138,2015-04-01,14.15,14.16,14.26,14.15,27600
139,2015-04-02,14.09,14.12,14.12,14.06,281
140,2015-04-07,14.12,14.28,14.28,14.12,3104
141,2015-04-08,14.21,14.29,14.29,14.16,21490
142,2015-04-09,14.31,14.44,14.65,14.31,14335
143,2015-04-10,14.58,14.7,14.7,14.58,1941
144,2015-04-13,14.7,14.76,14.79,14.7,30166
145,2015-04-14,14.78,14.56,14.78,14.55,2777
146,2015-04-15,14.6,14.71,14.76,14.6,1328
147,2015-04-16,14.65,14.6,14.69,14.49,2549
148,2015-04-17,14.51,14.34,14.51,14.29,4412
149,2015-04-20,14.39,14.52,14.73,14.39,3458
150,2015-04-21,14.65,14.48,14.67,14.48,243
151,2015-04-22,14.49,14.55,14.57,14.39,14310
152,2015-04-23,14.6,14.49,14.62,14.49,4621
153,2015-04-24,14.41,14.47,14.49,14.41,1720
154,2015-04-27,14.53,14.45,14.56,14.45,2539
155,2015-04-28,14.4,14.29,14.47,14.29,2126
156,2015-04-29,14.32,14.08,14.32,13.74,4035
157,2015-04-30,14.08,13.94,14.08,13.92,3517
158,2015-05-04,13.7,14.09,14.11,13.7,1361
159,2015-05-05,14.05,13.89,14.2,13.89,6980
160,2015-05-06,13.83,13.66,13.85,13.61,12775
161,2015-05-07,13.58,13.75,13.75,13.49,4006
162,2015-05-08,13.87,14.0,14.0,13.83,1155
163,2015-05-11,14.04,14.07,14.11,14.04,1467
164,2015-05-12,13.96,13.88,13.96,13.76,427
165,2015-05-13,13.89,13.74,13.92,13.74,4209
166,2015-05-14,13.69,13.83,13.83,13.63,2885
167,2015-05-15,13.83,13.77,13.88,13.77,146
168,2015-05-18,13.78,13.93,13.93,13.78,2249
169,2015-05-19,14.12,14.21,14.25,14.12,9848
170,2015-05-20,14.29,14.25,14.29,14.2,1642
171,2015-05-21,14.21,14.25,14.27,14.21,39
172,2015-05-22,14.2,14.34,14.38,14.16,3876
173,2015-05-26,14.47,14.4,14.53,14.39,8518
174,2015-05-27,14.37,14.47,14.47,14.33,1000
175,2015-05-28,14.41,14.45,14.46,14.41,3809
176,2015-05-29,14.43,14.28,14.43,14.28,1525
177,2015-06-01,14.36,14.38,14.41,14.32,1658
178,2015-06-02,14.34,14.23,14.34,14.21,1544
179,2015-06-03,14.12,13.99,14.21,13.98,1762
180,2015-06-04,14.26,13.88,14.26,13.77,7530
181,2015-06-05,13.87,14.01,14.01,13.87,1030
182,2015-06-08,13.96,13.84,14.02,13.84,5191
183,2015-06-09,13.73,13.75,13.78,13.66,5505
184,2015-06-10,13.72,13.85,13.85,13.72,310
185,2015-06-11,13.88,13.97,13.97,13.88,540
186,2015-06-12,13.95,13.85,14.03,13.71,1823
187,2015-06-15,13.85,13.78,13.85,13.76,648
188,2015-06-16,13.66,13.85,13.85,13.66,1890
189,2015-06-17,13.88,13.89,13.89,13.88,73
190,2015-06-18,13.76,13.85,13.85,13.7,1278
191,2015-06-19,13.96,13.92,13.99,13.92,10
192,2015-06-22,13.89,13.92,14.0,13.89,1561
193,2015-06-23,14.06,14.13,14.18,14.06,794
194,2015-06-24,14.11,14.12,14.13,14.1,2275
195,2015-06-25,14.05,14.06,14.06,14.05,0
196,2015-06-26,13.98,14.05,14.05,13.98,286
197,2015-06-29,13.97,13.84,13.97,13.84,18557
198,2015-06-30,13.78,13.77,13.79,13.75,1317
199,2015-07-01,13.85,13.97,13.97,13.85,353
200,2015-07-02,14.0,13.94,14.01,13.94,46
201,2015-07-03,13.95,13.92,13.97,13.91,1332
202,2015-07-06,13.89,13.94,13.95,13.88,9041
203,2015-07-07,14.08,13.91,14.14,13.91,194
204,2015-07-08,13.94,13.86,13.94,13.86,2542
205,2015-07-09,13.85,13.95,13.95,13.85,200
206,2015-07-10,13.91,13.88,13.91,13.81,1052
207,2015-07-13,13.9,14.18,14.18,13.9,8935
208,2015-07-14,14.25,14.26,14.26,14.21,66
209,2015-07-15,14.26,14.37,14.39,14.26,6830
210,2015-07-16,14.43,14.52,14.52,14.43,2425
211,2015-07-17,14.55,14.58,14.58,14.54,10
212,2015-07-20,14.9,14.62,14.9,14.62,1060
