,date,open,close,high,low,volumme
0,2020-01-23,21.715,21.791,21.8,21.715,725
1,2020-01-24,21.954,21.989,22.055,21.954,390
2,2020-01-27,21.437,21.292,21.437,21.292,50
3,2020-01-28,21.379,21.567,21.567,21.379,0
4,2020-01-29,21.531,21.564,21.564,21.531,39
5,2020-01-30,21.155,21.207,21.207,21.155,400
6,2020-01-31,21.308,20.835,21.308,20.835,0
7,2020-02-03,20.944,21.025,21.025,20.944,0
8,2020-02-04,21.359,21.67,21.67,21.359,48
9,2020-02-05,21.67,21.73,21.73,21.67,0
10,2020-02-06,22.55,21.922,22.55,21.82,136
11,2020-02-07,21.886,21.875,21.886,21.875,0
12,2020-02-10,21.868,21.907,21.907,21.868,20
13,2020-02-11,22.098,22.2,22.2,22.098,0
14,2020-02-12,22.276,22.412,22.412,22.276,0
15,2020-02-13,22.496,22.632,22.632,22.496,0
16,2020-02-14,22.673,22.647,22.673,22.647,0
17,2020-02-17,22.688,22.65,22.688,22.65,0
18,2020-02-18,22.612,22.479,22.612,22.479,0
19,2020-02-19,22.73,22.897,22.897,22.73,340
20,2020-02-20,22.83,22.375,22.83,22.375,0
21,2020-02-21,22.477,22.305,22.477,22.305,145
22,2020-02-24,22.305,21.325,22.305,21.325,8536
23,2020-02-25,21.645,21.037,21.645,21.037,44
24,2020-02-26,20.6,21.0,21.17,20.6,450
25,2020-02-27,20.079,20.079,20.079,20.079,0
26,2020-02-28,19.338,19.515,19.515,19.304,4175
27,2020-03-02,20.229,19.562,20.229,19.562,200
28,2020-03-03,19.736,19.736,19.736,19.736,0
29,2020-03-04,19.686,19.786,19.786,19.686,0
30,2020-03-05,19.907,19.718,19.907,19.718,0
31,2020-03-06,18.75,18.745,18.786,18.682,1101
32,2020-03-09,17.323,17.323,17.323,17.323,0
33,2020-03-11,17.444,17.218,17.444,17.218,20
34,2020-03-12,15.913,15.64,15.913,15.64,39
35,2020-03-13,15.842,15.822,16.522,15.822,660
36,2020-03-16,14.922,15.271,15.271,14.9,54
37,2020-03-17,15.5,15.5,15.5,15.491,5000
38,2020-03-18,14.788,14.788,14.788,14.788,0
39,2020-03-20,15.763,15.763,15.763,15.763,0
40,2020-03-23,15.182,14.969,15.182,14.969,100
41,2020-03-24,16.329,16.329,16.329,16.329,100
42,2020-03-25,16.658,16.807,16.807,16.658,480
43,2020-03-26,16.624,16.95,17.0,16.624,267
44,2020-03-27,16.468,16.415,16.468,16.415,490
45,2020-03-30,16.234,16.693,16.693,16.16,214
46,2020-03-31,16.791,17.005,17.005,16.791,0
47,2020-04-01,16.278,16.278,16.278,16.278,0
48,2020-04-02,16.198,16.183,16.198,16.01,250
49,2020-04-03,15.955,15.955,15.955,15.955,0
50,2020-04-06,16.486,16.718,16.718,16.486,0
51,2020-04-07,17.262,17.262,17.262,17.262,0
52,2020-04-08,17.044,17.448,17.448,17.044,0
53,2020-04-09,17.767,17.767,17.767,17.767,0
54,2020-04-14,17.78,18.235,18.255,17.67,405
55,2020-04-15,18.343,18.022,18.343,18.022,14
56,2020-04-16,18.471,18.492,18.492,18.471,206
57,2020-04-17,19.052,18.633,19.052,18.633,25
58,2020-04-20,18.739,18.904,18.904,18.659,310
59,2020-04-21,18.62,17.987,18.62,17.987,100
60,2020-04-22,18.486,18.615,18.615,18.486,150
61,2020-04-23,18.95,18.848,18.95,18.848,200
62,2020-04-24,18.584,18.595,18.71,18.584,580
63,2020-04-27,19.0,19.202,19.202,19.0,16
64,2020-04-28,19.278,19.269,19.518,19.269,76
65,2020-04-29,19.578,19.972,19.972,19.5,80
66,2020-04-30,20.264,19.804,20.264,19.804,53
67,2020-05-04,19.015,19.015,19.015,19.015,0
68,2020-05-05,19.448,19.795,19.795,19.448,210
69,2020-05-06,19.851,19.88,19.88,19.851,0
70,2020-05-07,19.981,20.49,20.49,19.981,6700
71,2020-05-08,20.684,20.655,20.74,20.55,586
72,2020-05-11,21.023,20.875,21.023,20.815,181
73,2020-05-12,20.759,20.815,20.815,20.759,0
74,2020-05-13,20.543,20.287,20.543,20.287,135
75,2020-05-14,19.854,19.854,19.854,19.854,0
76,2020-05-15,20.329,20.166,20.329,20.0,160
77,2020-05-18,20.535,20.957,20.957,20.535,0
78,2020-05-19,21.1,21.072,21.1,20.82,237
79,2020-05-20,21.006,21.401,21.401,21.006,476
80,2020-05-21,21.182,21.168,21.182,21.168,0
81,2020-05-22,21.0,21.392,21.452,21.0,1087
82,2020-05-25,21.828,21.885,21.95,21.828,451
83,2020-05-26,22.1,21.758,22.138,21.758,308
84,2020-05-27,21.902,21.395,22.135,21.395,207
85,2020-05-28,21.93,21.834,21.93,21.76,825
86,2020-05-29,21.44,21.44,21.44,21.44,0
87,2020-06-01,21.93,22.072,22.115,21.93,195
88,2020-06-02,22.37,22.07,22.37,22.07,128
89,2020-06-03,22.305,22.55,22.57,22.305,252
90,2020-06-04,22.637,22.185,22.637,22.185,172
91,2020-06-05,22.161,22.687,22.687,22.161,44
92,2020-06-08,22.774,22.622,22.797,22.622,355
93,2020-06-09,22.78,22.445,22.78,22.445,1005
94,2020-06-10,22.651,22.4,22.651,22.4,212
95,2020-06-11,22.312,21.761,22.312,21.7,159
96,2020-06-12,21.52,21.667,21.834,21.52,399
97,2020-06-15,21.327,21.627,21.627,21.327,75
98,2020-06-16,22.455,22.422,22.72,22.117,10294
99,2020-06-17,22.58,22.658,22.73,22.545,1343
100,2020-06-18,22.54,22.677,22.677,22.43,270
101,2020-06-19,22.8,22.927,22.94,22.8,275
102,2020-06-22,22.589,22.58,22.589,22.58,20
103,2020-06-23,22.925,22.925,22.925,22.925,0
104,2020-06-24,23.003,22.369,23.003,22.369,1069
105,2020-06-25,22.325,22.385,22.385,22.3,265
106,2020-06-26,22.777,22.485,22.777,22.485,424
107,2020-06-29,22.415,22.404,22.415,22.32,1318
108,2020-06-30,22.608,22.76,22.79,22.608,46
109,2020-07-01,22.905,22.972,22.972,22.905,50
110,2020-07-02,23.54,23.462,23.54,23.415,141
111,2020-07-03,23.47,23.335,23.47,23.335,280
112,2020-07-06,23.84,23.938,23.945,23.83,690
113,2020-07-07,23.945,23.922,23.945,23.62,65
114,2020-07-08,23.94,23.81,23.94,23.81,10
115,2020-07-09,23.896,23.915,24.155,23.896,1125
116,2020-07-10,24.218,24.047,24.218,24.047,432
117,2020-07-13,24.335,24.267,24.442,24.267,178
118,2020-07-14,23.65,23.26,23.65,23.26,6638
119,2020-07-15,23.57,23.573,23.74,23.57,60
120,2020-07-16,23.6,23.217,23.6,23.217,515
121,2020-07-17,23.394,23.387,23.485,23.387,120
122,2020-07-20,23.49,23.917,23.965,23.36,353
123,2020-07-21,24.258,24.104,24.47,24.104,603
124,2020-07-22,23.887,23.855,23.887,23.7,403
125,2020-07-23,23.877,23.955,23.955,23.877,8
126,2020-07-24,23.294,23.192,23.294,23.192,350
127,2020-07-27,23.207,23.077,23.207,23.077,10
128,2020-07-28,23.096,23.266,23.266,23.096,500
129,2020-07-29,23.265,23.409,23.445,23.198,30
130,2020-07-30,23.349,23.25,23.349,22.985,231
131,2020-07-31,23.2,23.182,23.35,23.0,539
132,2020-08-03,23.465,23.799,23.799,23.465,244
133,2020-08-04,24.065,23.75,24.065,23.75,45
134,2020-08-05,23.885,23.91,23.965,23.8,257
135,2020-08-06,24.068,23.867,24.09,23.867,738
136,2020-08-07,23.907,23.871,23.978,23.691,4463
137,2020-08-10,23.863,23.575,23.863,23.55,656
138,2020-08-11,23.595,23.71,23.835,23.595,177
139,2020-08-12,23.815,23.763,23.815,23.575,316
140,2020-08-13,23.695,23.907,23.907,23.695,6
141,2020-08-14,24.119,23.772,24.119,23.772,106
142,2020-08-17,23.897,23.879,23.98,23.87,138
143,2020-08-18,23.8,23.816,23.88,23.8,57
144,2020-08-19,23.799,23.887,23.925,23.799,223
145,2020-08-20,23.684,23.803,23.88,23.684,50
146,2020-08-21,23.871,23.97,24.07,23.871,205
147,2020-08-24,24.115,24.127,24.275,24.115,745
148,2020-08-25,24.12,24.27,24.27,24.12,30
149,2020-08-26,24.404,24.855,24.855,24.404,35
150,2020-08-27,25.061,24.833,25.061,24.725,319
151,2020-08-28,24.7,24.683,24.775,24.683,336
152,2020-08-31,25.019,24.615,25.019,24.615,250
153,2020-09-01,24.52,25.037,25.037,24.52,295
154,2020-09-02,25.44,25.63,25.785,25.395,201
155,2020-09-03,26.0,24.483,26.0,24.483,1571
156,2020-09-04,24.293,23.685,24.325,23.615,556
157,2020-09-07,23.796,23.985,24.02,23.775,204
158,2020-09-08,23.983,23.622,23.983,23.622,21
159,2020-09-09,23.505,23.72,23.75,23.505,1433
160,2020-09-10,23.53,23.768,23.865,23.53,7420
161,2020-09-11,23.77,23.495,23.77,23.495,8
162,2020-09-14,23.8,23.667,23.8,23.667,29
163,2020-09-15,24.005,24.002,24.005,24.002,10
164,2020-09-16,24.063,24.165,24.24,24.063,857
165,2020-09-17,24.05,23.681,24.05,23.63,640
166,2020-09-18,23.745,23.514,23.885,23.514,562
167,2020-09-21,23.31,23.277,23.405,23.19,603
168,2020-09-22,23.75,23.595,23.75,23.595,463
169,2020-09-23,23.987,23.878,24.075,23.878,425
170,2020-09-24,23.5,23.454,23.5,23.135,559
171,2020-09-25,23.656,23.656,23.656,23.656,0
172,2020-09-28,23.974,24.165,24.34,23.974,282
173,2020-09-29,24.25,24.14,24.25,24.03,330
174,2020-09-30,24.3,24.37,24.37,24.3,19
175,2020-10-01,24.59,24.537,24.59,24.537,60
176,2020-10-02,24.416,24.416,24.416,24.416,0
