,date,open,close,high,low,volumme
0,2014-09-22,118.69,118.21,118.69,118.13,83
1,2014-09-23,117.47,117.68,117.81,117.0,333
2,2014-09-24,116.9,118.17,118.17,116.9,70
3,2014-09-25,118.87,117.06,118.87,116.56,67
4,2014-09-26,117.08,117.8,117.92,117.08,3249
5,2014-09-29,117.84,118.09,118.16,117.84,231
6,2014-09-30,118.47,118.73,119.37,118.47,421
7,2014-10-01,117.14,116.68,117.14,115.93,663
8,2014-10-02,115.64,114.83,115.64,114.83,51
9,2014-10-03,116.81,119.01,119.01,116.75,236
10,2014-10-06,118.87,117.25,118.87,117.25,331
11,2014-10-07,115.94,115.53,115.95,115.53,98
12,2014-10-08,114.48,113.43,114.48,113.43,177
13,2014-10-09,115.4,115.12,116.31,114.46,291
14,2014-10-10,112.86,112.89,113.19,112.73,269
15,2014-10-13,111.15,112.06,112.06,111.06,30661
16,2014-10-14,111.47,113.25,113.29,111.47,258
17,2014-10-15,113.14,110.83,113.14,110.71,665
18,2014-10-16,112.58,113.44,113.44,110.34,333
19,2014-10-17,114.3,114.91,115.27,114.11,541
20,2014-10-20,114.02,114.5,115.04,114.02,195
21,2014-10-21,114.33,117.16,117.16,114.33,172
22,2014-10-22,117.49,118.45,118.45,117.49,83
23,2014-10-23,116.7,119.01,119.01,116.69,208
24,2014-10-24,118.09,118.02,118.33,117.85,147
25,2014-10-27,118.66,117.56,118.66,117.56,48
26,2014-10-28,118.8,119.9,119.9,118.8,315
27,2014-10-29,121.24,120.17,121.41,120.17,253
28,2014-10-30,122.66,122.42,122.66,121.23,26
29,2014-10-31,124.74,125.19,126.16,124.74,478
30,2014-11-03,125.82,126.32,126.32,125.82,43
31,2014-11-04,123.87,124.54,124.54,123.87,111
32,2014-11-05,125.4,125.7,126.3,125.4,476
33,2014-11-06,125.23,126.44,126.52,125.08,192
34,2014-11-07,127.59,126.75,127.59,124.82,758
35,2014-11-10,126.27,127.25,127.25,126.27,20
36,2014-11-11,127.87,127.32,127.87,127.32,73
37,2014-11-12,126.76,127.21,127.21,126.26,2581
38,2014-11-13,128.37,126.99,128.37,126.99,95
39,2014-11-14,126.91,126.39,127.95,126.39,497
40,2014-11-17,125.55,125.6,126.67,125.55,1230
41,2014-11-18,125.52,125.49,125.52,125.35,108
42,2014-11-19,124.92,123.7,124.99,123.7,69
43,2014-11-20,124.06,125.05,125.05,124.06,33
44,2014-11-21,125.83,127.79,128.67,125.83,1854
45,2014-11-24,126.91,127.54,127.54,126.91,58
46,2014-11-25,128.6,127.64,128.6,127.64,1997
47,2014-11-26,127.97,127.58,128.32,125.85,344
48,2014-11-27,125.8,128.6,128.6,125.8,791
