,date,open,close,high,low,volumme
0,2020-02-25,48.26,48.26,48.26,48.26,0
1,2020-02-26,47.09,47.09,47.09,47.09,0
2,2020-02-27,45.95,45.25,45.95,45.25,0
3,2020-02-28,43.6,43.6,43.6,43.6,0
4,2020-03-03,45.65,45.65,45.65,45.65,0
5,2020-03-05,45.74,45.58,45.74,45.58,0
6,2020-03-06,44.36,44.36,44.36,44.36,0
7,2020-04-06,38.31,38.31,38.31,38.31,0
8,2020-04-07,39.7,39.97,39.97,39.7,0
9,2020-04-08,39.94,39.94,39.94,39.94,0
10,2020-04-09,40.96,40.96,40.96,40.96,0
11,2020-04-14,41.38,41.38,41.38,41.38,0
12,2020-04-15,41.59,40.71,41.59,40.71,0
13,2020-04-16,41.01,41.01,41.01,41.01,0
14,2020-04-17,42.11,41.62,42.11,41.62,0
15,2020-04-20,41.93,41.93,41.93,41.93,0
16,2020-04-21,41.28,40.02,41.28,40.02,0
17,2020-04-22,40.51,40.95,40.95,40.51,0
18,2020-04-23,41.13,41.52,41.52,41.13,0
19,2020-04-24,40.98,40.98,40.98,40.98,0
20,2020-04-27,41.81,42.15,42.15,41.81,0
21,2020-04-28,42.11,42.26,42.26,42.11,0
22,2020-04-29,42.51,43.12,43.12,42.51,0
23,2020-04-30,43.35,42.58,43.35,42.58,0
24,2020-05-04,41.25,41.25,41.25,41.25,0
25,2020-05-05,41.87,42.29,42.29,41.87,0
26,2020-05-06,42.31,42.0,42.31,42.0,0
27,2020-05-07,41.96,41.96,41.96,41.96,0
28,2020-05-08,42.77,42.8,42.8,42.77,0
29,2020-05-11,43.11,42.85,43.11,42.85,0
30,2020-05-12,42.72,43.03,43.03,42.72,0
31,2020-05-13,41.51,41.51,41.51,41.51,0
32,2020-05-14,41.23,41.07,41.23,41.07,0
33,2020-05-15,41.96,41.65,41.96,41.65,0
34,2020-05-18,42.42,43.21,43.21,42.42,0
35,2020-05-19,43.55,43.55,43.55,43.55,0
36,2020-05-20,43.14,43.67,43.67,43.14,0
37,2020-05-21,43.26,43.24,43.26,43.24,0
38,2020-05-22,42.86,43.01,43.01,42.86,0
39,2020-05-25,43.89,43.89,43.89,43.89,0
40,2020-05-26,44.19,43.98,44.19,43.98,0
41,2020-05-27,44.23,43.98,44.23,43.98,0
42,2020-05-28,44.65,44.71,44.71,44.65,0
43,2020-05-29,44.4,44.18,44.4,44.18,0
44,2020-06-01,44.69,44.69,44.69,44.69,0
45,2020-06-02,44.74,44.87,45.04,44.74,5376
46,2020-06-03,45.32,45.73,45.73,45.32,0
47,2020-06-04,45.58,45.69,45.69,45.58,10000
48,2020-06-05,45.97,45.97,45.97,45.97,10000
49,2020-06-08,46.72,47.32,47.32,46.72,0
50,2020-06-09,47.29,47.27,47.29,47.27,0
51,2020-06-10,47.2,47.2,47.2,47.2,0
52,2020-06-12,44.57,44.57,44.57,44.57,0
53,2020-06-15,43.37,44.19,44.19,43.37,0
54,2020-06-16,45.52,45.52,45.52,45.52,0
55,2020-06-17,45.77,45.77,45.77,45.77,0
56,2020-06-18,45.65,45.65,45.65,45.65,0
57,2020-06-19,46.03,46.03,46.03,46.03,0
58,2020-06-23,45.82,46.16,46.16,45.82,0
59,2020-06-24,45.89,44.89,45.89,44.89,0
60,2020-06-25,44.53,44.53,44.53,44.53,0
61,2020-06-26,45.12,44.46,45.12,44.46,0
62,2020-06-29,44.27,44.56,44.56,44.27,0
63,2020-06-30,44.95,44.95,44.95,44.95,0
64,2020-07-01,45.53,45.53,45.53,45.53,0
65,2020-07-02,45.8,46.08,46.08,45.8,0
66,2020-07-03,46.1,45.79,46.1,45.79,0
67,2020-07-06,46.6,46.6,46.6,46.6,0
68,2020-07-07,46.42,46.58,46.58,46.42,0
69,2020-07-08,46.12,46.12,46.12,46.12,0
70,2020-07-09,46.48,45.87,46.48,45.87,0
71,2020-07-10,45.86,45.86,45.86,45.86,0
72,2020-07-13,46.86,47.33,47.33,46.86,0
73,2020-07-14,46.41,46.41,46.41,46.41,0
74,2020-07-15,47.4,47.4,47.4,47.4,0
75,2020-07-16,47.06,47.14,47.14,47.06,0
76,2020-07-17,47.0,47.08,47.08,47.0,0
77,2020-07-20,46.96,47.44,47.44,46.96,0
78,2020-07-21,47.98,47.98,47.98,47.98,0
79,2020-07-22,47.94,47.94,47.94,47.94,0
80,2020-07-23,48.03,48.03,48.03,48.03,0
81,2020-07-27,47.16,47.16,47.16,47.16,0
82,2020-07-28,47.5,47.5,47.5,47.5,0
83,2020-07-29,47.62,47.62,47.62,47.62,0
84,2020-07-30,47.36,47.36,47.36,47.36,0
85,2020-07-31,47.4,47.4,47.4,47.4,0
86,2020-08-03,48.44,48.44,48.44,48.44,0
87,2020-08-04,48.44,48.28,48.44,48.28,0
88,2020-08-05,48.65,48.67,48.67,48.65,0
89,2020-08-06,48.73,48.6,48.73,48.6,517
90,2020-08-07,49.06,49.06,49.06,49.06,0
91,2020-08-10,49.18,49.13,49.18,49.13,0
92,2020-08-11,49.39,49.49,49.49,49.39,0
93,2020-08-12,49.14,49.14,49.14,49.14,0
94,2020-08-13,49.56,49.56,49.56,49.56,0
95,2020-08-14,49.54,49.52,49.54,49.52,0
96,2020-08-17,49.54,49.59,49.59,49.54,0
97,2020-08-18,49.53,49.53,49.53,49.53,0
98,2020-08-19,49.73,49.73,49.73,49.73,0
99,2020-08-20,49.27,49.27,49.27,49.27,0
100,2020-08-21,49.7,49.65,49.7,49.65,0
101,2020-08-24,50.14,50.14,50.14,50.14,0
102,2020-08-25,50.22,50.22,50.22,50.22,0
103,2020-08-26,50.68,50.68,50.68,50.68,0
104,2020-08-28,51.19,51.19,51.19,51.19,0
105,2020-08-31,51.26,51.26,51.26,51.26,0
106,2020-09-01,52.04,51.44,52.04,52.04,0
107,2020-09-03,50.97,50.97,50.97,50.97,0
108,2020-09-04,50.87,50.87,50.87,50.87,1671
109,2020-09-07,50.37,50.37,50.37,50.37,0
110,2020-09-08,50.43,50.43,50.43,50.43,0
111,2020-09-09,49.87,49.87,49.87,49.87,0
112,2020-09-10,49.87,49.87,49.87,49.87,0
113,2020-09-11,49.35,49.35,49.35,49.35,0
114,2020-09-14,49.63,49.83,49.83,49.63,0
115,2020-09-15,49.75,50.08,50.08,49.75,0
116,2020-09-16,50.05,50.18,50.18,50.05,0
117,2020-09-17,48.84,49.3,49.3,48.84,0
118,2020-09-18,49.29,49.29,49.29,49.29,0
119,2020-09-21,48.46,47.33,48.46,47.33,1525
120,2020-09-22,48.04,47.98,48.04,47.98,0
121,2020-09-23,48.53,48.28,48.53,48.28,0
122,2020-09-24,47.29,47.52,47.52,47.29,0
123,2020-09-25,47.69,47.85,47.85,47.69,0
124,2020-09-28,48.65,49.12,49.12,48.65,0
125,2020-09-29,49.2,48.98,49.2,48.98,0
126,2020-09-30,48.7,48.7,48.7,48.7,0
127,2020-10-01,49.69,49.63,49.69,49.63,0
128,2020-10-02,48.9,49.15,49.15,48.9,0
129,2020-10-05,49.38,49.74,49.74,49.38,0
130,2020-10-06,49.86,49.9,49.9,49.86,0
131,2020-10-07,49.5,49.92,49.92,49.5,0
132,2020-10-08,50.43,50.43,50.43,50.43,0
133,2020-10-09,50.62,50.91,50.91,50.57,21908
134,2020-10-12,51.28,51.86,51.86,51.17,4531
135,2020-10-13,51.89,51.95,51.95,51.89,0
136,2020-10-14,51.92,51.6,51.92,51.6,0
137,2020-10-15,50.93,50.93,50.93,50.93,0
138,2020-10-16,51.22,51.45,51.45,51.22,0
139,2020-10-19,51.46,51.46,51.46,51.46,0
140,2020-10-20,50.59,50.53,50.59,50.53,0
141,2020-10-21,50.83,50.61,50.83,50.51,6490
142,2020-10-22,50.27,50.44,50.54,50.27,4040
143,2020-10-23,50.68,50.68,50.69,50.68,0
144,2020-10-26,50.28,49.76,50.36,49.76,1770
145,2020-10-27,50.08,49.96,50.18,49.93,8400
146,2020-10-28,49.56,48.53,49.56,48.53,8400
147,2020-10-29,48.63,48.55,48.63,48.03,14260
148,2020-10-30,47.88,47.94,48.52,47.88,12721
149,2020-11-02,48.11,48.57,48.73,48.11,1890
150,2020-11-03,48.83,49.71,49.71,48.83,18644
151,2020-11-04,49.44,51.07,51.07,49.44,610
152,2020-11-05,51.34,51.86,51.86,51.34,0
153,2020-11-06,51.59,51.59,51.59,51.59,0
154,2020-11-09,52.35,53.01,53.86,52.35,11094
155,2020-11-10,52.2,51.78,52.2,51.78,570
156,2020-11-11,51.99,52.34,52.34,51.99,0
157,2020-11-12,52.07,52.15,52.32,52.07,2010
158,2020-11-13,52.08,52.12,52.36,52.08,1740
159,2020-11-16,52.89,53.0,53.08,52.89,4975
160,2020-11-17,52.93,52.8,52.93,52.61,10263
161,2020-11-18,52.64,52.84,52.84,52.64,0
162,2020-11-19,52.21,52.08,52.21,51.9,13571
163,2020-11-20,52.17,52.3,52.35,52.17,3990
164,2020-11-23,52.21,51.87,52.37,51.87,7823
165,2020-11-24,52.62,52.91,52.91,52.45,2280
166,2020-11-25,53.16,52.95,53.16,52.95,1680
167,2020-11-26,53.07,53.02,53.07,52.97,560
168,2020-11-27,53.02,53.17,53.17,53.02,0
169,2020-11-30,52.83,52.6,52.83,52.6,0
170,2020-12-01,53.43,53.66,53.66,53.43,570
171,2020-12-02,53.41,53.58,53.58,53.34,616
172,2020-12-03,53.64,53.74,53.87,53.64,3003
