,date,open,close,high,low,volumme
0,2019-10-15,50.339,50.339,50.339,50.339,0
1,2019-10-16,50.298,50.331,50.331,50.298,0
2,2019-10-17,50.392,50.42,50.42,50.392,0
3,2019-10-18,50.396,50.155,50.396,50.155,0
4,2019-10-21,50.264,50.461,50.461,50.264,0
5,2019-10-22,50.469,50.492,50.492,50.469,0
6,2019-10-23,50.255,50.234,50.255,50.234,30
7,2019-10-24,50.256,50.452,50.452,50.256,0
8,2019-10-25,50.432,50.656,50.656,50.432,0
9,2019-10-28,50.893,50.893,50.893,50.893,0
10,2019-10-29,50.781,50.588,50.781,50.588,0
11,2019-10-30,50.405,50.338,50.405,50.338,0
12,2019-10-31,50.45,50.114,50.45,50.114,0
13,2019-11-01,50.465,50.987,50.987,50.465,0
14,2019-11-04,51.202,51.774,51.786,51.202,26385
15,2019-11-05,51.904,52.253,52.253,51.904,9240
16,2019-11-06,52.041,52.041,52.041,52.041,0
17,2019-11-07,52.421,52.421,52.421,52.421,0
18,2019-11-08,52.133,52.167,52.167,52.133,0
19,2019-11-11,51.864,51.864,51.864,51.807,72
20,2019-11-12,51.93,52.009,52.009,51.93,0
21,2019-11-13,51.876,51.757,51.876,51.757,0
22,2019-11-14,51.776,51.762,51.839,51.762,3
23,2019-11-15,51.828,51.849,51.849,51.828,0
24,2019-11-18,51.975,51.796,51.99,51.796,30
25,2019-11-19,51.95,51.821,51.95,51.821,0
26,2019-11-20,51.67,51.742,51.742,51.67,0
27,2019-11-21,51.477,51.577,51.577,51.477,0
28,2019-11-22,51.701,51.847,51.847,51.701,0
29,2019-11-25,52.208,52.549,52.549,52.208,0
30,2019-11-26,52.729,52.729,52.729,52.729,0
31,2019-11-27,52.869,52.869,52.869,52.869,0
32,2019-11-28,52.814,52.864,52.864,52.814,0
33,2019-11-29,52.721,52.634,52.721,52.634,0
34,2019-12-02,52.686,51.82,52.7,51.82,150
35,2019-12-03,52.029,51.607,52.029,51.605,2292
36,2019-12-04,51.74,52.057,52.057,51.74,0
