,date,open,close,high,low,volumme
0,2014-09-22,114.73,114.67,114.73,114.43,100
1,2014-09-23,114.64,113.79,114.64,113.73,770
2,2014-09-24,113.96,114.44,114.44,113.47,540
3,2014-09-25,113.93,113.72,114.01,113.72,4038
4,2014-09-26,113.44,113.78,114.67,113.42,6861
5,2014-09-29,113.75,113.64,113.75,112.99,773
6,2014-09-30,113.78,114.53,114.85,113.7,6459
7,2014-10-01,114.06,114.1,114.32,114.04,296
8,2014-10-02,113.68,112.15,113.68,112.15,0
9,2014-10-03,113.17,113.62,114.19,113.17,601
10,2014-10-06,114.15,113.85,114.37,113.85,2260
11,2014-10-07,113.23,112.94,113.23,112.75,794
12,2014-10-08,112.67,112.45,112.67,112.4,150
13,2014-10-09,113.16,112.66,113.39,112.66,1470
14,2014-10-10,111.28,110.96,111.3,110.82,2252
15,2014-10-13,110.41,111.13,111.13,110.41,2325
16,2014-10-14,110.51,110.91,110.91,110.04,1199
17,2014-10-15,111.21,109.03,111.4,108.65,1166
18,2014-10-16,109.71,109.54,109.71,107.97,1991
19,2014-10-17,109.47,111.04,111.04,109.47,1135
20,2014-10-20,111.12,111.21,111.25,110.19,3998
21,2014-10-21,109.64,112.99,112.99,109.64,780
22,2014-10-22,112.88,114.26,114.26,112.88,2100
23,2014-10-23,113.59,114.53,114.53,113.59,327
24,2014-10-24,113.76,114.09,114.24,113.68,1141
25,2014-10-27,114.61,113.78,114.61,113.74,1345
26,2014-10-28,114.34,114.38,114.5,114.34,300
27,2014-10-29,114.9,114.98,115.24,114.56,697
28,2014-10-30,115.74,116.02,116.02,115.5,750
29,2014-10-31,117.49,117.39,117.5,117.24,208
30,2014-11-03,117.41,117.07,117.41,117.07,0
31,2014-11-04,116.69,115.88,116.95,115.88,59
32,2014-11-05,116.56,117.49,117.69,116.52,885
33,2014-11-06,117.52,117.77,118.07,117.41,953
34,2014-11-07,118.17,118.14,118.39,118.14,1129
35,2014-11-10,117.97,118.66,118.66,117.97,0
36,2014-11-11,118.78,118.86,118.86,118.78,0
37,2014-11-12,120.6,118.08,120.6,118.08,60
38,2014-11-13,118.55,118.21,118.55,118.21,0
39,2014-11-14,118.3,117.87,118.3,117.87,548
40,2014-11-17,116.14,118.3,118.3,116.14,2494
41,2014-11-18,118.26,118.12,118.26,118.12,66
42,2014-11-19,117.56,117.35,117.69,117.31,749
43,2014-11-20,116.6,117.25,117.25,116.6,268
44,2014-11-21,117.25,118.53,118.53,117.25,5774
45,2014-11-24,118.44,117.73,118.51,117.73,3004
46,2014-11-25,117.57,116.98,117.66,116.98,4172
47,2014-11-26,117.62,117.47,117.62,117.43,2467
48,2014-11-27,117.37,116.95,117.54,116.95,100
49,2014-11-28,116.91,117.2,117.47,115.94,5762
50,2014-12-01,116.07,116.36,116.48,115.82,2606
51,2014-12-02,116.87,116.94,117.11,116.74,1057
52,2014-12-03,117.28,117.96,118.23,117.28,1060
53,2014-12-04,118.01,116.17,118.01,116.17,200
