,date,open,close,high,low,volumme
0,2014-09-22,87.5,87.56,87.89,87.37,77
1,2014-09-23,87.4,86.84,87.4,86.16,12
2,2014-09-24,86.91,87.59,87.59,86.91,0
3,2014-09-25,88.38,87.2,88.38,87.2,29
4,2014-09-26,86.96,87.28,87.28,86.96,0
5,2014-09-29,87.45,87.21,87.45,87.07,55
6,2014-09-30,87.25,87.4,87.43,87.25,350
7,2014-10-01,87.49,87.24,87.97,87.24,60
8,2014-10-02,86.75,85.84,86.75,85.84,449
9,2014-10-03,86.19,87.21,87.21,86.19,925
10,2014-10-06,87.22,87.12,87.55,87.04,116
11,2014-10-07,86.8,86.39,86.94,86.39,276
12,2014-10-08,85.9,85.32,85.9,85.32,91
13,2014-10-09,85.9,85.23,86.16,84.79,169
14,2014-10-10,84.58,84.33,84.58,84.33,0
15,2014-10-13,83.53,83.7,84.08,83.53,300
16,2014-10-14,83.24,83.56,83.56,83.24,0
17,2014-10-15,83.47,81.47,83.47,81.12,21
18,2014-10-16,81.82,81.32,81.82,80.85,125
19,2014-10-17,81.46,82.35,82.35,81.46,550
20,2014-10-20,82.86,82.91,83.01,82.48,89
21,2014-10-21,82.41,83.99,83.99,82.41,0
22,2014-10-22,84.32,84.98,84.98,84.32,0
23,2014-10-23,84.56,84.78,84.78,84.56,77
24,2014-10-24,84.44,85.31,85.31,84.44,0
25,2014-10-27,85.62,85.13,85.62,85.13,100
26,2014-10-28,85.73,86.42,86.42,85.73,0
27,2014-10-29,86.73,86.73,86.73,86.73,0
28,2014-10-30,87.69,87.52,87.8,87.17,113
29,2014-10-31,88.8,89.21,89.62,88.8,68
30,2014-11-03,89.23,89.26,89.26,89.09,4
31,2014-11-04,88.83,88.17,89.02,88.17,16
32,2014-11-05,88.56,89.02,89.02,88.56,0
33,2014-11-06,88.47,88.62,88.91,88.31,263
34,2014-11-07,88.9,88.68,89.18,88.18,1471
35,2014-11-10,88.42,89.11,89.11,88.3,398
36,2014-11-11,89.94,90.0,90.0,89.94,0
37,2014-11-12,89.72,89.8,89.8,89.72,0
38,2014-11-13,90.52,90.56,90.67,90.2,81
39,2014-11-14,90.82,90.72,90.82,90.56,133
40,2014-11-17,90.15,90.91,90.91,90.15,90
41,2014-11-18,91.42,90.79,91.42,90.69,2763
42,2014-11-19,90.54,90.22,90.92,90.22,908
43,2014-11-20,89.77,89.87,89.87,89.26,1358
44,2014-11-21,89.98,91.32,91.64,89.98,615
45,2014-11-24,91.11,90.59,91.22,90.59,498
46,2014-11-25,90.76,90.35,91.23,90.35,912
47,2014-11-26,90.91,91.05,91.05,90.91,0
48,2014-11-27,91.09,91.43,91.69,91.01,192
49,2014-11-28,91.76,91.76,91.76,91.76,0
50,2014-12-01,91.78,91.37,91.87,91.08,130
51,2014-12-02,91.44,91.47,91.47,91.44,0
52,2014-12-03,91.15,91.48,91.48,90.75,27
53,2014-12-04,91.04,89.88,91.62,89.88,127
54,2014-12-05,90.66,91.37,91.37,90.66,0
55,2014-12-08,91.34,91.39,91.63,91.11,144
56,2014-12-09,90.21,88.33,90.21,88.33,60
57,2014-12-10,89.0,87.83,89.01,87.83,50
58,2014-12-11,87.85,88.53,88.53,87.44,155
59,2014-12-12,87.83,86.1,87.83,86.1,0
60,2014-12-15,86.28,85.39,86.95,85.39,100
61,2014-12-16,86.07,86.33,86.33,84.54,191
62,2014-12-17,85.67,86.31,86.31,85.67,39
63,2014-12-18,87.88,88.85,89.1,87.88,154
64,2014-12-19,89.35,89.39,89.39,89.35,0
65,2014-12-22,89.4,89.72,90.08,89.4,374
66,2014-12-23,90.68,90.68,90.68,90.68,0
67,2014-12-29,90.09,90.2,90.2,90.09,28
68,2014-12-30,89.44,89.44,89.44,89.44,0
69,2015-01-02,90.01,89.73,90.01,89.31,153
70,2015-01-05,89.52,88.84,89.52,88.84,342
71,2015-01-06,88.78,88.08,89.19,88.08,132
72,2015-01-07,88.84,89.1,89.1,88.84,0
73,2015-01-08,90.0,90.22,90.7,90.0,342
74,2015-01-09,91.17,90.45,91.17,90.45,0
75,2015-01-12,90.39,90.94,91.42,90.39,382
76,2015-01-13,91.25,92.36,93.85,91.25,95
77,2015-01-14,91.56,91.21,91.65,91.21,352
78,2015-01-15,92.58,93.66,93.67,92.06,47
