,date,open,close,high,low,volumme
0,2016-10-12,96.01,96.01,96.01,96.01,0
1,2016-10-14,96.23,96.23,96.23,96.23,0
2,2016-10-17,96.25,96.25,96.25,96.25,0
3,2016-10-18,96.4,96.4,96.4,96.4,0
4,2016-10-19,96.46,96.71,96.71,96.46,0
5,2016-10-20,97.12,97.12,97.12,97.12,0
6,2016-10-21,97.81,97.81,97.81,97.81,0
7,2016-10-24,97.78,97.78,97.78,97.78,0
8,2016-10-25,97.86,97.75,97.86,97.75,0
9,2016-10-26,97.42,97.42,97.42,97.42,0
10,2016-10-27,97.53,97.38,97.53,97.38,0
11,2016-10-28,97.35,97.35,97.35,97.35,0
12,2016-11-01,95.55,95.55,95.55,95.55,0
13,2016-11-02,92.87,92.87,92.87,92.87,0
14,2016-11-03,94.66,94.8,94.8,94.66,0
15,2016-11-04,94.71,94.47,94.71,94.47,0
16,2016-11-07,95.25,95.25,95.25,95.25,0
17,2016-11-08,95.19,95.28,95.28,95.19,0
18,2016-11-09,95.56,95.56,95.56,95.56,0
19,2016-11-10,96.07,96.07,96.07,96.07,0
20,2016-11-11,96.24,96.24,96.24,96.24,0
21,2016-11-14,96.88,96.88,96.88,96.88,0
22,2016-11-15,96.64,96.64,96.64,96.64,0
23,2016-11-16,97.2,97.2,97.2,97.2,0
24,2016-11-17,97.45,97.45,97.45,97.45,0
25,2016-11-18,98.07,98.07,98.07,98.07,0
26,2016-11-21,97.69,97.81,97.81,97.69,1
27,2016-11-22,97.68,98.26,98.26,97.68,1589
28,2016-11-23,98.59,98.69,98.72,98.59,3440
29,2016-11-24,98.89,98.89,98.89,98.89,0
30,2016-11-25,98.64,98.64,98.64,98.64,0
31,2016-11-28,98.69,98.69,98.69,98.69,0
32,2016-11-29,98.72,98.81,98.81,98.72,791
33,2016-11-30,98.9,99.27,99.27,98.63,2405
34,2016-12-01,98.86,98.86,98.86,98.86,0
35,2016-12-02,98.37,98.37,98.37,98.37,0
36,2016-12-05,98.06,98.06,98.06,98.06,0
37,2016-12-06,98.19,98.21,98.21,98.19,799
38,2016-12-07,98.67,98.73,98.73,98.64,1591
39,2016-12-08,98.76,100.2,100.2,98.59,211
40,2016-12-09,100.99,100.99,100.99,100.99,0
41,2016-12-12,100.9,100.45,100.9,100.26,3547
42,2016-12-13,100.11,100.05,100.37,100.05,179
43,2016-12-14,100.17,100.17,100.17,100.17,0
44,2016-12-15,101.29,101.29,101.29,101.29,0
45,2016-12-29,101.81,101.81,101.81,101.81,0
46,2016-12-30,101.66,101.23,101.66,101.23,0
47,2017-01-02,102.1,102.34,102.34,102.1,839
