,date,open,close,high,low,volumme
0,2024-02-07,10.223,10.223,10.223,10.223,0
1,2024-02-08,10.239,10.239,10.239,10.239,0
2,2024-02-09,10.262,10.262,10.262,10.262,0
3,2024-02-12,10.299,10.299,10.299,10.299,0
4,2024-02-13,10.409,10.409,10.409,10.409,0
5,2024-02-14,10.278,10.278,10.278,10.278,0
6,2024-02-15,10.334,10.334,10.334,10.334,0
7,2024-02-16,10.372,10.372,10.372,10.372,0
8,2024-02-19,10.294,10.294,10.294,10.294,0
9,2024-02-20,10.292,10.292,10.292,10.292,0
10,2024-02-21,10.247,10.247,10.247,10.247,0
11,2024-02-22,10.267,10.267,10.267,10.267,0
12,2024-02-23,10.315,10.315,10.315,10.315,0
13,2024-02-26,10.333,10.333,10.333,10.333,0
14,2024-02-27,10.265,10.265,10.265,10.265,0
15,2024-02-28,10.332,10.332,10.332,10.332,0
16,2024-02-29,10.288,10.288,10.288,10.288,0
17,2024-03-01,10.39,10.39,10.39,10.39,0
18,2024-03-04,10.38,10.38,10.38,10.38,0
19,2024-03-05,10.415,10.415,10.415,10.415,0
20,2024-03-06,10.352,10.352,10.352,10.352,0
21,2024-03-07,10.347,10.347,10.347,10.347,0
22,2024-03-08,10.428,10.428,10.428,10.428,0
23,2024-03-11,10.382,10.382,10.382,10.382,0
24,2024-03-12,10.485,10.485,10.485,10.485,0
25,2024-03-13,10.491,10.491,10.491,10.491,0
26,2024-03-14,10.515,10.515,10.515,10.515,0
27,2024-03-15,10.462,10.462,10.462,10.462,0
28,2024-03-18,10.424,10.424,10.424,10.424,0
29,2024-03-19,10.465,10.465,10.465,10.465,0
30,2024-03-20,10.487,10.487,10.487,10.487,0
31,2024-03-21,10.612,10.612,10.612,10.612,0
32,2024-03-22,10.735,10.735,10.735,10.735,0
33,2024-03-25,10.665,10.665,10.665,10.665,0
34,2024-03-26,10.658,10.658,10.658,10.658,0
35,2024-03-27,10.683,10.683,10.683,10.683,0
36,2024-03-28,10.839,10.839,10.839,10.839,0
37,2024-04-02,10.815,10.815,10.815,10.815,0
38,2024-04-04,10.7,10.713,10.713,10.7,15
39,2024-04-05,10.564,10.557,10.564,10.557,18
40,2024-04-08,10.58,10.629,10.629,10.58,107
41,2024-04-09,10.61,10.589,10.61,10.589,18
42,2024-04-10,10.658,10.658,10.663,10.657,62
43,2024-04-11,10.548,10.548,10.548,10.548,62
44,2024-04-12,10.641,10.609,10.641,10.609,1
45,2024-04-15,10.564,10.549,10.564,10.549,67
46,2024-04-16,10.446,10.446,10.446,10.446,0
47,2024-04-17,10.373,10.373,10.373,10.373,0
48,2024-04-18,10.32,10.318,10.32,10.318,3
49,2024-04-19,10.305,10.3,10.305,10.3,1
50,2024-04-22,10.377,10.377,10.377,10.377,1
51,2024-04-23,10.448,10.413,10.448,10.413,7
52,2024-04-24,10.514,10.514,10.514,10.514,0
53,2024-04-25,10.511,10.355,10.531,10.355,42
54,2024-04-26,10.416,10.416,10.416,10.416,0
55,2024-04-29,10.493,10.493,10.493,10.493,0
56,2024-04-30,10.543,10.543,10.543,10.543,6
57,2024-05-02,10.377,10.413,10.413,10.377,1
58,2024-05-03,10.406,10.406,10.406,10.406,0
59,2024-05-06,10.497,10.497,10.497,10.497,50
60,2024-05-07,10.564,10.564,10.564,10.564,0
61,2024-05-08,10.561,10.573,10.573,10.561,3
62,2024-05-09,10.565,10.565,10.565,10.565,0
63,2024-05-10,10.631,10.631,10.631,10.631,0
64,2024-05-13,10.655,10.655,10.655,10.655,0
65,2024-05-14,10.675,10.675,10.675,10.675,0
66,2024-05-15,10.688,10.704,10.704,10.688,42
67,2024-05-16,10.751,10.751,10.751,10.751,0
68,2024-05-17,10.719,10.719,10.719,10.719,0
69,2024-05-20,10.704,10.704,10.704,10.704,0
70,2024-05-21,10.713,10.713,10.713,10.713,0
71,2024-05-22,10.723,10.736,10.736,10.723,14
72,2024-05-23,10.791,10.8,10.8,10.791,62
73,2024-05-24,10.637,10.673,10.673,10.637,13
74,2024-05-27,10.663,10.663,10.663,10.663,0
75,2024-05-28,10.654,10.654,10.654,10.654,0
76,2024-05-29,10.555,10.555,10.555,10.555,0
77,2024-05-30,10.5,10.509,10.509,10.5,4
78,2024-05-31,10.535,10.535,10.535,10.535,0
79,2024-06-03,10.703,10.703,10.703,10.703,0
80,2024-06-04,10.594,10.594,10.594,10.594,0
81,2024-06-05,10.62,10.626,10.626,10.62,4
82,2024-06-06,10.672,10.672,10.672,10.672,0
83,2024-06-07,10.661,10.651,10.661,10.651,10
84,2024-06-10,10.751,10.751,10.751,10.751,2
85,2024-06-11,10.759,10.747,10.759,10.747,2
86,2024-06-12,10.757,10.757,10.757,10.757,0
87,2024-06-13,10.761,10.761,10.761,10.761,0
88,2024-06-14,10.813,10.813,10.813,10.813,0
89,2024-06-17,10.803,10.803,10.803,10.803,0
90,2024-06-18,10.833,10.835,10.846,10.833,47
91,2024-06-19,10.859,10.848,10.859,10.848,200
92,2024-06-20,10.897,10.902,10.902,10.897,192
93,2024-06-21,10.911,10.917,10.947,10.911,626
94,2024-06-24,10.933,10.89,10.933,10.89,126
95,2024-06-25,10.928,10.928,10.928,10.928,0
96,2024-06-26,10.95,10.95,10.95,10.95,6
97,2024-06-27,10.935,10.935,10.935,10.935,10
98,2024-06-28,10.959,11.054,11.054,10.959,863
99,2024-07-01,10.946,10.935,10.95,10.935,958
100,2024-07-02,10.921,10.914,10.921,10.914,229
101,2024-07-03,10.955,10.955,10.955,10.955,0
102,2024-07-04,10.931,10.931,10.931,10.931,11
103,2024-07-05,10.904,10.9,10.904,10.9,91
104,2024-07-08,10.869,10.869,10.869,10.869,0
105,2024-07-09,10.947,10.947,10.947,10.947,0
106,2024-07-10,10.96,10.978,10.978,10.96,12
107,2024-07-11,11.076,11.112,11.112,11.044,51
108,2024-07-12,11.101,11.101,11.101,11.101,0
109,2024-07-15,11.194,11.149,11.194,11.149,248
110,2024-07-16,11.183,11.164,11.183,11.164,1
111,2024-07-17,11.324,11.246,11.324,11.246,43
112,2024-07-18,11.316,11.316,11.316,11.316,0
113,2024-07-19,11.218,11.249,11.249,11.218,158
114,2024-07-22,11.15,11.14,11.15,11.135,158
115,2024-07-23,11.163,11.18,11.18,11.163,8600
116,2024-07-24,11.127,11.103,11.146,11.092,1701
117,2024-07-25,11.087,11.07,11.087,11.07,15
118,2024-07-26,11.109,11.132,11.132,11.109,1438
119,2024-07-29,11.249,11.264,11.264,11.234,93
120,2024-07-30,11.249,11.249,11.249,11.249,0
121,2024-07-31,11.321,11.34,11.342,11.321,50
122,2024-08-01,11.337,11.188,11.337,11.188,3
123,2024-08-02,11.009,10.7,11.048,10.7,154
