,Unnamed: 0,date,open,close,high,low,volumme
0,0.0,2024-03-13,9.7799,9.7799,9.7799,9.7799,0
1,1.0,2024-03-18,9.5746,9.5634,9.5831,9.5,85
2,2.0,2024-03-19,9.5888,9.5888,9.5888,9.5888,78
3,3.0,2024-03-20,9.58,9.58,9.58,9.58,58
4,4.0,2024-03-21,9.7957,9.7957,9.7957,9.7957,0
5,5.0,2024-03-25,9.7387,9.7387,9.7387,9.7387,0
6,6.0,2024-04-03,9.5724,9.5724,9.5724,9.5724,0
7,7.0,2024-04-05,9.5193,9.5787,9.5787,9.5193,549
8,8.0,2024-04-12,9.7899,9.7899,9.7899,9.7899,751
9,9.0,2024-04-18,9.371,9.371,9.371,9.371,0
10,10.0,2024-04-25,9.1921,9.1921,9.1921,9.1921,0
11,11.0,2024-04-29,9.6112,9.6112,9.6112,9.6112,0
12,12.0,2024-05-07,9.871,9.871,9.871,9.871,0
13,13.0,2024-05-08,9.8282,9.8282,9.8282,9.8282,0
14,14.0,2024-05-09,9.7476,9.7476,9.7476,9.7476,0
15,15.0,2024-05-10,9.6718,9.6718,9.6718,9.6718,0
16,16.0,2024-05-13,9.6101,9.6101,9.6101,9.6101,0
17,17.0,2024-05-14,9.5893,9.5893,9.5893,9.5893,0
18,18.0,2024-05-15,9.6361,9.6995,9.6995,9.6361,5
19,19.0,2024-05-16,9.7857,9.7857,9.7857,9.7857,0
20,20.0,2024-05-24,9.6541,9.6541,9.6541,9.6541,0
21,21.0,2024-05-28,9.7199,9.6838,9.7199,9.6838,178
22,22.0,2024-05-29,9.6434,9.6434,9.6434,9.6434,0
23,23.0,2024-05-30,9.6234,9.6234,9.6234,9.6234,0
24,24.0,2024-05-31,9.551,9.551,9.551,9.551,0
25,25.0,2024-06-03,9.5871,9.5871,9.5871,9.5871,0
26,26.0,2024-06-04,9.543,9.543,9.543,9.543,0
27,27.0,2024-06-05,9.5354,9.543,9.543,9.5354,113
28,28.0,2024-06-06,9.7156,9.7156,9.7156,9.7156,0
29,29.0,2024-06-07,9.7405,9.74,9.7405,9.74,1
30,30.0,2024-06-10,9.7951,9.7951,9.7951,9.7951,0
31,31.0,2024-06-11,9.8238,9.8238,9.8238,9.8238,0
32,32.0,2024-06-12,9.9184,9.9184,9.9184,9.9184,0
33,33.0,2024-06-13,9.9664,10.0487,10.0487,9.9664,1
34,34.0,2024-06-14,9.9551,9.9551,9.9551,9.9551,0
35,35.0,2024-06-17,10.002,10.002,10.002,10.002,0
36,36.0,2024-06-18,10.0153,10.0153,10.0153,10.0153,0
37,37.0,2024-06-19,10.0389,10.0389,10.0389,10.0389,0
38,38.0,2024-06-20,10.0575,10.0575,10.0575,10.0575,0
39,39.0,2024-06-21,9.9995,9.9995,9.9995,9.9995,0
40,40.0,2024-06-24,10.0194,10.0194,10.0194,10.0194,0
41,41.0,2024-06-25,10.0063,10.0063,10.0063,10.0063,0
42,42.0,2024-06-27,10.0878,10.0878,10.0878,10.0878,0
43,43.0,2024-06-28,10.194,10.194,10.194,10.194,0
44,44.0,2024-07-08,10.2936,10.4684,10.4684,10.2786,5342
