,date,open,close,high,low,volumme
0,2014-09-25,10.41,10.41,10.41,10.41,0
1,2014-09-26,10.48,10.48,10.48,10.48,0
2,2014-09-29,10.53,10.53,10.53,10.53,0
3,2014-09-30,10.61,10.61,10.61,10.61,0
4,2014-10-01,10.49,10.49,10.49,10.49,0
5,2014-10-02,10.28,10.28,10.28,10.28,0
6,2014-10-03,10.52,10.52,10.52,10.52,0
7,2014-10-06,10.43,10.43,10.43,10.43,0
8,2014-10-07,10.36,10.36,10.36,10.36,0
9,2014-10-08,10.19,10.19,10.19,10.19,0
10,2014-10-09,10.23,10.23,10.23,10.23,0
11,2014-10-10,9.99,9.99,9.99,9.99,0
12,2014-10-13,9.868,9.868,9.868,9.868,0
13,2014-10-14,9.935,9.935,9.935,9.935,0
14,2014-10-15,9.68,9.68,9.68,9.68,0
15,2014-10-16,9.699,9.699,9.699,9.699,0
16,2014-10-17,9.872,9.872,9.872,9.872,0
17,2014-10-20,9.849,9.849,9.849,9.849,0
18,2014-10-21,10.03,10.03,10.03,10.03,0
19,2014-10-22,10.16,10.16,10.16,10.16,0
20,2014-10-23,10.16,10.16,10.16,10.16,0
21,2014-10-24,10.14,10.14,10.14,10.14,0
22,2014-10-27,10.11,10.11,10.11,10.11,0
23,2014-10-28,10.16,10.16,10.16,10.16,0
24,2014-10-29,10.23,10.23,10.23,10.23,0
25,2014-10-30,10.39,10.39,10.39,10.39,0
26,2014-10-31,10.7,10.7,10.7,10.7,0
27,2014-11-03,10.8,10.8,10.8,10.8,0
28,2014-11-04,10.67,10.67,10.67,10.67,0
29,2014-11-05,10.77,10.77,10.77,10.77,0
30,2014-11-06,10.89,10.89,10.89,10.89,0
31,2014-11-07,10.88,10.88,10.88,10.88,0
32,2014-11-10,10.97,10.97,10.97,10.97,0
33,2014-11-11,10.93,10.93,10.93,10.93,0
34,2014-11-12,10.91,10.91,10.91,10.91,0
35,2014-11-13,10.93,10.93,10.93,10.93,0
36,2014-11-14,11.0,11.0,11.0,11.0,0
37,2014-11-17,11.02,11.02,11.02,11.02,0
38,2014-11-18,11.04,11.04,11.04,11.04,0
39,2014-11-19,10.94,10.94,10.94,10.94,0
40,2014-11-20,10.99,10.99,10.99,10.99,0
41,2014-11-21,11.2,11.2,11.2,11.2,0
42,2014-11-24,11.2,11.2,11.2,11.2,0
43,2014-11-25,11.2,11.2,11.2,11.2,0
44,2014-11-26,11.19,11.19,11.19,11.19,0
45,2014-11-27,11.25,11.25,11.25,11.25,0
46,2014-11-28,11.33,11.33,11.33,11.33,0
47,2014-12-01,11.17,11.17,11.17,11.17,0
48,2014-12-02,11.32,11.32,11.32,11.32,0
49,2014-12-03,11.41,11.41,11.41,11.41,0
50,2014-12-04,11.35,11.35,11.35,11.35,0
51,2014-12-05,11.49,11.49,11.49,11.49,0
52,2014-12-08,11.48,11.48,11.48,11.48,0
53,2014-12-09,11.26,11.26,11.26,11.26,0
54,2014-12-10,11.28,11.28,11.28,11.28,0
55,2014-12-11,11.32,11.32,11.32,11.32,0
56,2014-12-12,11.02,11.02,11.02,11.02,0
57,2014-12-15,10.88,10.88,10.88,10.88,0
58,2014-12-16,10.99,10.99,10.99,10.99,0
59,2014-12-17,11.0,11.0,11.0,11.0,0
60,2014-12-18,11.32,11.32,11.32,11.32,0
61,2014-12-19,11.48,11.48,11.48,11.48,0
62,2014-12-22,11.56,11.56,11.56,11.56,0
63,2014-12-23,11.71,11.71,11.71,11.71,0
64,2014-12-24,11.69,11.69,11.69,11.69,0
65,2014-12-26,11.72,11.72,11.72,11.72,0
66,2014-12-29,11.7,11.7,11.7,11.7,0
67,2014-12-30,11.61,11.61,11.61,11.61,0
68,2014-12-31,11.68,11.68,11.68,11.68,0
69,2015-01-02,11.6,11.6,11.6,11.6,0
70,2015-01-05,11.6,11.6,11.6,11.6,0
71,2015-01-06,11.4,11.4,11.4,11.4,0
72,2015-01-07,11.57,11.57,11.57,11.57,0
73,2015-01-08,11.77,11.77,11.77,11.77,0
74,2015-01-09,11.67,11.67,11.67,11.67,0
75,2015-01-12,11.62,11.62,11.62,11.62,0
76,2015-01-13,11.8,11.8,11.8,11.8,0
77,2015-01-14,11.52,11.52,11.52,11.52,0
78,2015-01-15,11.69,11.69,11.69,11.69,0
79,2015-01-16,11.75,11.75,11.75,11.75,0
80,2015-01-19,11.72,11.72,11.72,11.72,0
81,2015-01-20,11.8,11.8,11.8,11.8,0
82,2015-01-21,11.9,11.9,11.9,11.9,0
83,2015-01-22,12.16,12.16,12.16,12.16,0
